date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2023/09/27,6:43 PM.,PHI,PIT,away,Partly Cloudy.,64,5.0,7,6,6,2,6,2,91,4.31
2023/09/21,6:40 PM.,CHC,PIT,away,Cloudy.,69,6.0,4,0,0,5,5,0,93,4.12
2023/09/15,6:37 PM.,NYY,PIT,home,Clear.,70,5.0,4,1,1,5,7,0,96,4.27
2023/09/09,7:21 PM.,ATL,PIT,away,Partly Cloudy.,80,3.2,9,3,3,1,4,0,92,4.34
2023/09/03,1:16 PM.,STL,PIT,away,Partly Cloudy.,89,3.2,4,5,3,6,2,1,97,4.27
2023/08/28,7:10 PM.,KC,PIT,away,Clear.,83,9.0,2,0,0,2,5,0,112,4.20
2023/08/22,7:08 PM.,STL,PIT,home,Partly Cloudy.,76,5.0,4,1,1,1,5,1,97,4.46
2023/08/16,1:12 PM.,NYM,PIT,away,Partly Cloudy.,78,4.0,5,4,4,5,3,1,78,4.55
2023/08/11,7:09 PM.,CIN,PIT,home,Cloudy.,83,5.0,5,6,6,2,4,1,93,4.42
2023/08/06,1:11 PM.,MIL,PIT,away,Cloudy.,74,7.0,2,0,0,3,6,0,101,4.18
2023/08/01,7:07 PM.,DET,PIT,home,Cloudy.,75,7.0,6,1,1,2,5,0,99,4.42
2023/07/26,1:10 PM.,SD,PIT,away,Sunny.,81,6.0,3,1,1,3,5,0,90,4.60
2023/07/21,6:39 PM.,LAA,PIT,away,Partly Cloudy.,79,4.0,3,5,5,3,4,2,75,4.77
2023/07/15,7:46 PM.,SF,PIT,home,Overcast.,86,7.0,1,1,1,3,10,1,107,4.53
2023/07/06,7:10 PM.,LAD,PIT,away,Clear.,69,6.2,6,5,5,2,6,2,98,4.75
2023/07/01,4:46 PM.,MIL,PIT,home,Cloudy.,80,5.0,9,8,8,3,1,1,97,4.61
2023/06/25,1:40 PM.,MIA,PIT,away,Roof Closed.,72,7.0,6,1,1,0,6,1,97,4.06
2023/06/20,7:05 PM.,CHC,PIT,home,Cloudy.,77,6.0,5,2,2,0,3,1,101,4.30
2023/06/15,7:05 PM.,CHC,PIT,away,Partly Cloudy.,55,4.1,8,4,4,1,8,0,100,4.40
2023/06/10,4:05 PM.,NYM,PIT,home,Partly Cloudy.,81,6.1,4,2,2,2,5,0,90,4.16
2023/06/05,7:06 PM.,OAK,PIT,home,Clear.,73,7.0,4,3,2,2,5,0,100,4.29
2023/05/30,6:46 PM.,SF,PIT,away,Clear.,60,4.1,3,1,1,5,5,0,92,4.50
2023/05/24,12:35 PM.,TEX,PIT,home,Sunny.,70,5.2,6,3,3,2,5,1,95,4.70
2023/05/19,6:37 PM.,AZ,PIT,home,Cloudy.,74,6.0,2,1,1,3,7,1,96,4.69
2023/05/12,7:06 PM.,BAL,PIT,away,Partly Cloudy.,82,5.0,4,1,1,5,3,0,86,5.14
2023/05/06,6:36 PM.,TOR,PIT,home,Partly Cloudy.,72,5.0,10,7,6,3,3,0,89,5.59
2023/04/30,4:01 PM.,WSH,PIT,away,Overcast.,62,2.1,9,7,7,2,1,0,64,4.78
2023/04/25,6:36 PM.,LAD,PIT,home,Partly Cloudy.,56,5.1,6,5,4,2,4,0,94,3.03
2023/04/19,1:10 PM.,COL,PIT,away,Cloudy.,55,6.0,3,1,1,3,6,0,84,2.22
2023/04/14,7:15 PM.,STL,PIT,away,Clear.,78,7.0,6,1,1,1,10,0,93,2.45
2023/04/09,1:36 PM.,CWS,PIT,home,Sunny.,56,6.2,5,0,0,0,5,0,89,3.18
2023/04/03,7:13 PM.,BOS,PIT,away,Clear.,50,4.2,6,5,4,4,4,3,94,7.71
2023/03/28,1:05 PM.,MIN,PIT,home,Partly Cloudy.,81,5.0,6,2,2,0,7,0,70,4.58
