date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2023/09/09,4:39 PM.,MIL,NYY,home,Cloudy.,76,1.0,5,3,3,0,0,1,23,3.06
2023/09/08,7:20 PM.,MIL,NYY,home,Partly Cloudy.,75,0.2,3,2,2,0,0,0,21,1.62
2023/09/05,7:08 PM.,DET,NYY,home,Partly Cloudy.,87,1.0,0,0,0,0,1,0,9,0.56
2023/09/03,6:11 PM.,HOU,NYY,away,Roof Closed.,73,1.0,2,0,0,0,0,0,19,0.60
2023/09/01,7:11 PM.,HOU,NYY,away,Roof Closed.,73,1.1,0,0,0,0,0,0,11,0.64
2023/08/31,1:10 PM.,DET,NYY,away,Sunny.,68,0.2,0,1,0,1,0,0,4,0.71
2023/08/28,6:40 PM.,DET,NYY,away,Clear.,74,1.0,0,0,0,0,1,0,8,0.75
2023/08/25,6:40 PM.,TB,NYY,away,Dome.,72,1.1,1,0,0,0,0,0,28,0.82
2023/08/22,7:08 PM.,WSH,NYY,home,Partly Cloudy.,77,1.0,0,0,0,0,1,0,11,0.93
2023/08/20,1:40 PM.,BOS,NYY,home,Sunny.,82,1.0,1,0,0,0,0,0,15,1.04
2023/08/19,1:08 PM.,BOS,NYY,home,Partly Cloudy.,73,1.0,0,0,0,0,1,0,19,1.17
2023/08/15,7:20 PM.,ATL,NYY,away,Overcast.,80,1.0,0,0,0,0,0,0,10,1.35
2023/08/11,6:42 PM.,MIA,NYY,away,Roof Closed.,72,1.1,0,0,0,0,0,0,18,1.59
2023/08/08,7:10 PM.,CWS,NYY,away,Partly Cloudy.,78,1.0,0,0,0,0,1,0,12,2.08
2023/04/05,1:08 PM.,PHI,NYY,home,Drizzle.,48,1.2,2,1,1,0,1,1,16,2.70
2023/04/03,7:08 PM.,PHI,NYY,home,Partly Cloudy.,53,1.1,0,0,0,0,0,0,10,0.00
2023/03/30,1:10 PM.,SF,NYY,home,Sunny.,39,0.1,0,0,0,0,0,0,2,0.00
