date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2023/09/29,6:41 PM.,AZ,HOU,away,Clear.,94,6.0,2,0,0,3,2,0,70,5.29
2023/09/24,1:10 PM.,KC,HOU,home,Roof Closed.,73,3.0,0,0,0,1,2,0,44,5.84
2023/09/19,7:10 PM.,BAL,HOU,home,Roof Closed.,73,1.1,2,2,2,1,0,2,33,6.17
2023/09/08,7:10 PM.,SD,HOU,home,Roof Closed.,73,4.0,4,5,5,2,3,1,73,5.98
2023/09/03,6:11 PM.,NYY,HOU,home,Roof Closed.,73,2.0,4,3,3,0,2,1,39,5.55
2023/08/28,7:11 PM.,BOS,HOU,away,Cloudy.,70,4.0,4,1,1,2,1,0,57,5.21
2023/08/23,7:10 PM.,BOS,HOU,home,Roof Closed.,73,4.2,8,4,4,3,1,0,100,5.48
2023/08/18,7:10 PM.,SEA,HOU,home,Roof Closed.,73,2.0,2,0,0,0,3,0,30,5.21
2023/08/13,1:11 PM.,LAA,HOU,home,Roof Closed.,73,5.0,3,1,1,0,7,0,80,5.50
2023/08/06,1:38 PM.,NYY,HOU,away,Partly Cloudy.,81,3.1,3,5,5,3,1,1,62,6.10
2023/04/30,6:10 PM.,PHI,HOU,home,Roof Closed.,73,5.1,3,2,2,1,3,2,84,5.20
2023/04/24,6:40 PM.,TB,HOU,away,Dome.,72,2.2,7,6,6,2,3,0,73,5.64
2023/04/18,7:10 PM.,TOR,HOU,home,Roof Closed.,73,4.1,7,4,4,2,4,2,81,3.66
2023/04/12,12:35 PM.,PIT,HOU,away,Sunny.,77,6.0,2,0,0,3,2,0,93,2.35
2023/04/07,3:17 PM.,MIN,HOU,away,Sunny.,47,5.1,7,1,1,1,6,0,95,3.86
2023/04/01,1:10 PM.,CWS,HOU,home,Roof Closed.,73,4.0,7,3,3,1,5,2,82,6.75
