date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2023/09/26,7:22 PM.,ATL,CHC,away,Partly Cloudy.,77,5.1,6,3,3,1,6,1,90,3.06
2023/09/20,6:40 PM.,PIT,CHC,home,Cloudy.,75,3.0,8,6,6,0,6,0,76,3.00
2023/09/15,6:40 PM.,AZ,CHC,away,Roof Closed.,78,6.0,7,6,6,2,5,2,83,2.73
2023/09/09,1:20 PM.,AZ,CHC,home,Partly Cloudy.,70,7.0,6,1,1,0,6,0,95,2.49
2023/09/04,1:20 PM.,SF,CHC,home,Partly Cloudy.,89,8.0,2,0,0,2,12,0,107,2.55
2023/08/29,7:08 PM.,MIL,CHC,home,Cloudy.,70,6.0,6,0,0,1,8,0,111,2.69
2023/08/24,7:06 PM.,PIT,CHC,away,Cloudy.,84,6.0,6,3,2,2,6,1,100,2.80
2023/08/19,1:20 PM.,KC,CHC,home,Partly Cloudy.,80,6.0,6,2,2,0,7,0,99,2.80
2023/08/12,3:51 PM.,TOR,CHC,away,Partly Cloudy.,77,5.0,6,3,3,0,7,1,84,2.79
2023/08/06,1:20 PM.,ATL,CHC,home,Cloudy.,68,5.1,8,4,3,4,7,1,110,2.68
2023/08/01,7:05 PM.,CIN,CHC,home,Partly Cloudy.,84,6.0,8,5,3,0,6,1,101,2.57
2023/07/27,6:46 PM.,STL,CHC,away,Clear.,99,6.0,5,1,1,3,4,1,92,2.46
2023/07/21,1:20 PM.,STL,CHC,home,Sunny.,74,6.1,6,2,2,1,9,0,100,2.52
2023/07/16,1:20 PM.,BOS,CHC,home,Partly Cloudy.,81,6.0,9,6,1,1,6,2,82,2.50
2023/07/11,5:23 PM.,AL,NL,away,Clear.,74,1.0,1,0,0,0,1,0,10,0.00
2023/07/05,7:10 PM.,MIL,CHC,away,Roof Closed.,81,6.0,9,3,3,0,5,1,88,2.56
2023/06/30,1:20 PM.,CLE,CHC,home,Cloudy.,86,6.1,3,0,0,1,6,0,96,2.43
2023/06/24,6:12 PM.,STL,CHC,away,Cloudy.,81,6.0,5,1,1,1,8,0,89,2.62
2023/06/17,1:20 PM.,BAL,CHC,home,Sunny.,69,5.0,5,2,2,1,4,1,74,2.71
2023/05/31,1:19 PM.,TB,CHC,home,Sunny.,83,3.0,0,0,0,0,1,0,29,2.65
2023/05/26,1:20 PM.,CIN,CHC,home,Sunny.,59,3.2,10,6,5,0,4,0,70,2.77
2023/05/21,1:38 PM.,PHI,CHC,away,Partly Cloudy.,70,6.0,4,0,0,1,6,0,94,2.20
2023/05/16,7:11 PM.,HOU,CHC,away,Roof Closed.,73,6.0,5,5,5,1,8,0,82,2.44
2023/05/10,6:39 PM.,STL,CHC,home,Clear.,65,6.0,7,3,3,3,3,0,91,1.82
2023/05/05,1:20 PM.,MIA,CHC,home,Partly Cloudy.,69,7.0,6,1,1,0,4,0,86,1.45
2023/04/30,12:05 PM.,MIA,CHC,away,Roof Closed.,72,6.0,7,3,2,1,3,0,81,1.49
2023/04/25,6:39 PM.,SD,CHC,home,Clear.,41,5.1,3,0,0,2,5,0,98,1.19
2023/04/19,12:37 PM.,OAK,CHC,away,Partly Cloudy.,56,6.0,4,2,1,2,5,0,89,1.44
2023/04/14,7:10 PM.,LAD,CHC,away,Clear.,59,7.0,3,2,2,1,8,2,101,1.42
2023/04/08,3:05 PM.,TEX,CHC,home,Sunny.,57,6.0,4,1,1,4,3,0,96,0.75
2023/04/01,1:19 PM.,MIL,CHC,home,Cloudy.,39,6.0,3,0,0,1,8,0,84,0.00
