date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2023/09/03,1:07 PM.,LAA,OAK,home,Partly Cloudy.,71,0.2,2,2,2,2,1,0,28,4.63
2023/09/02,1:07 PM.,LAA,OAK,home,Cloudy.,72,1.0,1,0,0,0,0,0,9,3.27
2023/08/30,1:11 PM.,SEA,OAK,away,Cloudy.,69,0.1,3,2,2,1,1,0,12,3.60
2023/08/29,6:40 PM.,SEA,OAK,away,Roof Closed.,60,0.1,1,0,0,0,0,0,3,1.86
2023/08/24,7:10 PM.,CWS,OAK,away,Clear.,91,0.1,1,0,0,0,1,0,6,1.93
2023/08/22,6:40 PM.,KC,OAK,home,Clear.,72,1.2,0,0,0,1,1,0,18,2.00
2023/08/21,6:41 PM.,KC,OAK,home,Cloudy.,72,1.0,0,0,0,0,0,0,13,2.45
2023/08/19,6:08 PM.,BAL,OAK,home,Partly Cloudy.,70,1.0,1,0,0,0,0,0,10,2.84
2023/08/13,1:35 PM.,WSH,OAK,away,Partly Cloudy.,88,0.0,1,1,0,1,0,0,16,3.38
2023/08/12,7:05 PM.,WSH,OAK,away,Cloudy.,87,1.0,0,0,0,0,0,0,8,3.38
2023/08/09,12:36 PM.,TEX,OAK,home,Sunny.,71,0.2,0,0,0,0,1,0,5,4.15
2023/08/07,6:42 PM.,TEX,OAK,home,Clear.,70,0.2,0,0,0,0,0,0,9,4.91
2023/08/06,1:35 PM.,SF,OAK,home,Sunny.,81,1.0,0,0,0,0,3,0,17,6.00
2023/08/02,7:10 PM.,LAD,OAK,away,Clear.,78,1.0,2,1,1,0,1,1,15,9.00
2023/08/01,7:10 PM.,LAD,OAK,away,Clear.,78,1.0,2,1,1,1,0,0,24,9.00
