date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2023/06/23,8:45 PM.,SEA,BAL,home,Overcast.,73,2.0,1,1,1,0,2,1,35,6.00
2023/06/21,12:11 PM.,TB,BAL,away,Dome.,72,0.1,1,0,0,1,0,0,11,6.43
2023/05/15,6:36 PM.,LAA,BAL,home,Clear.,74,1.2,4,1,1,1,1,0,40,6.75
2023/04/15,1:10 PM.,CWS,BAL,away,Partly Cloudy.,77,0.0,3,2,1,0,0,0,7,7.20
2023/04/12,6:37 PM.,OAK,BAL,home,Clear.,84,0.2,0,0,0,0,0,0,1,5.40
2023/04/11,6:36 PM.,OAK,BAL,home,Partly Cloudy.,76,1.0,2,1,1,0,2,0,24,6.23
2023/04/09,1:37 PM.,NYY,BAL,home,Partly Cloudy.,55,1.1,2,1,1,1,1,1,27,5.40
2023/04/07,3:12 PM.,NYY,BAL,home,Overcast.,55,0.1,1,1,1,1,0,0,16,4.50
2023/04/04,7:07 PM.,TEX,BAL,away,Roof Closed.,74,0.2,0,0,0,1,1,0,16,0.00
2023/04/01,4:12 PM.,BOS,BAL,away,Partly Cloudy.,56,0.2,0,0,0,0,0,0,8,0.00
2023/03/30,2:12 PM.,BOS,BAL,away,Sunny.,38,0.1,0,0,0,0,1,0,6,0.00
