date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2023/09/26,7:07 PM.,SEA,HOU,away,Roof Closed.,57,0.0,3,1,1,1,0,0,16,5.02
2023/09/23,6:10 PM.,KC,HOU,home,Roof Closed.,73,1.0,0,0,0,0,2,0,13,4.88
2023/09/22,7:12 PM.,KC,HOU,home,Roof Closed.,73,1.0,1,0,0,0,2,0,26,4.96
2023/09/18,7:11 PM.,BAL,HOU,home,Roof Closed.,73,1.0,4,2,2,0,1,0,21,5.04
2023/09/16,6:47 PM.,KC,HOU,away,Cloudy.,71,0.2,0,0,0,1,0,0,13,4.83
2023/09/15,7:10 PM.,KC,HOU,away,Cloudy.,79,1.0,1,0,0,1,1,0,18,4.88
2023/09/13,6:11 PM.,OAK,HOU,home,Roof Closed.,73,1.0,0,0,0,0,1,0,13,4.96
2023/09/11,7:12 PM.,OAK,HOU,home,Roof Closed.,73,1.0,3,1,1,0,1,1,23,5.04
2023/09/09,6:11 PM.,SD,HOU,home,Roof Closed.,73,1.0,0,0,0,0,1,0,16,4.98
2023/09/04,3:08 PM.,TEX,HOU,away,Roof Closed.,74,1.0,0,0,0,0,1,0,9,5.06
2023/09/02,6:10 PM.,NYY,HOU,home,Roof Closed.,73,1.0,1,0,0,1,1,0,19,5.15
2023/08/29,7:13 PM.,BOS,HOU,away,Cloudy.,69,1.1,1,0,0,1,2,0,28,5.24
2023/08/27,1:40 PM.,DET,HOU,away,Sunny.,71,1.0,0,0,0,0,1,0,14,5.37
2023/08/24,1:10 PM.,BOS,HOU,home,Roof Closed.,73,0.1,2,0,0,0,1,0,13,5.47
2023/08/22,7:10 PM.,BOS,HOU,home,Roof Closed.,73,1.0,3,2,2,0,1,0,22,5.50
2023/08/20,12:05 PM.,SEA,HOU,home,Roof Closed.,73,1.0,2,0,0,0,3,0,23,5.26
2023/08/19,6:12 PM.,SEA,HOU,home,Roof Closed.,73,1.0,0,0,0,0,2,0,13,5.37
2023/08/16,6:42 PM.,MIA,HOU,away,Roof Closed.,72,1.0,0,0,0,0,1,0,11,5.47
2023/08/15,6:41 PM.,MIA,HOU,away,Roof Closed.,72,0.1,0,0,0,0,1,0,5,5.58
2023/08/13,1:11 PM.,LAA,HOU,home,Roof Closed.,73,0.2,0,0,0,3,1,0,28,5.62
2023/08/11,7:11 PM.,LAA,HOU,home,Roof Closed.,73,1.0,0,0,0,0,1,0,19,5.69
