date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2023/09/28,6:07 PM.,PIT,PHI,home,Cloudy.,62,4.0,4,1,1,1,5,0,67,3.61
2023/09/23,4:08 PM.,NYM,PHI,home,Cloudy.,61,7.0,8,5,3,1,6,0,99,3.64
2023/09/18,7:19 PM.,ATL,PHI,away,Partly Cloudy.,73,6.0,3,1,1,2,5,1,99,3.63
2023/09/12,6:42 PM.,ATL,PHI,home,Partly Cloudy.,83,5.0,7,6,6,3,4,3,96,3.70
2023/09/06,1:11 PM.,SD,PHI,away,Sunny.,74,6.0,1,0,0,2,7,0,105,3.49
2023/09/01,7:10 PM.,MIL,PHI,away,Clear.,77,6.0,5,3,3,0,10,1,102,3.62
2023/08/26,7:15 PM.,STL,PHI,home,Partly Cloudy.,85,7.0,3,1,1,0,10,1,80,3.59
2023/08/20,7:12 PM.,WSH,PHI,away,Clear.,79,7.0,7,4,4,1,5,0,99,3.70
2023/08/15,7:07 PM.,TOR,PHI,away,Roof Closed.,68,7.0,3,1,1,4,5,0,107,3.63
2023/08/08,4:07 PM.,WSH,PHI,home,Cloudy.,79,6.0,7,3,3,0,6,2,95,3.74
2023/08/02,6:41 PM.,MIA,PHI,away,Roof Closed.,72,6.0,5,2,2,1,4,2,98,3.71
2023/07/28,7:07 PM.,PIT,PHI,away,Cloudy.,90,6.2,3,1,1,1,11,0,90,3.74
2023/07/22,7:11 PM.,CLE,PHI,away,Clear.,78,7.0,5,1,1,1,8,0,109,3.88
2023/07/16,4:31 PM.,SD,PHI,home,Cloudy.,77,7.0,5,3,3,0,7,2,101,4.04
2023/07/07,6:42 PM.,MIA,PHI,away,Dome.,72,6.0,7,3,3,0,7,1,101,4.05
2023/07/01,4:08 PM.,WSH,PHI,home,Partly Cloudy.,86,5.0,7,4,4,0,6,1,85,4.03
2023/06/25,1:39 PM.,NYM,PHI,home,Partly Cloudy.,88,5.1,9,5,5,2,8,1,107,3.86
2023/06/18,1:08 PM.,OAK,PHI,away,Sunny.,68,6.0,6,0,0,2,4,0,107,3.58
2023/06/13,6:40 PM.,AZ,PHI,away,Roof Closed.,74,6.0,4,1,1,1,7,0,101,3.84
2023/06/08,6:07 PM.,DET,PHI,home,Overcast.,75,7.1,2,1,1,1,8,0,108,4.03
2023/06/02,7:06 PM.,WSH,PHI,away,Partly Cloudy.,90,3.2,8,7,7,1,3,1,90,4.33
2023/05/27,4:11 PM.,ATL,PHI,away,Sunny.,75,8.0,3,0,0,1,12,0,106,3.60
2023/05/22,6:43 PM.,AZ,PHI,home,Cloudy.,77,6.0,8,4,3,1,3,2,108,4.11
2023/05/16,6:46 PM.,SF,PHI,away,Clear.,64,6.0,9,4,4,1,8,0,101,4.06
2023/05/10,4:08 PM.,TOR,PHI,home,Sunny.,72,7.0,3,1,1,1,7,1,107,3.80
2023/05/05,7:08 PM.,BOS,PHI,home,Partly Cloudy.,59,5.1,7,5,4,0,5,0,97,4.26
2023/04/29,4:10 PM.,HOU,PHI,away,Roof Closed.,73,6.0,3,0,0,1,7,0,104,3.86
2023/04/23,12:05 PM.,COL,PHI,home,Sunny.,63,6.0,3,3,3,3,11,0,111,4.73
2023/04/18,3:10 PM.,CWS,PHI,away,Sunny.,53,5.0,8,4,4,0,5,0,94,4.79
2023/04/12,4:07 PM.,MIA,PHI,home,Sunny.,84,6.0,3,1,1,3,6,0,95,4.02
2023/04/07,3:06 PM.,CIN,PHI,home,Partly Cloudy.,57,5.1,5,2,2,3,5,0,92,5.59
2023/04/01,3:07 PM.,TEX,PHI,away,Sunny.,71,4.1,7,5,4,1,7,1,94,8.31
