date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CU%,CH%,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFC,vCH,vSI,vSL,vCU,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,FF_ba,FF_slg,FF_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024-03-28,747060,Strikeout,strikeout,True,543305,669203,Aaron Hicks,Corbin Burnes,0,49916e16-a5ad-472b-83af-79317fa67dd2,669203.0,corbinburnes,Burnes,Right,Corbin Burnes,BAL,2.38,3.1,124.2,104.0,116.0,108.0,0.733,8.37,2.09,7.29,1.01,1.48,0.217,0.425,0.191,0.288,0.402,109.0,101.0,106.0,107.0,103.0,108.0,96.0,97.0,90.0,130.0,105.0,120.0,121.0,105.0,107.0,0.075,0.442,0.161,0.217,0.104,0.96,-0.82,1.15,1.1,1.34,95.4,89.0,96.7,87.3,80.4,0.243,0.391,0.193,0.176,0.282,0.398,0.195,0.247,0.455,0.125,0.275,0.352,0.294,0.441,0.132,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-28,747060,Groundout,field_out,True,543305,669203,Aaron Hicks,Corbin Burnes,0,3dae1c20-5d12-42ec-b283-827f085dfd17,669203.0,corbinburnes,Burnes,Right,Corbin Burnes,BAL,2.38,3.1,124.2,104.0,116.0,108.0,0.733,8.37,2.09,7.29,1.01,1.48,0.217,0.425,0.191,0.288,0.402,109.0,101.0,106.0,107.0,103.0,108.0,96.0,97.0,90.0,130.0,105.0,120.0,121.0,105.0,107.0,0.075,0.442,0.161,0.217,0.104,0.96,-0.82,1.15,1.1,1.34,95.4,89.0,96.7,87.3,80.4,0.243,0.391,0.193,0.176,0.282,0.398,0.195,0.247,0.455,0.125,0.275,0.352,0.294,0.441,0.132,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-28,747060,Walk,walk,False,543305,657508,Aaron Hicks,Mike Baumann,0,3d461c78-230b-4df9-8283-d24cb7a73cc7,657508.0,mikebaumann,Baumann,Right,Mike Baumann,- - -,4.41,4.48,34.2,94.0,120.0,99.0,0.772,8.31,4.41,8.05,1.56,0.98,0.291,0.32,0.126,0.301,0.442,90.0,110.0,107.0,,,,,,,110.0,82.0,88.0,,,,0.002,,0.215,,0.034,,-3.42,1.8,,0.22,,89.1,95.8,92.2,,,,,0.16,0.16,0.327,0.192,0.346,0.291,0.2,0.2,0.25,,,,123.0,96.0,99.0,0.396,-3.29,96.3,0.327,0.75,0.174,125.0,97.0,105.0,0.353,0.44,87.6,,,,,,,,,
2024-03-28,747060,Strikeout,strikeout,True,543305,669211,Aaron Hicks,Keegan Akin,0,dea7d0cf-feee-4a30-bf41-afe27ee35f26,669211.0,keeganakin,Akin,Left,Keegan Akin,BAL,3.55,2.72,50.2,102.0,111.0,105.0,0.703,10.84,2.84,6.39,1.07,0.75,0.278,0.397,0.183,0.294,0.461,106.0,98.0,99.0,,,,,,,115.0,105.0,110.0,,,,,,0.331,,0.097,,,0.67,,1.7,,85.1,,85.2,,,,,,,,0.163,0.306,0.324,0.174,0.174,0.314,,,,110.0,101.0,104.0,0.572,0.72,93.8,0.216,0.414,0.308,,,,,,,,,,,,,,,
2024-03-30,747063,Strikeout,strikeout,True,543305,680570,Aaron Hicks,Grayson Rodriguez,0,49a3e654-e34b-49b8-bc3b-bc374764be49,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,3.88,3.91,99.2,102.0,119.0,106.0,0.725,10.11,2.8,8.4,1.17,0.97,0.232,0.404,0.169,0.301,0.446,143.0,99.0,106.0,112.0,103.0,107.0,127.0,101.0,105.0,117.0,103.0,109.0,,,,0.015,,0.159,0.158,0.211,,3.9,-1.35,0.36,1.25,,83.1,96.4,86.6,81.2,,,,0.25,0.386,0.272,0.275,0.623,0.346,0.163,0.327,0.379,0.25,0.375,0.278,112.0,101.0,105.0,0.456,-0.19,96.1,0.278,0.373,0.258,,,,,,,,,,,,,,,
2024-03-30,747063,Strikeout,strikeout,True,543305,680570,Aaron Hicks,Grayson Rodriguez,0,2afc566f-b660-4ee4-a22b-e9ee48d54989,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,3.88,3.91,99.2,102.0,119.0,106.0,0.725,10.11,2.8,8.4,1.17,0.97,0.232,0.404,0.169,0.301,0.446,143.0,99.0,106.0,112.0,103.0,107.0,127.0,101.0,105.0,117.0,103.0,109.0,,,,0.015,,0.159,0.158,0.211,,3.9,-1.35,0.36,1.25,,83.1,96.4,86.6,81.2,,,,0.25,0.386,0.272,0.275,0.623,0.346,0.163,0.327,0.379,0.25,0.375,0.278,112.0,101.0,105.0,0.456,-0.19,96.1,0.278,0.373,0.258,,,,,,,,,,,,,,,
2024-03-30,747063,Strikeout,strikeout,True,543305,680570,Aaron Hicks,Grayson Rodriguez,0,adbcbbcd-bc4b-4437-823f-885fd26280d2,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,3.88,3.91,99.2,102.0,119.0,106.0,0.725,10.11,2.8,8.4,1.17,0.97,0.232,0.404,0.169,0.301,0.446,143.0,99.0,106.0,112.0,103.0,107.0,127.0,101.0,105.0,117.0,103.0,109.0,,,,0.015,,0.159,0.158,0.211,,3.9,-1.35,0.36,1.25,,83.1,96.4,86.6,81.2,,,,0.25,0.386,0.272,0.275,0.623,0.346,0.163,0.327,0.379,0.25,0.375,0.278,112.0,101.0,105.0,0.456,-0.19,96.1,0.278,0.373,0.258,,,,,,,,,,,,,,,
2024-04-01,746085,Groundout,field_out,True,543305,676974,Aaron Hicks,Max Meyer,1,6ffae0e9-24a0-4b94-b304-d3a2be7950b4,676974.0,maxmeyer,Meyer,Right,Max Meyer,MIA,2.12,3.96,17.0,101.0,104.0,104.0,0.676,7.41,1.59,5.82,1.06,1.44,0.191,0.468,0.213,0.319,0.415,90.0,83.0,83.0,,,,82.0,118.0,113.0,122.0,107.0,115.0,,,,0.02,,0.49,,0.15,,3.02,1.07,,-2.43,,87.1,93.6,88.8,,,,,,,,0.182,0.424,0.456,0.167,0.667,0.4,,,,84.0,102.0,101.0,0.34,2.38,94.4,0.182,0.227,0.25,,,,,,,,,,,,,,,
2024-04-01,746085,Groundout,field_out,True,543305,676974,Aaron Hicks,Max Meyer,0,3b183996-774c-4d07-9678-150ccb39a8c0,676974.0,maxmeyer,Meyer,Right,Max Meyer,MIA,2.12,3.96,17.0,101.0,104.0,104.0,0.676,7.41,1.59,5.82,1.06,1.44,0.191,0.468,0.213,0.319,0.415,90.0,83.0,83.0,,,,82.0,118.0,113.0,122.0,107.0,115.0,,,,0.02,,0.49,,0.15,,3.02,1.07,,-2.43,,87.1,93.6,88.8,,,,,,,,0.182,0.424,0.456,0.167,0.667,0.4,,,,84.0,102.0,101.0,0.34,2.38,94.4,0.182,0.227,0.25,,,,,,,,,,,,,,,
2024-04-01,746085,Groundout,field_out,True,543305,666277,Aaron Hicks,George Soriano,0,39c73ad6-b7f4-47e4-b4e9-a65200e17483,666277.0,georgesoriano,"Soriano, G",Right,George Soriano,MIA,9.26,7.01,11.2,92.0,95.0,91.0,0.798,9.26,5.4,8.49,2.31,0.71,0.212,0.424,0.091,0.333,0.412,116.0,99.0,95.0,,,,,,,104.0,94.0,100.0,,,,,,0.431,,0.157,,,-3.45,,-1.45,,88.8,,83.5,,,,,,,,0.368,0.895,0.255,0.286,0.286,0.0,,,,77.0,88.0,80.0,0.412,0.61,94.5,0.125,0.25,0.276,,,,,,,,,,,,,,,
