date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,EP%,wEP/C,vEP
2024-09-07,746259,Flyout,field_out,True,680577,679525,DaShawn Keirsey Jr.,Alec Marsh,0,f70d7d03-adb4-46ee-a11a-055b76b69e13,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.66,4.93,116.0,100.0,100.0,99.0,0.802,8.15,2.64,8.38,1.32,0.9,0.246,0.411,0.183,0.343,0.433,88.0,94.0,95.0,101.0,105.0,103.0,93.0,100.0,96.0,100.0,98.0,96.0,117.0,100.0,108.0,0.131,0.381,0.223,0.159,0.107,0.58,-1.61,-0.13,-1.86,1.14,94.1,86.4,93.5,86.5,82.8,0.204,0.373,0.21,0.277,0.458,0.295,0.333,0.556,0.099,0.279,0.559,0.25,0.18,0.26,0.163,0.167,0.333,0.447,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-07,746259,Groundout,field_out,True,680577,679525,DaShawn Keirsey Jr.,Alec Marsh,0,ba66bf4c-c718-4258-9258-26de3965c94b,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.66,4.93,116.0,100.0,100.0,99.0,0.802,8.15,2.64,8.38,1.32,0.9,0.246,0.411,0.183,0.343,0.433,88.0,94.0,95.0,101.0,105.0,103.0,93.0,100.0,96.0,100.0,98.0,96.0,117.0,100.0,108.0,0.131,0.381,0.223,0.159,0.107,0.58,-1.61,-0.13,-1.86,1.14,94.1,86.4,93.5,86.5,82.8,0.204,0.373,0.21,0.277,0.458,0.295,0.333,0.556,0.099,0.279,0.559,0.25,0.18,0.26,0.163,0.167,0.333,0.447,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-07,746259,Groundout,field_out,True,680577,663738,DaShawn Keirsey Jr.,Daniel Lynch IV,1,2883006d-7f6d-4567-a53b-6578d2f7596e,663738.0,daniellynchiv,Lynch IV,Left,Daniel Lynch IV,KCR,4.75,4.68,30.1,97.0,77.0,91.0,0.78,6.53,2.67,6.82,1.78,1.11,0.122,0.478,0.133,0.311,0.429,86.0,99.0,102.0,,,,58.0,95.0,82.0,89.0,109.0,97.0,90.0,91.0,93.0,0.108,0.391,0.251,,0.196,0.28,5.46,-1.16,,-1.87,92.7,84.3,92.5,85.5,,0.22,0.52,0.086,0.111,0.333,0.489,0.071,0.071,0.0,0.333,0.667,0.375,0.32,0.44,0.289,,,,126.0,129.0,122.0,0.002,-3.47,90.3,,,,93.0,91.0,93.0,0.052,-0.12,79.7,,,,,,,,,,,,
2024-09-10,745856,Flyout,field_out,True,680577,656288,DaShawn Keirsey Jr.,Griffin Canning,0,6f314be9-2021-4eb5-991c-7f02eda7ff08,656288.0,griffincanning,Canning,Right,Griffin Canning,LAA,5.35,4.82,156.1,98.0,87.0,97.0,0.773,6.74,3.4,9.27,1.61,1.03,0.227,0.435,0.121,0.366,0.399,96.0,102.0,102.0,74.0,97.0,97.0,73.0,93.0,85.0,78.0,88.0,76.0,105.0,100.0,111.0,0.01,0.374,0.235,0.112,0.269,-0.86,-7.82,-1.14,-0.52,0.41,93.5,88.6,93.0,87.8,80.6,0.249,0.522,0.147,0.297,0.455,0.32,0.5,1.0,0.0,0.273,0.386,0.25,0.259,0.396,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-10,745856,Strikeout,strikeout,True,680577,656288,DaShawn Keirsey Jr.,Griffin Canning,1,8edfe87f-81e0-445c-8048-ed0c0d022e38,656288.0,griffincanning,Canning,Right,Griffin Canning,LAA,5.35,4.82,156.1,98.0,87.0,97.0,0.773,6.74,3.4,9.27,1.61,1.03,0.227,0.435,0.121,0.366,0.399,96.0,102.0,102.0,74.0,97.0,97.0,73.0,93.0,85.0,78.0,88.0,76.0,105.0,100.0,111.0,0.01,0.374,0.235,0.112,0.269,-0.86,-7.82,-1.14,-0.52,0.41,93.5,88.6,93.0,87.8,80.6,0.249,0.522,0.147,0.297,0.455,0.32,0.5,1.0,0.0,0.273,0.386,0.25,0.259,0.396,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-10,745856,Lineout,field_out,True,680577,656288,DaShawn Keirsey Jr.,Griffin Canning,0,2ffb0afe-777c-4816-84ce-886e28e7cd62,656288.0,griffincanning,Canning,Right,Griffin Canning,LAA,5.35,4.82,156.1,98.0,87.0,97.0,0.773,6.74,3.4,9.27,1.61,1.03,0.227,0.435,0.121,0.366,0.399,96.0,102.0,102.0,74.0,97.0,97.0,73.0,93.0,85.0,78.0,88.0,76.0,105.0,100.0,111.0,0.01,0.374,0.235,0.112,0.269,-0.86,-7.82,-1.14,-0.52,0.41,93.5,88.6,93.0,87.8,80.6,0.249,0.522,0.147,0.297,0.455,0.32,0.5,1.0,0.0,0.273,0.386,0.25,0.259,0.396,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-10,745856,Single,single,False,680577,670871,DaShawn Keirsey Jr.,Guillermo Zuñiga,0,ac22be7a-8e43-4ce0-9240-10959611f239,670871.0,guillermozuniga,Zuñiga,Right,Guillermo Zuñiga,LAA,5.4,4.27,11.2,95.0,108.0,95.0,0.8,7.71,4.63,8.49,2.31,1.08,0.171,0.429,0.086,0.343,0.402,123.0,70.0,84.0,,,,90.0,101.0,92.0,113.0,91.0,94.0,123.0,103.0,111.0,0.32,0.34,0.222,,0.119,3.5,-4.26,0.11,,-5.73,96.7,88.6,96.6,86.3,,0.125,0.125,0.206,0.333,0.333,0.3,0.4,0.8,0.071,,,,0.2,0.7,0.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,745857,Lineout,field_out,True,680577,686799,DaShawn Keirsey Jr.,Jack Kochanowicz,0,ad9a83b3-124a-405b-80ab-d7f8fa57c5c8,686799.0,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,5.08,6.42,44.1,100.0,101.0,102.0,0.867,3.05,1.83,10.96,1.22,2.21,0.217,0.382,0.146,0.369,0.514,72.0,101.0,99.0,113.0,93.0,106.0,92.0,98.0,97.0,99.0,102.0,101.0,,,,0.71,0.039,,0.216,0.035,-2.63,-0.21,,-1.58,-4.08,96.3,88.4,95.8,,85.3,0.2,0.8,0.222,,,,0.336,0.492,0.117,0.233,0.433,0.238,0.375,0.5,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,745857,Hit By Pitch,hit_by_pitch,False,680577,686799,DaShawn Keirsey Jr.,Jack Kochanowicz,0,660e8a29-81f0-49a3-ac8f-7187c02e2e6b,686799.0,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,5.08,6.42,44.1,100.0,101.0,102.0,0.867,3.05,1.83,10.96,1.22,2.21,0.217,0.382,0.146,0.369,0.514,72.0,101.0,99.0,113.0,93.0,106.0,92.0,98.0,97.0,99.0,102.0,101.0,,,,0.71,0.039,,0.216,0.035,-2.63,-0.21,,-1.58,-4.08,96.3,88.4,95.8,,85.3,0.2,0.8,0.222,,,,0.336,0.492,0.117,0.233,0.433,0.238,0.375,0.5,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,745857,Lineout,field_out,True,680577,656271,DaShawn Keirsey Jr.,Brock Burke,0,3161ae14-a98b-447b-9412-74ef2fd968b9,656271.0,brockburke,Burke,Left,Brock Burke,- - -,6.51,3.21,27.2,101.0,95.0,101.0,0.734,12.04,4.55,10.41,1.3,1.33,0.237,0.342,0.211,0.303,0.465,100.0,105.0,107.0,,,,97.0,103.0,101.0,99.0,100.0,98.0,88.0,95.0,98.0,0.044,0.515,0.27,,0.171,-2.29,-0.34,-0.47,,1.61,95.6,88.8,93.9,86.9,,0.309,0.655,0.209,0.25,0.333,0.368,0.333,0.5,0.308,,,,0.259,0.296,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
