date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,EP%,wEP/C,vEP,SV_ba,SV_slg,SV_whiff,vSC (sc),SC%,wSC/C,ST_ba,ST_slg,ST_whiff,FO%,wFO/C,vFO,SC_ba,SC_slg,SC_whiff
2024-05-31,745820,Strikeout,strikeout,True,578428,656756,Jose Iglesias,Jordan Montgomery,0,6d278827-5c13-48bf-923c-aea55f84cf44,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.44,5.16,65.2,98.0,94.0,95.0,0.768,6.17,3.15,11.92,1.1,1.29,0.157,0.454,0.114,0.354,0.395,97.0,96.0,90.0,69.0,99.0,90.0,90.0,96.0,93.0,102.0,90.0,85.0,,,,0.332,0.164,,0.022,0.19,-1.97,,-1.73,4.12,-2.03,91.9,,82.8,91.7,83.4,0.34,0.44,0.17,0.371,0.567,0.135,0.0,0.0,0.7,,,,0.319,0.638,0.382,108.0,102.0,105.0,0.292,-0.37,79.0,0.268,0.437,0.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-31,745820,Groundout,field_out,True,578428,656756,Jose Iglesias,Jordan Montgomery,0,26e329e8-8a8b-4d9f-849d-7a4cda238f9a,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.44,5.16,65.2,98.0,94.0,95.0,0.768,6.17,3.15,11.92,1.1,1.29,0.157,0.454,0.114,0.354,0.395,97.0,96.0,90.0,69.0,99.0,90.0,90.0,96.0,93.0,102.0,90.0,85.0,,,,0.332,0.164,,0.022,0.19,-1.97,,-1.73,4.12,-2.03,91.9,,82.8,91.7,83.4,0.34,0.44,0.17,0.371,0.567,0.135,0.0,0.0,0.7,,,,0.319,0.638,0.382,108.0,102.0,105.0,0.292,-0.37,79.0,0.268,0.437,0.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-31,745820,Single,single,False,578428,663531,Jose Iglesias,Logan Allen,0,4d73a336-3f39-47a6-82da-e1a3e95a952c,663531.0,loganallen,"Allen, L.S.",Left,Logan Allen,CLE,5.67,5.5,87.1,97.0,78.0,92.0,0.793,7.83,3.61,10.31,1.85,1.07,0.258,0.362,0.151,0.321,0.409,101.0,94.0,97.0,61.0,98.0,88.0,,,,91.0,98.0,86.0,92.0,99.0,97.0,,0.483,0.15,0.183,0.183,-1.5,0.37,,-2.18,-1.11,91.2,85.4,81.6,,78.6,0.563,0.875,0.132,0.348,0.652,0.053,0.231,0.308,0.273,0.263,0.316,0.235,,,,,,,,,,,,,0.138,0.138,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-31,745820,Groundout,field_out,True,578428,663531,Jose Iglesias,Logan Allen,0,3bfe9bbf-35e4-4edf-a2f0-1848a88e36e2,663531.0,loganallen,"Allen, L.S.",Left,Logan Allen,CLE,5.67,5.5,87.1,97.0,78.0,92.0,0.793,7.83,3.61,10.31,1.85,1.07,0.258,0.362,0.151,0.321,0.409,101.0,94.0,97.0,61.0,98.0,88.0,,,,91.0,98.0,86.0,92.0,99.0,97.0,,0.483,0.15,0.183,0.183,-1.5,0.37,,-2.18,-1.11,91.2,85.4,81.6,,78.6,0.563,0.875,0.132,0.348,0.652,0.053,0.231,0.308,0.273,0.263,0.316,0.235,,,,,,,,,,,,,0.138,0.138,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-01,745812,Groundout,field_out,True,578428,676714,Jose Iglesias,Brandon Hughes,0,6ff4ba7a-4dd4-4fc5-9076-724c002e3b24,676714.0,brandonhughes,Hughes,Left,Brandon Hughes,ARI,10.29,11.35,14.0,98.0,89.0,96.0,0.748,11.57,4.5,14.79,5.14,0.48,0.255,0.383,0.191,0.362,0.394,,,,75.0,96.0,88.0,85.0,93.0,90.0,104.0,103.0,106.0,,,,0.26,0.342,,0.397,,-5.23,,-4.72,-2.75,,92.4,,,92.4,81.2,0.389,1.111,0.182,0.5,0.833,0.118,0.25,0.571,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-01,745812,Single,single,False,578428,676714,Jose Iglesias,Brandon Hughes,1,ae6adb18-8efc-47e2-8c04-d6f13063b89e,676714.0,brandonhughes,Hughes,Left,Brandon Hughes,ARI,10.29,11.35,14.0,98.0,89.0,96.0,0.748,11.57,4.5,14.79,5.14,0.48,0.255,0.383,0.191,0.362,0.394,,,,75.0,96.0,88.0,85.0,93.0,90.0,104.0,103.0,106.0,,,,0.26,0.342,,0.397,,-5.23,,-4.72,-2.75,,92.4,,,92.4,81.2,0.389,1.111,0.182,0.5,0.833,0.118,0.25,0.571,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-03,744854,Single,single,False,578428,669022,Jose Iglesias,MacKenzie Gore,1,fcc161c2-4f2d-41fa-8acd-2f5cd1dc2c67,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,94.0,89.0,93.0,130.0,99.0,105.0,,,,93.0,87.0,91.0,,,,,0.549,,0.161,0.092,0.21,,,-0.7,-1.82,96.4,,85.9,,91.0,0.284,0.408,0.239,,,,0.429,0.714,0.25,,,,0.321,0.607,0.512,107.0,104.0,105.0,0.198,0.66,83.3,0.217,0.265,0.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-03,744854,Single,single,False,578428,669022,Jose Iglesias,MacKenzie Gore,0,9abfff4e-4776-4722-8689-5f2efd397878,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.01,3.96,98.2,98.0,115.0,103.0,0.736,10.58,3.38,9.49,0.64,0.9,0.284,0.331,0.164,0.273,0.434,94.0,89.0,93.0,130.0,99.0,105.0,,,,93.0,87.0,91.0,,,,,0.549,,0.161,0.092,0.21,,,-0.7,-1.82,96.4,,85.9,,91.0,0.284,0.408,0.239,,,,0.429,0.714,0.25,,,,0.321,0.607,0.512,107.0,104.0,105.0,0.198,0.66,83.3,0.217,0.265,0.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-03,744854,Single,single,False,578428,571670,Jose Iglesias,Dylan Floro,1,4de2ee9e-7a5f-4c09-8bdf-7c98855cb86c,571670.0,dylanfloro,Floro,Right,Dylan Floro,WSN,2.11,3.1,47.0,106.0,75.0,96.0,0.809,7.28,2.3,7.09,0.0,1.66,0.293,0.338,0.18,0.331,0.455,68.0,115.0,101.0,83.0,111.0,102.0,79.0,107.0,96.0,68.0,98.0,89.0,,,,0.473,0.166,,0.28,0.08,2.92,,2.15,2.14,-0.67,90.0,,84.1,90.2,83.6,0.182,0.182,0.226,0.247,0.296,0.067,0.167,0.19,0.351,,,,0.308,0.308,0.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-03,744854,Groundout,field_out,True,578428,607179,Jose Iglesias,Jordan Weems,0,14934f91-5325-4bc5-80eb-0504887aa749,607179.0,jordanweems,Weems,Right,Jordan Weems,WSN,5.54,4.36,39.0,96.0,108.0,95.0,0.814,7.62,4.38,9.46,1.15,0.98,0.281,0.306,0.207,0.355,0.432,104.0,82.0,96.0,100.0,94.0,90.0,,,,122.0,99.0,103.0,,,,,0.605,,0.358,0.028,0.22,,,-0.74,-14.18,96.1,,87.4,,87.7,0.247,0.371,0.173,,,,0.241,0.466,0.289,,,,0.8,1.0,0.333,144.0,94.0,115.0,0.009,-8.86,79.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
