date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,SI%,KC%,wSI/C,wKC/C,vSI,vKC,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,FO%,wFO/C,vFO,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff
2024-04-05,745033,Flyout,field_out,True,679822,622766,Justin Foscue,Miguel Díaz,0,d4a83877-562c-4f83-a511-3c042e022c76,622766.0,migueldiaz,"Díaz, M",Right,Miguel Díaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-07,745032,Single,single,False,679822,623352,Justin Foscue,Josh Hader,1,b5329c94-fa81-45e7-9fd4-c072d3db6bab,623352.0,joshhader,Hader,Left,Josh Hader,HOU,3.77,2.68,43.0,98.0,126.0,111.0,0.641,14.23,2.51,6.28,1.67,0.67,0.191,0.371,0.135,0.326,0.404,110.0,70.0,51.0,,,,,,,112.0,97.0,107.0,,,,,,0.264,,0.015,,,1.55,,-10.92,,,89.3,86.2,,,,,,,,,,,0.149,0.277,0.549,133.0,99.0,115.0,,,,0.721,,0.94,,96.0,,,,,0.206,0.383,0.328,,,,,,,,,,,,,,,
2024-07-20,744994,Double,double,False,679822,680570,Justin Foscue,Grayson Rodriguez,1,5b4665c4-2049-469a-ae96-4a845b58ed72,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,3.88,3.91,99.2,102.0,119.0,106.0,0.725,10.11,2.8,8.4,1.17,0.97,0.232,0.404,0.169,0.301,0.446,143.0,99.0,106.0,112.0,103.0,107.0,112.0,101.0,105.0,117.0,103.0,109.0,,,,0.456,,0.159,0.158,0.211,-0.19,,-1.35,0.36,1.25,96.1,,83.1,86.6,81.2,0.278,0.373,0.258,0.163,0.327,0.379,0.25,0.386,0.272,0.275,0.623,0.346,127.0,101.0,105.0,,,,0.015,,3.9,,96.4,,,,,0.25,0.375,0.278,,,,,,,,,,,,,,,
2024-07-20,744994,Strikeout,strikeout,True,679822,680570,Justin Foscue,Grayson Rodriguez,0,4799d4a4-c074-4aa0-8af3-dafc205959af,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,3.88,3.91,99.2,102.0,119.0,106.0,0.725,10.11,2.8,8.4,1.17,0.97,0.232,0.404,0.169,0.301,0.446,143.0,99.0,106.0,112.0,103.0,107.0,112.0,101.0,105.0,117.0,103.0,109.0,,,,0.456,,0.159,0.158,0.211,-0.19,,-1.35,0.36,1.25,96.1,,83.1,86.6,81.2,0.278,0.373,0.258,0.163,0.327,0.379,0.25,0.386,0.272,0.275,0.623,0.346,127.0,101.0,105.0,,,,0.015,,3.9,,96.4,,,,,0.25,0.375,0.278,,,,,,,,,,,,,,,
2024-07-20,744994,Groundout,field_out,True,679822,657097,Justin Foscue,Jacob Webb,1,6eadfaa5-4a63-4491-8806-9b3405abbb40,657097.0,jacobwebb,"Webb, J",Right,Jacob Webb,BAL,2.55,3.39,42.1,100.0,110.0,103.0,0.745,8.93,4.46,5.53,0.43,0.76,0.295,0.375,0.188,0.313,0.441,113.0,102.0,104.0,,,,108.0,99.0,100.0,109.0,101.0,108.0,,,,0.454,,0.281,,0.265,0.15,,1.42,,2.39,93.5,,84.4,82.6,,0.182,0.333,0.248,0.111,0.178,0.392,,,,0.209,0.256,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-20,744994,Strikeout,strikeout,True,679822,518886,Justin Foscue,Craig Kimbrel,1,4097e796-a984-468a-98ce-d69991ca750c,518886.0,craigkimbrel,Kimbrel,Right,Craig Kimbrel,BAL,2.8,3.15,35.1,98.0,116.0,103.0,0.724,13.5,4.08,4.58,0.76,0.58,0.353,0.353,0.206,0.279,0.45,,,,,,,114.0,99.0,101.0,77.0,102.0,110.0,,,,0.682,,0.067,,,1.16,,0.86,,,94.2,,,85.8,,0.163,0.302,0.312,,,,0.13,0.13,0.302,0.091,0.091,0.533,,,,122.0,96.0,106.0,,0.251,,1.69,,84.5,,,,,,,,,,,,,,,,,,,,,
2024-07-21,744991,Strikeout,strikeout,True,679822,665152,Justin Foscue,Dean Kremer,0,87155fac-6ba0-4b19-984a-d89534aeed25,665152.0,deankremer,Kremer,Right,Dean Kremer,BAL,4.38,5.36,63.2,101.0,89.0,98.0,0.793,9.05,3.53,7.21,1.84,0.89,0.25,0.389,0.244,0.322,0.411,,,,83.0,101.0,98.0,92.0,101.0,101.0,,,,99.0,104.0,100.0,0.338,0.273,,0.112,,-0.75,0.87,,-0.21,,93.4,86.9,,,77.4,0.247,0.644,0.242,,,,0.211,0.263,0.243,,,,81.0,103.0,97.0,,,,0.124,,0.91,,92.0,,0.23,0.338,0.245,0.211,0.342,0.061,,,,74.0,92.0,91.0,0.153,0.0,83.9,0.114,0.229,0.364,,,
2024-07-21,744991,Flyout,field_out,True,679822,665152,Justin Foscue,Dean Kremer,0,54b95ca2-fab0-443b-8214-8178b9a1582a,665152.0,deankremer,Kremer,Right,Dean Kremer,BAL,4.38,5.36,63.2,101.0,89.0,98.0,0.793,9.05,3.53,7.21,1.84,0.89,0.25,0.389,0.244,0.322,0.411,,,,83.0,101.0,98.0,92.0,101.0,101.0,,,,99.0,104.0,100.0,0.338,0.273,,0.112,,-0.75,0.87,,-0.21,,93.4,86.9,,,77.4,0.247,0.644,0.242,,,,0.211,0.263,0.243,,,,81.0,103.0,97.0,,,,0.124,,0.91,,92.0,,0.23,0.338,0.245,0.211,0.342,0.061,,,,74.0,92.0,91.0,0.153,0.0,83.9,0.114,0.229,0.364,,,
2024-07-21,744991,Lineout,field_out,True,679822,641329,Justin Foscue,Bryan Baker,0,9417e30c-99f6-4e44-8d8a-75c2359e720a,641329.0,bryanbaker,Baker,Right,Bryan Baker,BAL,5.14,4.18,14.0,102.0,113.0,105.0,0.838,7.71,3.21,7.71,1.29,1.29,0.231,0.513,0.154,0.359,0.462,112.0,98.0,111.0,161.0,117.0,125.0,97.0,95.0,93.0,123.0,110.0,117.0,,,,0.466,,0.314,0.085,0.136,-1.87,,4.11,3.27,-2.97,96.1,,82.9,87.2,78.6,0.318,0.591,0.182,0.333,0.333,0.182,0.2,0.4,0.2,0.111,0.278,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-22,744988,Strikeout,strikeout,True,679822,607200,Justin Foscue,Erick Fedde,0,eddfba9d-491a-4d7c-ae84-80ed12df67d9,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.98,3.65,117.2,105.0,92.0,100.0,0.803,7.95,2.45,7.57,0.99,1.2,0.262,0.366,0.183,0.305,0.395,86.0,112.0,108.0,,,,59.0,103.0,102.0,126.0,101.0,106.0,79.0,105.0,97.0,0.001,0.304,0.2,,0.193,-1.88,0.83,0.85,,0.17,94.1,90.1,87.8,83.6,,,,,0.217,0.293,0.142,,,,0.169,0.349,0.265,79.0,106.0,93.0,,,,0.302,,0.83,,93.1,,0.246,0.431,0.253,0.237,0.345,0.207,,,,,,,,,,,,,,,
2024-07-22,744988,Groundout,field_out,True,679822,607200,Justin Foscue,Erick Fedde,0,f84d0fd2-3dcc-4f3f-ab09-3cc2a7cb994f,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.98,3.65,117.2,105.0,92.0,100.0,0.803,7.95,2.45,7.57,0.99,1.2,0.262,0.366,0.183,0.305,0.395,86.0,112.0,108.0,,,,59.0,103.0,102.0,126.0,101.0,106.0,79.0,105.0,97.0,0.001,0.304,0.2,,0.193,-1.88,0.83,0.85,,0.17,94.1,90.1,87.8,83.6,,,,,0.217,0.293,0.142,,,,0.169,0.349,0.265,79.0,106.0,93.0,,,,0.302,,0.83,,93.1,,0.246,0.431,0.253,0.237,0.345,0.207,,,,,,,,,,,,,,,
2024-07-22,744988,Lineout,field_out,True,679822,656629,Justin Foscue,Michael Kopech,0,8d10cff9-88da-44bd-b047-8d85cf1de0aa,656629.0,michaelkopech,Kopech,Right,Michael Kopech,CHW,4.85,3.89,42.2,100.0,143.0,110.0,0.695,12.02,4.85,7.17,1.69,0.88,0.277,0.416,0.129,0.287,0.442,92.0,16.0,15.0,,,,153.0,99.0,111.0,114.0,101.0,108.0,94.0,105.0,98.0,0.795,0.106,0.097,,0.001,0.25,0.74,-2.37,,-3.76,98.6,91.3,73.5,86.5,,0.212,0.407,0.321,,,,,,,0.269,0.385,0.289,,,,,,,,,,,,,0.2,0.2,0.225,,,,,,,,,,,,,,,,,,
2024-07-22,744988,Strikeout,strikeout,True,679822,605154,Justin Foscue,John Brebbia,1,e5fcbdf1-5fbf-4fd4-bc99-ba0eca8e9ad0,605154.0,johnbrebbia,Brebbia,Right,John Brebbia,CHW,5.22,4.41,39.2,104.0,105.0,105.0,0.773,11.57,2.27,9.53,1.13,0.73,0.273,0.382,0.155,0.364,0.437,97.0,92.0,80.0,,,,105.0,106.0,107.0,105.0,102.0,104.0,,,,0.46,,0.537,,0.003,1.76,,-1.69,,2.49,93.9,,91.4,82.9,,0.169,0.282,0.285,,,,,,,0.333,0.511,0.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-23,744985,Strikeout,strikeout,True,679822,676979,Justin Foscue,Garrett Crochet,0,26540b15-d191-4162-af5f-b5ead6605879,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.07,2.46,111.1,103.0,103.0,104.0,0.698,12.69,2.02,6.71,0.81,1.28,0.265,0.374,0.179,0.315,0.468,69.0,103.0,103.0,,,,105.0,103.0,103.0,139.0,99.0,104.0,92.0,106.0,105.0,0.554,0.277,0.11,,0.059,1.71,1.98,-2.78,,-0.38,97.0,91.4,90.8,84.1,,0.189,0.272,0.309,0.179,0.321,0.279,,,,0.222,0.6,0.379,,,,,,,,,,,,,0.218,0.286,0.347,,,,,,,,,,,,,,,,,,
