date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSL/C,wCH/C,vFA,vFC,vCH,vSL,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,CU%,wFS/C,wSI/C,wCU/C,vFS,vSI,vCU,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vSC (sc),SC%,wSC/C,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff
2024-05-07,746638,Grounded Into DP,grounded_into_double_play,True,668723,671106,Ryan Vilade,Logan Allen,1,668dc7a4-bd5b-4c3f-863e-9cd490c9f127,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,5.67,5.5,87.1,97.0,78.0,92.0,0.793,7.83,3.61,10.31,1.85,1.07,0.258,0.362,0.151,0.321,0.409,101.0,94.0,97.0,61.0,98.0,88.0,91.0,98.0,86.0,92.0,99.0,97.0,0.483,0.15,0.183,0.183,-1.5,0.37,-2.18,-1.11,91.2,85.4,81.6,78.6,0.329,0.593,0.159,0.254,0.479,0.278,0.263,0.509,0.355,0.245,0.449,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-07,746638,Single,single,False,668723,658648,Ryan Vilade,Pedro Avila,1,5519cbb9-a5bf-4925-a157-4a7bb5337b7b,658648.0,pedroavila,Avila,Right,Pedro Avila,- - -,4.41,4.39,49.0,95.0,90.0,94.0,0.763,9.18,4.22,7.53,1.1,1.56,0.252,0.363,0.141,0.289,0.393,124.0,97.0,114.0,73.0,93.0,86.0,98.0,83.0,88.0,,,,0.368,,0.056,0.221,0.23,,-1.63,0.41,93.7,,83.4,79.1,0.222,0.397,0.246,0.2,0.383,0.336,0.333,0.333,0.444,,,,81.0,98.0,94.0,89.0,98.0,87.0,,,,0.156,,0.2,,-0.39,0.27,,93.4,77.7,,,,0.304,0.478,0.043,0.179,0.25,0.349,,,,,,,,,,,,,,,
2024-05-07,746638,Walk,walk,False,668723,658648,Ryan Vilade,Pedro Avila,0,cdaa7ca3-1ba5-4575-9042-3c08cbcc47ed,658648.0,pedroavila,Avila,Right,Pedro Avila,- - -,4.41,4.39,49.0,95.0,90.0,94.0,0.763,9.18,4.22,7.53,1.1,1.56,0.252,0.363,0.141,0.289,0.393,124.0,97.0,114.0,73.0,93.0,86.0,98.0,83.0,88.0,,,,0.368,,0.056,0.221,0.23,,-1.63,0.41,93.7,,83.4,79.1,0.222,0.397,0.246,0.2,0.383,0.336,0.333,0.333,0.444,,,,81.0,98.0,94.0,89.0,98.0,87.0,,,,0.156,,0.2,,-0.39,0.27,,93.4,77.7,,,,0.304,0.478,0.043,0.179,0.25,0.349,,,,,,,,,,,,,,,
2024-05-07,746638,Single,single,False,668723,682120,Ryan Vilade,Tim Herrin,1,e7854d7b-aa46-42ab-a36d-04dd682854a9,682120.0,timherrin,Herrin,Left,Tim Herrin,CLE,1.45,3.36,37.1,96.0,105.0,98.0,0.72,9.4,4.34,4.58,0.24,1.41,0.148,0.455,0.193,0.273,0.411,,,,97.0,93.0,88.0,116.0,95.0,100.0,,,,0.254,,0.249,,1.69,,0.48,,95.4,,,87.6,0.176,0.206,0.171,,,,0.238,0.381,0.338,,,,105.0,96.0,99.0,106.0,106.0,112.0,,,,0.098,,0.398,,5.35,1.95,,94.0,81.5,,,,0.0,0.0,0.115,0.138,0.224,0.385,,,,,,,,,,,,,,,
2024-05-07,746638,Groundout,field_out,True,668723,605130,Ryan Vilade,Scott Barlow,0,e46178a7-37e9-4c68-bd0f-1edfa59e5be8,605130.0,scottbarlow,"Barlow, S",Right,Scott Barlow,CLE,3.52,3.61,38.1,91.0,115.0,93.0,0.648,12.68,5.4,7.28,0.94,1.83,0.169,0.551,0.191,0.247,0.333,,,,80.0,89.0,83.0,124.0,86.0,90.0,,,,0.202,,0.489,,-0.48,,1.33,,91.7,,,81.2,0.36,0.52,0.204,,,,0.141,0.203,0.424,,,,149.0,103.0,108.0,98.0,93.0,93.0,,,,0.099,,0.209,,-2.08,-1.56,,91.7,77.5,,,,0.5,0.667,0.316,0.175,0.425,0.444,,,,,,,,,,,,,,,
2024-05-08,746640,Fielders Choice Out,fielders_choice_out,True,668723,661403,Ryan Vilade,Emmanuel Clase,1,31b038eb-4b51-4b84-b775-38f8096c0a97,661403.0,emmanuelclase,"Clase, E",Right,Emmanuel Clase,CLE,0.81,2.81,44.1,106.0,146.0,113.0,0.763,7.92,1.02,5.08,0.2,2.36,0.246,0.347,0.161,0.237,0.448,,,,123.0,123.0,53.0,142.0,115.0,129.0,148.0,104.0,110.0,0.005,0.81,0.185,,0.15,3.05,1.3,,99.8,99.3,,90.4,,,,,,,0.171,0.2,0.313,0.16,0.227,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10,746479,Field Error,field_error,False,668723,664285,Ryan Vilade,Framber Valdez,1,f85baf6a-fe1a-4c34-92a6-ef8b93a7887c,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.66,3.99,98.1,96.0,110.0,100.0,0.77,7.51,2.93,8.6,0.73,3.21,0.204,0.398,0.106,0.338,0.427,125.0,91.0,100.0,63.0,111.0,97.0,102.0,102.0,114.0,,,,0.017,,0.04,0.15,-3.8,,0.84,-0.13,94.2,,89.5,85.6,0.4,1.0,0.273,0.264,0.358,0.345,0.211,0.421,0.367,,,,128.0,91.0,103.0,95.0,101.0,97.0,,,,0.514,,0.278,,1.28,0.45,,93.8,80.0,,,,0.31,0.411,0.12,0.149,0.23,0.399,,,,,,,,,,,,,,,
2024-05-10,746479,Grounded Into DP,grounded_into_double_play,True,668723,664285,Ryan Vilade,Framber Valdez,1,1772b1d2-93be-4d32-9312-97cf98944b70,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.66,3.99,98.1,96.0,110.0,100.0,0.77,7.51,2.93,8.6,0.73,3.21,0.204,0.398,0.106,0.338,0.427,125.0,91.0,100.0,63.0,111.0,97.0,102.0,102.0,114.0,,,,0.017,,0.04,0.15,-3.8,,0.84,-0.13,94.2,,89.5,85.6,0.4,1.0,0.273,0.264,0.358,0.345,0.211,0.421,0.367,,,,128.0,91.0,103.0,95.0,101.0,97.0,,,,0.514,,0.278,,1.28,0.45,,93.8,80.0,,,,0.31,0.411,0.12,0.149,0.23,0.399,,,,,,,,,,,,,,,
2024-05-10,746479,Groundout,field_out,True,668723,664285,Ryan Vilade,Framber Valdez,0,76661011-ed18-4af9-a1c8-bad105396cf0,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.66,3.99,98.1,96.0,110.0,100.0,0.77,7.51,2.93,8.6,0.73,3.21,0.204,0.398,0.106,0.338,0.427,125.0,91.0,100.0,63.0,111.0,97.0,102.0,102.0,114.0,,,,0.017,,0.04,0.15,-3.8,,0.84,-0.13,94.2,,89.5,85.6,0.4,1.0,0.273,0.264,0.358,0.345,0.211,0.421,0.367,,,,128.0,91.0,103.0,95.0,101.0,97.0,,,,0.514,,0.278,,1.28,0.45,,93.8,80.0,,,,0.31,0.411,0.12,0.149,0.23,0.399,,,,,,,,,,,,,,,
2024-05-10,746479,Strikeout,strikeout,True,668723,623352,Ryan Vilade,Josh Hader,0,551ad322-88f7-484d-a0e6-92dea5e87e86,623352.0,joshhader,Hader,Left,Josh Hader,HOU,3.77,2.68,43.0,98.0,126.0,111.0,0.641,14.23,2.51,6.28,1.67,0.67,0.191,0.371,0.135,0.326,0.404,110.0,70.0,51.0,,,,112.0,97.0,107.0,,,,,,0.264,0.015,,,1.55,-10.92,,,89.3,86.2,,,,,,,0.149,0.277,0.549,,,,,,,133.0,99.0,115.0,,,,0.721,,,,0.94,,,96.0,,,,,0.206,0.383,0.328,,,,,,,,,,,,,,,,,,
2024-07-12,746450,Walk,walk,False,668723,572020,Ryan Vilade,James Paxton,0,cbe76081-ef07-4e9a-b256-187f630d2682,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,69.0,98.0,85.0,,,,82.0,95.0,84.0,0.577,0.037,,0.07,0.34,-3.42,,-1.66,93.2,84.0,82.6,,0.243,0.381,0.138,0.217,0.348,0.31,,,,0.308,0.769,0.13,,,,65.0,98.0,92.0,,,,0.032,,,,-4.92,,,92.6,,,,,0.462,0.692,0.095,0.224,0.355,0.358,79.0,96.0,96.0,0.284,-0.23,80.8,,,,,,,,,
2024-07-12,746450,Single,single,False,668723,572020,Ryan Vilade,James Paxton,0,a4a67de9-1e45-4f52-9574-a04107d6469f,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,69.0,98.0,85.0,,,,82.0,95.0,84.0,0.577,0.037,,0.07,0.34,-3.42,,-1.66,93.2,84.0,82.6,,0.243,0.381,0.138,0.217,0.348,0.31,,,,0.308,0.769,0.13,,,,65.0,98.0,92.0,,,,0.032,,,,-4.92,,,92.6,,,,,0.462,0.692,0.095,0.224,0.355,0.358,79.0,96.0,96.0,0.284,-0.23,80.8,,,,,,,,,
2024-07-12,746450,Single,single,False,668723,623465,Ryan Vilade,Evan Phillips,0,7501b1f7-8ac4-4475-bee5-fd8bf45377a0,623465.0,evanphillips,"Phillips, E",Right,Evan Phillips,LAD,2.73,3.05,29.2,104.0,122.0,109.0,0.737,9.71,2.43,7.28,1.21,1.1,0.228,0.342,0.203,0.203,0.466,,,,120.0,110.0,112.0,142.0,106.0,116.0,101.0,96.0,93.0,0.3,0.209,0.393,,1.69,-2.03,0.89,,96.3,92.9,,84.9,0.2,0.2,0.348,,,,0.172,0.328,0.315,0.304,0.609,0.2,,,,97.0,97.0,105.0,,,,0.099,,,,0.79,,,95.7,,,,,0.3,0.3,0.107,,,,,,,,,,,,,,,,,,
2024-07-12,746450,Strikeout,strikeout,True,668723,543339,Ryan Vilade,Daniel Hudson,0,4b347edf-090d-4a9d-877a-4fb1486d48b5,543339.0,danielhudson,"Hudson, Dan",Right,Daniel Hudson,LAD,1.59,2.68,39.2,105.0,101.0,105.0,0.692,9.76,1.59,5.67,1.13,0.8,0.26,0.42,0.13,0.28,0.416,73.0,98.0,105.0,112.0,105.0,105.0,91.0,104.0,104.0,,,,0.514,,0.395,0.039,2.0,,1.08,0.92,95.3,,89.0,88.1,0.191,0.353,0.287,,,,0.119,0.254,0.44,,,,,,,88.0,109.0,117.0,,,,0.052,,,,-1.15,,,95.3,,,,,0.385,0.385,0.15,,,,,,,,,,,,,,,,,,
2024-07-13,746447,Strikeout,strikeout,True,668723,680736,Ryan Vilade,Justin Wrobleski,0,a2a4b1ea-ed74-4935-9d3a-64fb8b3bcc06,680736.0,justinwrobleski,Wrobleski,Left,Justin Wrobleski,LAD,6.3,7.37,10.0,100.0,88.0,100.0,0.811,7.2,3.6,9.0,3.6,0.47,0.4,0.2,0.267,0.333,0.513,66.0,99.0,103.0,99.0,99.0,101.0,99.0,115.0,109.0,53.0,91.0,92.0,0.556,0.15,0.188,0.063,0.68,-6.77,-7.93,-0.28,95.1,88.1,82.8,84.5,0.182,0.364,0.182,,,,0.25,0.833,0.308,0.667,2.0,0.154,49.0,121.0,132.0,53.0,87.0,76.0,,,,0.038,,0.006,,-7.62,3.88,,92.7,80.6,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-13,746447,Home Run,home_run,False,668723,680736,Ryan Vilade,Justin Wrobleski,0,f3e7a462-d2bc-4761-9b8a-0950c65e6713,680736.0,justinwrobleski,Wrobleski,Left,Justin Wrobleski,LAD,6.3,7.37,10.0,100.0,88.0,100.0,0.811,7.2,3.6,9.0,3.6,0.47,0.4,0.2,0.267,0.333,0.513,66.0,99.0,103.0,99.0,99.0,101.0,99.0,115.0,109.0,53.0,91.0,92.0,0.556,0.15,0.188,0.063,0.68,-6.77,-7.93,-0.28,95.1,88.1,82.8,84.5,0.182,0.364,0.182,,,,0.25,0.833,0.308,0.667,2.0,0.154,49.0,121.0,132.0,53.0,87.0,76.0,,,,0.038,,0.006,,-7.62,3.88,,92.7,80.6,,,,,,,,,,,,,,,,,,,,,,,,
