gameId,pitcher_id,pitcher_name,batter_id,batter_name,description,type,startSpeed,endSpeed,strikeZoneTop,strikeZoneBottom,zone,x,y,pX,pY,verticalMovement,horizontalMovement
746296,573186,Marcus Stroman,671221,Drew Waters,Ball,Sinker,90.4,83.9,3.52341813891397,1.67208342761412,9,85.99,185.68,0.8135063053237191,1.9668139555329736,-27.0,11.9
746296,573186,Marcus Stroman,671221,Drew Waters,Foul,Cutter,88.0,80.8,3.52,1.7,5,108.4,166.32,0.2254952875066295,2.6838443357572777,-29.3,1.6
746296,573186,Marcus Stroman,671221,Drew Waters,Ball,Splitter,82.7,76.8,3.43829258313913,1.73412405544624,14,85.11,204.83,0.8366065412654459,1.2573656468173282,-37.9,11.9
746296,573186,Marcus Stroman,671221,Drew Waters,Ball,Sinker,88.9,82.2,3.45133502283129,1.70021474184084,11,187.31,148.15,-1.844562319676912,3.3565874547726287,-30.7,11.0
746296,573186,Marcus Stroman,671221,Drew Waters,Foul,Sinker,88.5,82.2,3.52,1.7,4,137.6,169.66,-0.5404005847560441,2.5599346234515257,-30.6,10.0
746296,573186,Marcus Stroman,671221,Drew Waters,Swinging Strike,Cutter,87.1,81.1,3.52,1.7,14,70.27,205.36,1.2259870466175906,1.237883667620431,-28.3,-3.2
746296,573186,Marcus Stroman,671221,Drew Waters,Called Strike,Sinker,89.8,83.7,3.52567379528369,1.68931585530858,13,151.84,178.3,-0.9140086763446156,2.24011738591532,-31.0,11.6
746296,573186,Marcus Stroman,671221,Drew Waters,Ball,Splitter,81.9,76.2,3.50365842524851,1.70116297862445,13,147.34,216.38,-0.7960514347786911,0.8295059292591473,-36.6,15.6
746296,573186,Marcus Stroman,671221,Drew Waters,Swinging Strike,Cutter,87.8,81.9,3.52,1.7,1,132.9,158.47,-0.4172419024050758,2.974311348047839,-26.2,0.7
746296,573186,Marcus Stroman,671221,Drew Waters,Pop Out,Cutter,87.7,81.8,3.52,1.7,3,92.97,150.85,0.630429907233063,3.2567120522607613,-28.0,-1.1
746296,676760,Ron Marinaccio,671221,Drew Waters,Called Strike,Four-Seam Fastball,94.4,86.7,3.34732157625459,1.54521862265764,3,98.16,152.38,0.4942026637109938,3.1999358014679324,-16.2,10.9
746296,676760,Ron Marinaccio,671221,Drew Waters,Ball,Four-Seam Fastball,94.9,86.8,3.40275634055048,1.63221371556264,11,160.34,130.85,-1.1368865368783012,3.997486336062922,-15.0,11.9
746296,676760,Ron Marinaccio,671221,Drew Waters,Foul,Changeup,82.8,76.2,3.52,1.7,8,111.77,194.08,0.1372681182963512,1.6555892602663624,-38.4,18.0
746296,676760,Ron Marinaccio,671221,Drew Waters,Swinging Strike,Four-Seam Fastball,94.6,87.1,3.52,1.7,8,126.17,177.96,-0.2405854649269446,2.252627533819466,-15.5,13.0
746296,676760,Ron Marinaccio,671221,Drew Waters,Ball,Changeup,83.8,77.5,3.4745528399067,1.58384313860115,14,72.73,223.22,1.1612946123901258,0.5761848391960058,-35.9,18.0
746296,676760,Ron Marinaccio,671221,Drew Waters,Ball,Four-Seam Fastball,94.8,87.0,3.55630397135286,1.79193895305174,11,161.23,161.85,-1.160323970350197,2.8493503883165,-14.9,12.8
746296,676760,Ron Marinaccio,671221,Drew Waters,Groundout,Changeup,83.3,76.5,3.52,1.7,5,119.25,159.95,-0.0591238063601138,2.919589951811353,-40.0,17.4
746299,605280,Clay Holmes,671221,Drew Waters,Ball,Sinker,96.0,88.9,3.50701319705491,1.69621135681268,11,153.57,163.66,-0.959368148246616,2.7823576374156604,-22.2,13.9
746299,605280,Clay Holmes,671221,Drew Waters,Swinging Strike,Sinker,96.8,89.6,3.51,1.7,4,146.5,163.99,-0.7738508524739519,2.769881289924508,-21.5,13.7
746299,605280,Clay Holmes,671221,Drew Waters,Ball,Sinker,96.6,89.9,3.53563890673324,1.72498896617153,13,120.02,213.25,-0.0792641131454573,0.945473613666632,-25.7,12.2
746299,605280,Clay Holmes,671221,Drew Waters,Foul,Sinker,97.4,90.5,3.51,1.7,8,122.52,185.58,-0.1447711384006717,1.970538702488135,-22.9,12.4
746299,605280,Clay Holmes,671221,Drew Waters,Foul,Sinker,97.7,90.8,3.51,1.7,7,128.21,185.52,-0.2940996683776234,1.9726063068087547,-22.8,14.4
746299,605280,Clay Holmes,671221,Drew Waters,Ball,Slider,86.2,80.5,3.50701319705491,1.72498896617153,13,150.86,192.56,-0.8882401093110518,1.7119873979268436,-38.5,-1.9
