gameId,pitcher_id,pitcher_name,batter_id,batter_name,description,type,startSpeed,endSpeed,strikeZoneTop,strikeZoneBottom,zone,x,y,pX,pY,verticalMovement,horizontalMovement
746165,607192,Tyler Glasnow,691023,Jordan Walker,Swinging Strike,Slider,90.9,84.3,3.79,1.79,14,91.83,196.01,0.6604505587399693,1.5842092447291172,-30.6,-1.7
746165,607192,Tyler Glasnow,691023,Jordan Walker,Swinging Strike,Slider,91.2,84.7,3.79,1.79,14,64.36,202.12,1.380895667318059,1.3577251556992471,-35.2,-1.3
746165,607192,Tyler Glasnow,691023,Jordan Walker,Ball,Slider,91.9,85.0,3.88493481919826,1.99592768624161,14,66.42,187.34,1.326999773457811,1.9050457253203448,-35.6,-0.5
746165,607192,Tyler Glasnow,691023,Jordan Walker,Called Strike,Four-Seam Fastball,98.5,90.2,3.87448943381798,1.82483140361957,9,98.58,177.17,0.4833327376552152,2.2817419856373458,-10.6,-2.2
746165,607192,Tyler Glasnow,691023,Jordan Walker,Flyout,Slider,89.8,84.2,3.79,1.79,9,100.61,178.28,0.4301085303411847,2.2408584783049634,-30.0,-3.8
746165,642232,Ryan Yarbrough,691023,Jordan Walker,Ball,Sinker,84.7,78.0,4.03814796602504,2.00988057244035,12,60.95,140.56,1.4704322170289967,3.637789111510793,-34.1,-17.3
746165,642232,Ryan Yarbrough,691023,Jordan Walker,Flyout,Cutter,83.7,77.7,3.79,1.79,4,145.22,165.67,-0.7403117210207213,2.707628343353306,-31.8,-0.2
746167,676272,Bobby Miller,691023,Jordan Walker,Ball,Four-Seam Fastball,99.1,90.3,3.78280532431094,1.81420702141312,14,72.64,187.48,1.1637738978491432,1.900113611722884,-9.1,7.2
746167,676272,Bobby Miller,691023,Jordan Walker,Foul,Slider,94.0,86.8,3.79,1.79,9,104.15,189.99,0.3371197859237153,1.807028069194432,-20.2,-4.8
746167,676272,Bobby Miller,691023,Jordan Walker,Ball,Slider,91.6,84.4,3.84523769352026,1.89245265777058,14,84.83,206.4,0.844024545206847,1.1992427046485734,-29.2,-7.2
746167,676272,Bobby Miller,691023,Jordan Walker,Ball,Sinker,99.0,90.4,3.86413132016899,1.88283277872159,14,85.46,231.09,0.8274668693946974,0.284887988417453,-14.2,13.1
746167,676272,Bobby Miller,691023,Jordan Walker,Foul,Four-Seam Fastball,99.2,90.3,3.79,1.79,14,79.07,188.56,0.9950606391726315,1.859941794724653,-10.3,4.6
746167,676272,Bobby Miller,691023,Jordan Walker,Foul,Four-Seam Fastball,99.8,90.7,3.79,1.79,14,75.16,168.54,1.0977660687275337,2.601396498843957,-10.0,9.4
746167,676272,Bobby Miller,691023,Jordan Walker,Foul,Four-Seam Fastball,100.0,91.2,3.79,1.79,6,101.16,164.76,0.4155718356058396,2.7416349901013297,-10.2,9.0
746167,676272,Bobby Miller,691023,Jordan Walker,Foul,Curveball,80.5,74.5,3.79,1.79,8,117.02,186.26,-0.0004865922942151,1.9450214340000072,-57.0,-7.6
746167,676272,Bobby Miller,691023,Jordan Walker,Called Strike,Four-Seam Fastball,100.0,91.8,3.87705902870983,1.90960705922902,9,93.19,178.87,0.6246263560793452,2.218964503442728,-8.9,5.6
746167,676272,Bobby Miller,691023,Jordan Walker,Ball,Slider,92.2,85.6,3.79033004367109,1.81846286401072,14,84.98,226.64,0.8399242536411812,0.4497613418964856,-29.6,-8.0
746167,676272,Bobby Miller,691023,Jordan Walker,Groundout,Four-Seam Fastball,98.3,90.1,3.79,1.79,8,108.71,182.34,0.2174926467869814,2.090450395017658,-10.9,8.0
746167,675627,Michael Grove,691023,Jordan Walker,Ball,Slider,86.7,80.4,3.9215611408437,1.95784113765421,14,114.5,202.27,0.0655867944005907,1.35212890074506,-34.9,-5.2
746167,675627,Michael Grove,691023,Jordan Walker,Single,Slider,86.2,79.8,3.79,1.79,4,148.19,156.07,-0.8182659657584426,3.06330198634619,-34.4,-4.6
746167,623465,Evan Phillips,691023,Jordan Walker,Called Strike,Sweeper,84.3,77.8,3.92990358770953,1.94984111637208,8,113.34,169.89,0.0959106853239365,2.5516152304077573,-36.1,-17.5
746167,623465,Evan Phillips,691023,Jordan Walker,Foul,Sweeper,84.3,78.1,3.79,1.79,14,89.12,197.99,0.7314684424700464,1.510608177484588,-37.6,-17.4
746167,623465,Evan Phillips,691023,Jordan Walker,Ball,Sweeper,85.0,78.3,3.83312541343702,1.96844987433774,14,72.91,216.79,1.1567844098040363,0.8144885921621121,-38.6,-16.8
746167,623465,Evan Phillips,691023,Jordan Walker,Ball,Sweeper,84.6,77.9,3.75491083581795,1.83314504442126,14,80.74,205.32,0.951144276900751,1.239246640192284,-37.6,-21.7
746167,623465,Evan Phillips,691023,Jordan Walker,Swinging Strike,Cutter,95.5,87.1,3.79,1.79,5,112.78,153.59,0.1106185737100109,3.1551701454923338,-15.4,4.6
746166,694813,Gavin Stone,691023,Jordan Walker,Ball,Cutter,93.7,87.5,3.80035673104172,1.92190648103558,14,90.35,198.05,0.6990256664292256,1.5084781147093278,-17.3,2.8
746166,694813,Gavin Stone,691023,Jordan Walker,Ball,Four-Seam Fastball,95.0,88.1,3.89638315896434,1.99014119290437,14,73.32,170.44,1.145943449462438,2.53110667604675,-15.0,6.5
746166,694813,Gavin Stone,691023,Jordan Walker,Ball,Four-Seam Fastball,95.2,87.3,3.93652020927014,1.93901671873301,14,66.65,161.78,1.3210309670273084,2.851786281432364,-15.7,7.0
746166,694813,Gavin Stone,691023,Jordan Walker,Called Strike,Four-Seam Fastball,95.2,88.0,3.95236588554122,1.98555499465186,5,119.19,162.7,-0.0573615854551315,2.8179248959159304,-16.9,7.1
746166,694813,Gavin Stone,691023,Jordan Walker,Forceout,Four-Seam Fastball,95.3,88.1,3.79,1.8,6,86.44,160.3,0.8018134151791576,2.906489040715812,-16.9,10.1
746166,694813,Gavin Stone,691023,Jordan Walker,Foul,Four-Seam Fastball,95.9,86.8,3.79,1.8,5,107.82,163.33,0.240930858930366,2.7946075939213384,-12.8,9.2
746166,694813,Gavin Stone,691023,Jordan Walker,Ball,Changeup,87.9,81.3,3.94486265250238,2.01185936121632,14,101.73,204.69,0.400712207359076,1.2626859428656796,-30.5,13.9
746166,694813,Gavin Stone,691023,Jordan Walker,Groundout,Changeup,88.2,80.9,3.79,1.8,9,103.53,181.79,0.3534068647176902,2.1106896328603586,-27.8,12.1
746166,681911,Alex Vesia,691023,Jordan Walker,Ball,Four-Seam Fastball,93.1,85.3,3.91022140960349,1.94240674280911,12,75.64,153.08,1.0849961958642265,3.1741927987054,-11.9,-7.6
746166,681911,Alex Vesia,691023,Jordan Walker,Swinging Strike,Four-Seam Fastball,94.0,86.3,3.79,1.8,12,75.47,161.7,1.0896229945466178,2.854761140868997,-11.4,-6.0
746166,681911,Alex Vesia,691023,Jordan Walker,Ball,Four-Seam Fastball,93.2,85.3,3.84496193010177,1.9696432788302,12,69.93,137.94,1.2348133176258338,3.734967225768623,-11.2,-4.9
746166,681911,Alex Vesia,691023,Jordan Walker,Ball,Slider,85.3,79.8,3.88489134127264,1.88644908734034,13,176.25,168.97,-1.5543310636599987,2.5857132004757504,-32.2,8.6
746166,681911,Alex Vesia,691023,Jordan Walker,Ball,Four-Seam Fastball,93.1,85.3,3.92230023074372,1.98541931098361,13,154.21,183.49,-0.9762351235936206,2.0478418072864826,-13.7,-5.5
746166,622503,Nabil Crismatt,691023,Jordan Walker,Ball,Four-Seam Fastball,89.3,82.3,3.79613009449861,1.82752554522617,14,80.94,189.14,0.9460747460691912,1.8384940109957568,-19.3,10.4
746166,622503,Nabil Crismatt,691023,Jordan Walker,Foul,Changeup,81.8,75.6,3.79,1.8,8,118.82,188.77,-0.047764623450546,1.852071963960066,-44.9,10.1
746166,622503,Nabil Crismatt,691023,Jordan Walker,Forceout,Four-Seam Fastball,89.0,82.3,3.79,1.8,9,89.24,183.35,0.7283570080253489,2.0531392165187805,-22.4,9.2
745437,663362,Matt Waldron,691023,Jordan Walker,Called Strike,Sinker,90.8,82.0,3.88177691363723,1.87337809880163,9,87.76,173.18,0.767041476941419,2.429661930936869,-24.4,19.1
745437,663362,Matt Waldron,691023,Jordan Walker,Ball,Knuckle Ball,78.8,71.1,3.75534088677852,1.79110441148626,14,69.92,206.45,1.2350975797315125,1.1973777290987502,-47.8,-2.8
745437,663362,Matt Waldron,691023,Jordan Walker,Ball,Sweeper,78.7,71.7,3.75102526133738,1.83770770084187,14,84.07,198.67,0.8637951820162177,1.4857327681473953,-38.3,-15.6
745437,663362,Matt Waldron,691023,Jordan Walker,Swinging Strike,Knuckle Ball,78.3,71.0,3.78,1.81,14,80.71,201.03,0.952180043433574,1.3982199108909972,-50.6,6.6
745437,663362,Matt Waldron,691023,Jordan Walker,Swinging Strike,Four-Seam Fastball,91.2,81.6,3.78,1.81,6,103.85,158.48,0.3450243537671001,2.9741720980746504,-16.3,10.0
745437,663362,Matt Waldron,691023,Jordan Walker,Single,Sinker,90.8,82.2,3.78,1.81,9,99.88,178.29,0.4492031737494447,2.240257721124848,-26.2,18.5
745437,666745,Jhony Brito,691023,Jordan Walker,Ball,Sinker,96.8,87.9,3.67946386664291,1.76929742493201,11,186.04,155.87,-1.811348180939246,3.070626810374113,-19.8,16.8
745437,666745,Jhony Brito,691023,Jordan Walker,Called Strike,Changeup,90.3,83.0,3.69843919460082,1.81159979996747,9,90.22,188.32,0.702481311259367,1.8689048728311013,-27.2,15.1
745437,666745,Jhony Brito,691023,Jordan Walker,Ball,Sinker,96.6,88.2,3.72040385232783,1.79599513466675,11,176.18,141.76,-1.5525355539789425,3.593324853660561,-19.2,17.4
745437,666745,Jhony Brito,691023,Jordan Walker,Single,Four-Seam Fastball,99.1,90.3,3.78,1.81,2,113.17,140.26,0.1003667481139368,3.6489761407975823,-14.6,13.1
745437,663568,Stephen Kolek,691023,Jordan Walker,Foul,Sinker,96.1,87.3,3.78,1.81,2,126.6,152.12,-0.251822392613482,3.2094740043373653,-22.6,12.4
745437,663568,Stephen Kolek,691023,Jordan Walker,Foul,Sinker,96.2,87.7,3.78,1.81,3,101.89,150.96,0.3964561709036167,3.2525276926390534,-20.9,13.3
