gameId,pitcher_id,pitcher_name,batter_id,batter_name,description,type,startSpeed,endSpeed,strikeZoneTop,strikeZoneBottom,zone,x,y,pX,pY,verticalMovement,horizontalMovement
746821,605177,Andrew Chafin,607680,Kevin Pillar,Swinging Strike,Slider,82.2,75.6,3.27,1.58,7,133.72,186.2,-0.4385590047824946,1.947572958143261,-42.6,0.4
746821,605177,Andrew Chafin,607680,Kevin Pillar,Ball,Four-Seam Fastball,91.8,83.5,3.32217035639296,1.56249443479149,11,162.88,152.69,-1.2037275156269638,3.188536020640477,-15.4,-6.4
746821,605177,Andrew Chafin,607680,Kevin Pillar,Swinging Strike,Sinker,91.4,83.6,3.27,1.58,14,81.18,180.23,0.9397716081226573,2.1685439189219125,-21.2,-17.8
746821,605177,Andrew Chafin,607680,Kevin Pillar,Swinging Strike,Slider,82.4,76.0,3.27,1.58,13,152.69,215.0,-0.9363679770367817,0.8808019912727355,-45.2,1.8
746821,605177,Andrew Chafin,455117,Martín Maldonado,Ball,Sinker,92.6,84.4,3.09572581873251,1.38577507357639,13,126.13,207.17,-0.2395262484087749,1.1708403985330935,-22.7,-20.0
746821,605177,Andrew Chafin,455117,Martín Maldonado,Groundout,Sinker,91.1,83.9,3.14,1.45,6,87.89,171.29,0.7637557731701062,2.4996205832347567,-23.5,-15.5
746821,605177,Andrew Chafin,670032,Nicky Lopez,Swinging Strike,Slider,81.1,75.4,3.09,1.41,13,138.76,222.86,-0.5708861349371601,0.5896127047950719,-45.0,1.9
746821,605177,Andrew Chafin,670032,Nicky Lopez,Ball,Slider,81.7,75.9,3.05417421947179,1.41166897480982,13,142.74,235.29,-0.6751728919418527,0.1294217932571803,-46.2,0.0
746821,605177,Andrew Chafin,670032,Nicky Lopez,Lineout,Sinker,91.0,83.6,3.09,1.41,2,108.33,168.99,0.2273990531773142,2.584775915142685,-21.7,-14.2
746821,605177,Andrew Chafin,643217,Andrew Benintendi,Foul,Sinker,90.1,82.7,3.27,1.51,5,120.55,178.67,-0.0931760638307889,2.2264648558282163,-22.2,-17.8
746821,605177,Andrew Chafin,643217,Andrew Benintendi,Called Strike,Sinker,91.2,83.7,3.29264115595508,1.52537395351255,2,117.38,149.48,-0.009927526828143,3.307299984237605,-20.3,-14.5
746821,605177,Andrew Chafin,643217,Andrew Benintendi,Swinging Strike,Slider,81.2,75.0,3.27,1.51,13,133.41,236.72,-0.4304169009492647,0.0762506014906811,-42.6,1.6
746815,605177,Andrew Chafin,669699,Braden Shewmake,Pop Out,Sinker,91.2,83.5,3.49,1.601,12,81.27,151.38,0.9373134860517548,3.2371206291302577,-23.6,-13.2
746815,605177,Andrew Chafin,657557,Paul DeJong,Home Run,Sinker,90.9,83.4,3.44,1.57,6,103.27,173.55,0.3602617196520232,2.41593710779096,-23.3,-13.7
746815,605177,Andrew Chafin,607680,Kevin Pillar,Ball,Slider,82.6,77.0,3.3335259658086,1.55774803560609,13,171.26,260.82,-1.4234225277939545,-0.8164265362646207,-47.6,0.6
746815,605177,Andrew Chafin,607680,Kevin Pillar,Ball,Four-Seam Fastball,90.6,83.2,3.27628740340548,1.53036186881927,11,167.7,153.78,-1.3302172511372574,3.1482711924423827,-17.6,-7.0
746815,605177,Andrew Chafin,607680,Kevin Pillar,Called Strike,Slider,81.5,76.1,3.26531568631047,1.57733954459185,3,101.96,152.98,0.3946736864436227,3.177625922309385,-43.3,3.1
746815,605177,Andrew Chafin,607680,Kevin Pillar,Swinging Strike,Slider,80.8,75.0,3.28,1.58,13,127.28,214.65,-0.2696878905676511,0.893789549621546,-51.4,8.6
746815,605177,Andrew Chafin,607680,Kevin Pillar,Ball,Slider,81.0,75.6,3.30111840412713,1.49576553190371,13,143.89,223.69,-0.7053997329653635,0.5589636504625465,-42.7,4.0
746815,605177,Andrew Chafin,607680,Kevin Pillar,Foul,Slider,81.4,76.4,3.28,1.58,14,111.02,208.25,0.1568289050669332,1.1307439501021166,-46.6,1.7
746815,605177,Andrew Chafin,607680,Kevin Pillar,Ball,Slider,81.2,75.3,3.34244746432249,1.50722625370073,13,139.2,234.98,-0.5825091116630867,0.1408925871404561,-49.7,3.6
746815,605177,Andrew Chafin,686676,Korey Lee,Grounded Into DP,Sinker,91.6,83.9,3.38,1.53,8,111.45,182.01,0.1455306107157008,2.1027050457729315,-22.4,-16.4
745844,605177,Andrew Chafin,643446,Jeff McNeil,Foul,Sinker,91.7,82.7,3.45,1.62,3,88.1,153.12,0.758182804147573,3.172647730604193,-18.5,-14.4
745844,605177,Andrew Chafin,643446,Jeff McNeil,Ball,Slider,82.1,74.8,3.47095443646633,1.61756381489502,13,159.37,241.09,-1.1116371503115516,-0.0855120732560487,-48.7,3.1
745844,605177,Andrew Chafin,643446,Jeff McNeil,Foul,Sinker,91.2,81.9,3.45,1.62,14,63.96,177.24,1.3915083377107935,2.279285665170656,-19.1,-18.1
745844,605177,Andrew Chafin,643446,Jeff McNeil,Foul,Slider,82.7,74.9,3.45,1.62,8,109.96,194.66,0.1846768213136297,1.6340246047983171,-44.8,-1.3
745844,605177,Andrew Chafin,643446,Jeff McNeil,Groundout,Slider,82.7,74.1,3.45,1.62,8,119.04,195.99,-0.0535712682302374,1.584977692623745,-47.2,-1.8
745844,605177,Andrew Chafin,621438,Tyrone Taylor,Ball,Sinker,90.3,80.4,3.47940676829629,1.68205218726447,12,56.28,144.76,1.592989667406867,3.4820798673130904,-19.0,-20.5
745844,605177,Andrew Chafin,621438,Tyrone Taylor,Swinging Strike,Sinker,91.7,81.8,3.23,1.56,12,79.63,147.52,0.9805095626359884,3.379903557827664,-17.4,-19.2
745844,605177,Andrew Chafin,621438,Tyrone Taylor,Swinging Strike,Slider,83.1,75.5,3.23,1.56,13,137.31,217.64,-0.5327223764294691,0.7830675211491926,-42.4,-1.3
745844,605177,Andrew Chafin,621438,Tyrone Taylor,Ball,Slider,82.5,75.8,3.38344699665748,1.67997961793755,13,120.32,220.8,-0.0870955962559011,0.6658667060908255,-46.8,-0.2
745844,605177,Andrew Chafin,621438,Tyrone Taylor,Ball,Slider,83.0,76.3,3.34425124413039,1.73550145383661,14,94.96,236.44,0.5781130262272242,0.0868333472197952,-45.7,-1.1
745844,605177,Andrew Chafin,621438,Tyrone Taylor,Swinging Strike,Slider,83.8,76.2,3.23,1.56,13,119.97,216.04,-0.0778120035041555,0.842171133028673,-42.7,-1.2
745844,605177,Andrew Chafin,664056,Harrison Bader,Called Strike,Sinker,91.7,82.6,3.1326205313829,1.49911273689602,9,96.34,189.41,0.5419131246056567,1.828567756902229,-18.7,-17.5
745844,605177,Andrew Chafin,664056,Harrison Bader,Groundout,Sinker,91.7,82.3,3.07,1.44,3,103.21,157.89,0.3618149343893361,2.9960563053715465,-18.0,-15.5
746497,605177,Andrew Chafin,647351,Abraham Toro,Called Strike,Sinker,91.2,83.0,3.40378145362798,1.63264199360864,14,84.34,185.14,0.8567379102943629,1.9867953543065604,-20.8,-18.4
746497,605177,Andrew Chafin,647351,Abraham Toro,Ball,Slider,83.7,77.2,3.33417136460671,1.6304873608539,13,155.77,229.14,-1.0171069557639008,0.3571186333322136,-36.8,0.6
746497,605177,Andrew Chafin,647351,Abraham Toro,Ball,Slider,82.6,76.2,3.17800829571983,1.62540822929056,13,147.33,244.11,-0.795752249052088,-0.197431775571735,-44.0,-0.4
746497,605177,Andrew Chafin,647351,Abraham Toro,Called Strike,Sinker,91.8,83.7,3.35127927775536,1.55758171643215,14,76.76,175.95,1.0555565364087742,2.327085749092353,-21.6,-16.7
746497,605177,Andrew Chafin,647351,Abraham Toro,Ball,Slider,82.6,76.0,3.31114885241182,1.57772442466111,13,143.33,233.26,-0.6906818099343013,0.2043953633670975,-42.2,-1.0
746497,605177,Andrew Chafin,647351,Abraham Toro,Foul,Slider,81.5,74.8,3.35,1.62,14,106.57,201.98,0.2736914689238323,1.362969873610785,-43.3,-1.8
746497,605177,Andrew Chafin,647351,Abraham Toro,Foul,Sinker,90.9,83.0,3.35,1.62,3,88.05,158.92,0.759404382656515,2.9576076758680827,-20.3,-15.0
746497,605177,Andrew Chafin,647351,Abraham Toro,Ball,Slider,82.4,75.8,3.19906931154949,1.46595009314948,14,69.47,200.32,1.2468984570750985,1.4242727745897383,-43.9,0.7
746497,605177,Andrew Chafin,668709,JJ Bleday,Called Strike,Four-Seam Fastball,92.9,84.1,3.28557509505575,1.56199945821959,8,107.45,186.93,0.2506159513396572,1.9203961490218424,-16.8,-10.7
746497,605177,Andrew Chafin,668709,JJ Bleday,Foul,Four-Seam Fastball,91.4,83.3,3.35,1.63,14,84.46,183.91,0.8535913547787911,2.03211578637222,-19.6,-11.6
746497,605177,Andrew Chafin,668709,JJ Bleday,Swinging Strike,Slider,82.8,76.9,3.35,1.63,14,101.87,206.6,0.3969071463957895,1.1917239330094638,-45.7,3.1
746497,605177,Andrew Chafin,676116,Ryan Noda,Ball,Slider,82.9,76.4,3.28772631248199,1.65088887134509,14,103.95,210.93,0.3423595414109585,1.031323439086244,-45.5,3.4
746497,605177,Andrew Chafin,676116,Ryan Noda,Called Strike,Four-Seam Fastball,92.6,84.3,3.31603672772802,1.61915959308679,4,128.71,165.45,-0.307111325786343,2.716001443858334,-16.7,-6.8
746497,605177,Andrew Chafin,676116,Ryan Noda,Ball,Four-Seam Fastball,92.4,83.6,3.53500339751807,1.64641979452734,7,148.55,184.23,-0.8276683365654489,2.020378284811604,-15.4,-6.6
746497,605177,Andrew Chafin,676116,Ryan Noda,Foul,Slider,81.7,76.0,3.32,1.6,9,102.71,185.05,0.3748037306173366,1.989829652316477,-45.1,1.8
746497,605177,Andrew Chafin,676116,Ryan Noda,Ball,Slider,82.2,75.9,3.15921357153071,1.58250007374609,13,161.83,200.42,-1.1761744458077357,1.420755009171209,-41.3,4.3
746497,605177,Andrew Chafin,676116,Ryan Noda,Ball,Sinker,92.1,85.2,3.18480023239289,1.67487986550315,12,63.3,161.4,1.4088058203116502,2.865781140802182,-20.5,-12.7
746497,605177,Andrew Chafin,669397,Nick Allen,Foul,Sinker,90.9,82.0,3.02,1.43,14,85.17,179.77,0.8350636018794956,2.185538334847916,-22.0,-16.6
746497,605177,Andrew Chafin,669397,Nick Allen,Ball,Sinker,91.7,82.7,3.08889981106628,1.41951459335234,12,56.51,171.78,1.5869361978481629,2.481582124845378,-20.0,-16.6
746497,605177,Andrew Chafin,669397,Nick Allen,Foul,Slider,82.0,76.0,3.02,1.43,14,112.21,208.25,0.1257829891322261,1.130643209554226,-43.4,1.1
746497,605177,Andrew Chafin,669397,Nick Allen,Pop Out,Slider,81.8,75.7,3.02,1.43,13,119.82,211.06,-0.0740829048018319,1.0264926805679269,-45.2,0.6
746491,605177,Andrew Chafin,666397,Edouard Julien,Called Strike,Sinker,91.4,84.7,3.4731330327538,1.72198782080155,6,90.48,172.19,0.6956726404603927,2.4664299371928298,-18.1,-15.0
746491,605177,Andrew Chafin,666397,Edouard Julien,Called Strike,Sinker,92.7,85.0,3.40933780300411,1.70736681132214,14,83.74,179.28,0.8725707294026931,2.203628700530497,-15.7,-15.5
746491,605177,Andrew Chafin,666397,Edouard Julien,Foul,Slider,81.3,75.7,3.31,1.64,9,94.27,195.83,0.5962352316024252,1.5907799691841302,-45.1,1.2
746491,605177,Andrew Chafin,666397,Edouard Julien,Swinging Strike,Slider,82.9,77.7,3.31,1.64,13,132.99,217.34,-0.4194256254119464,0.7941644579361304,-40.3,2.4
746491,605177,Andrew Chafin,622534,Manuel Margot,Foul,Sinker,92.5,84.0,3.45,1.67,14,72.87,183.3,1.1577329746219536,2.054848957338113,-18.7,-19.0
746491,605177,Andrew Chafin,622534,Manuel Margot,Ball,Slider,83.1,77.5,3.52829738288815,1.75806981654437,14,75.22,185.54,1.096130683882458,1.9718063672492143,-41.5,2.3
746491,605177,Andrew Chafin,622534,Manuel Margot,Ball,Slider,80.4,75.2,3.50078438954623,1.78751742952444,14,57.54,176.03,1.560017780608626,2.3242157388646314,-42.2,1.1
746491,605177,Andrew Chafin,622534,Manuel Margot,Single,Sinker,92.2,83.4,3.45,1.67,8,111.12,192.44,0.1542869138912756,1.716379543953134,-24.7,-18.4
746491,605177,Andrew Chafin,650489,Willi Castro,Swinging Strike,Slider,81.5,75.9,3.48,1.62,14,103.87,222.9,0.3443546892858865,0.5881498809171312,-44.3,-0.0
