date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,vKC,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2024/10/20,5:08 PM.,LAD,NYM,away,Clear.,78,656629,3B,4,1,1,0,0,1,2,0,1,2,1,.327,.362,.636,.998,656629,michaelkopech,Kopech,Right,Michael Kopech,- - -,3.46,3.49,67.2,98.0,142.0,108.0,0.686,11.7,4.52,5.85,1.2,0.82,0.243,0.395,0.138,0.303,0.423,,,,,,,151.0,98.0,109.0,,,,124.0,93.0,104.0,97.0,107.0,101.0,,0.786,0.105,0.109,,,,1.04,1.27,,-2.21,,,,98.6,91.2,,,87.1,,,,,,,,,0.183,0.326,0.34,0.174,0.174,0.333,,,,,,,,,,,,,,,,0.222,0.389,0.231,,,,,,,,,,,,
2024/10/18,5:08 PM.,LAD,NYM,home,Clear.,67,656427,3B,5,0,0,0,0,0,0,0,0,0,4,.333,.358,.608,.966,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.17,3.54,162.0,102.0,94.0,102.0,0.712,10.78,2.11,7.5,1.33,1.05,0.223,0.436,0.157,0.3,0.38,87.0,83.0,81.0,,,,92.0,104.0,101.0,75.0,85.0,72.0,95.0,102.0,102.0,,,,0.023,0.441,,0.29,,0.218,0.027,0.5,,-5.05,0.02,,2.19,-0.55,93.3,,85.7,90.6,84.7,,77.4,,,,0.6,1.2,0.4,0.245,0.401,0.238,,,,0.164,0.219,0.436,0.111,0.333,0.111,,,,,,,,,,0.222,0.455,0.363,,,,101.0,103.0,107.0,,,,,,
2024/10/17,8:09 PM.,LAD,NYM,home,Clear.,53,808967,3B,5,1,2,0,0,1,1,0,0,2,4,.370,.396,.674,1.070,808967,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,3.0,3.44,90.0,105.0,100.0,106.0,0.75,10.5,2.2,7.8,0.7,1.52,0.246,0.396,0.146,0.325,0.434,,,,109.0,103.0,112.0,84.0,103.0,96.0,101.0,110.0,103.0,116.0,110.0,120.0,91.0,97.0,91.0,0.029,0.404,0.061,0.033,0.231,,,0.77,0.28,-1.65,0.53,1.14,,,95.5,91.5,,94.9,86.3,78.0,,,,,0.364,0.545,0.13,0.262,0.413,0.176,0.35,0.55,0.2,0.214,0.371,0.333,,,,121.0,112.0,119.0,0.242,0.25,90.2,0.17,0.266,0.386,0.158,0.211,0.357,,,,,,,,,,,,
2024/10/16,8:09 PM.,LAD,NYM,home,Clear.,51,621111,3B,4,0,1,0,0,0,0,0,0,2,0,.366,.395,.634,1.029,621111,walkerbuehler,Buehler,Right,Walker Buehler,LAD,5.38,4.78,75.1,101.0,93.0,100.0,0.819,7.65,3.35,10.63,1.91,1.29,0.208,0.429,0.143,0.335,0.435,70.0,100.0,89.0,,,,85.0,102.0,99.0,82.0,99.0,92.0,119.0,99.0,108.0,103.0,103.0,100.0,0.163,0.29,0.208,0.095,,0.192,0.052,-2.43,1.62,-0.74,-0.87,,-1.56,-5.9,95.0,91.2,90.0,94.8,82.9,,78.0,0.121,0.303,0.294,0.291,0.327,0.115,0.342,0.696,0.169,0.238,0.397,0.215,0.278,0.481,0.267,0.455,0.773,0.088,,,,,,,,,,1.0,2.5,0.25,,,,100.0,98.0,105.0,,,,,,
2024/10/14,1:08 PM.,LAD,NYM,away,Partly Cloudy.,73,518489,3B,5,1,2,0,0,1,4,0,0,0,2,.378,.410,.676,1.086,518489,ryanbrasier,Brasier,Right,Ryan Brasier,LAD,3.54,3.46,28.0,107.0,95.0,106.0,0.806,8.04,1.61,7.07,0.96,1.06,0.225,0.45,0.125,0.35,0.468,,,,,,,93.0,111.0,107.0,96.0,95.0,90.0,102.0,110.0,111.0,78.0,103.0,104.0,0.163,0.294,0.12,0.422,,,,4.25,4.05,1.24,-2.39,,,,94.5,90.4,,94.5,85.3,,,,,,0.214,0.214,0.2,0.115,0.115,0.265,0.182,0.273,0.037,,,,,,,,,,,,,,,,0.28,0.58,0.253,,,,,,,,,,,,
2024/10/13,5:15 PM.,LAD,NYM,away,Clear.,73,656427,3B,4,0,0,0,0,0,0,0,0,3,3,.375,.412,.625,1.037,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.17,3.54,162.0,102.0,94.0,102.0,0.712,10.78,2.11,7.5,1.33,1.05,0.223,0.436,0.157,0.3,0.38,87.0,83.0,81.0,,,,92.0,104.0,101.0,75.0,85.0,72.0,95.0,102.0,102.0,,,,0.023,0.441,,0.29,,0.218,0.027,0.5,,-5.05,0.02,,2.19,-0.55,93.3,,85.7,90.6,84.7,,77.4,,,,0.6,1.2,0.4,0.245,0.401,0.238,,,,0.164,0.219,0.436,0.111,0.333,0.111,,,,,,,,,,0.222,0.455,0.363,,,,101.0,103.0,107.0,,,,,,
2024/10/09,5:09 PM.,PHI,NYM,home,Clear.,66,624133,3B,4,0,2,1,0,0,0,0,1,1,0,.429,.467,.714,1.181,624133,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,3.46,3.67,150.2,103.0,82.0,100.0,0.799,8.66,2.45,8.36,0.84,2.01,0.194,0.461,0.154,0.283,0.395,73.0,100.0,98.0,84.0,107.0,108.0,68.0,101.0,91.0,87.0,106.0,104.0,22.0,85.0,77.0,101.0,98.0,93.0,0.315,0.195,0.121,0.001,0.205,,0.163,0.67,-1.68,0.84,-4.62,1.02,,-0.63,91.8,86.5,80.0,90.8,81.3,74.4,,,,,0.27,0.381,0.101,0.224,0.327,0.18,0.302,0.642,0.162,0.189,0.342,0.339,0.229,0.323,0.35,,,,,,,,,,,,,,,,,,,,,,,,
2024/10/08,5:09 PM.,PHI,NYM,home,Partly Cloudy.,68,605400,3B,4,0,2,0,0,0,0,0,0,1,1,.417,.440,.708,1.148,605400,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.57,3.72,199.1,105.0,104.0,103.0,0.772,8.89,2.26,8.53,1.35,1.31,0.209,0.477,0.16,0.305,0.399,78.0,102.0,91.0,,,,90.0,103.0,99.0,100.0,109.0,106.0,,,,69.0,99.0,92.0,0.204,0.278,0.092,,,0.329,0.096,0.81,-2.57,-0.34,,,0.94,-1.67,92.5,87.5,85.7,91.5,,,79.1,,,,0.313,0.475,0.136,0.168,0.318,0.224,0.389,0.796,0.178,0.221,0.381,0.37,0.279,0.426,0.135,,,,,,,,,,,,,,,,135.0,106.0,113.0,,,,,,
2024/10/06,4:09 PM.,PHI,NYM,away,Sunny.,76,650911,3B,4,2,3,1,0,2,4,0,1,1,0,.400,.429,.750,1.179,650911,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.32,3.56,181.2,103.0,97.0,106.0,0.78,7.58,2.18,9.02,0.54,2.67,0.214,0.418,0.178,0.285,0.426,97.0,105.0,116.0,,,,,,,95.0,101.0,98.0,102.0,102.0,103.0,86.0,52.0,74.0,0.473,,0.001,0.169,,,0.357,,2.59,-0.55,0.65,,,1.56,,86.5,85.1,94.5,84.4,,,,,,0.345,0.481,0.131,,,,,,,,,,0.177,0.22,0.348,,,,,,,,,,0.219,0.368,0.308,,,,,,,,,,,,
2024/10/05,4:09 PM.,PHI,NYM,away,Sunny.,77,554430,3B,4,1,2,0,0,0,1,0,0,2,1,.313,.313,.313,.626,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.57,2.8,200.0,104.0,106.0,108.0,0.747,10.08,2.34,6.26,0.9,1.09,0.245,0.35,0.209,0.29,0.42,,,,110.0,101.0,107.0,101.0,106.0,109.0,111.0,103.0,107.0,128.0,106.0,115.0,92.0,97.0,94.0,0.192,0.416,0.093,0.125,0.1,,,0.88,-0.23,2.68,1.04,-0.98,,,95.3,91.1,,94.6,84.9,81.8,,0.152,0.273,0.335,0.189,0.259,0.142,0.209,0.395,0.296,0.226,0.371,0.183,0.205,0.397,0.387,,,,94.0,110.0,110.0,0.074,1.47,86.1,0.137,0.196,0.402,,,,,,,,,,,,,,,
