date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2024/05/13,6:38 PM.,STL,LAA,home,Clear.,65,669461,3B,4,0,0,0,0,0,0,0,0,1,0,.103,.188,.103,.291,669461,matthewliberatore,Liberatore,Left,Matthew Liberatore,STL,4.4,4.2,86.0,101.0,98.0,100.0,0.777,7.95,2.93,8.48,1.15,1.05,0.238,0.361,0.147,0.294,0.469,49.0,89.0,90.0,73.0,99.0,91.0,79.0,108.0,103.0,137.0,101.0,108.0,98.0,105.0,103.0,0.204,0.283,0.128,0.276,0.044,-0.28,-1.81,-0.76,1.9,2.53,94.7,91.4,87.8,95.4,87.4,0.0,0.0,0.2,0.284,0.481,0.142,,,,0.262,0.615,0.195,0.432,0.622,0.228,134.0,100.0,107.0,0.065,-0.33,78.2,0.174,0.174,0.273,0.185,0.25,0.384,,,,,,,,,,,,,,,,,,
2024/05/12,1:07 PM.,KC,LAA,home,Sunny.,73,607625,1B,3,0,0,0,0,0,0,0,0,3,2,.120,.214,.120,.334,607625,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,3.0,3.75,206.2,101.0,97.0,100.0,0.795,7.88,2.09,7.71,0.7,1.2,0.212,0.386,0.156,0.303,0.43,93.0,100.0,98.0,75.0,103.0,95.0,68.0,101.0,92.0,125.0,97.0,105.0,97.0,103.0,103.0,0.185,0.24,0.082,0.135,0.069,0.7,2.86,0.65,-0.67,0.08,92.2,90.1,87.4,92.1,85.2,0.208,0.333,0.291,0.274,0.381,0.129,0.375,0.75,0.109,0.234,0.392,0.176,0.228,0.228,0.23,126.0,100.0,110.0,0.262,1.44,79.4,0.178,0.271,0.339,0.213,0.387,0.2,,,,93.0,107.0,106.0,0.026,,0.07,,85.7,,0.105,0.421,0.351,0.215,0.28,0.285
2024/05/11,6:38 PM.,KC,LAA,home,Clear.,67,666142,3B,3,1,0,0,0,0,0,0,1,0,2,.136,.240,.136,.376,666142,coleragans,Ragans,Left,Cole Ragans,KCR,3.14,3.31,186.1,100.0,108.0,104.0,0.705,10.77,3.24,7.05,0.72,1.01,0.281,0.395,0.176,0.3,0.409,114.0,98.0,103.0,105.0,101.0,106.0,,,,132.0,106.0,114.0,88.0,94.0,91.0,,0.418,0.113,0.128,0.237,0.85,0.26,,-0.34,1.43,95.4,90.7,84.8,,86.0,0.183,0.28,0.478,,,,,,,0.213,0.361,0.231,0.348,0.455,0.228,,,,,,,0.14,0.256,0.352,0.21,0.305,0.337,101.0,97.0,101.0,,,,,0.104,,0.9,,80.8,,,,,,
2024/05/10,6:38 PM.,KC,LAA,home,Partly Cloudy.,66,679525,3B,3,0,0,0,0,0,0,1,1,0,1,.158,.238,.158,.396,679525,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.53,4.97,129.0,99.0,100.0,99.0,0.789,8.58,2.72,8.58,1.33,0.92,0.249,0.42,0.182,0.329,0.429,88.0,95.0,94.0,93.0,98.0,95.0,98.0,99.0,97.0,117.0,99.0,107.0,,,,0.138,0.37,,0.228,0.1,0.34,,-1.16,-0.57,0.84,94.2,,86.3,93.6,86.5,0.204,0.296,0.177,0.317,0.524,0.099,0.2,0.433,0.464,0.208,0.383,0.223,,,,103.0,105.0,103.0,0.164,-1.2,82.8,0.263,0.5,0.274,0.29,0.462,0.294,,,,,,,,,,,,,,,,,,
2024/05/01,12:10 PM.,MIL,TB,away,Sunny.,68,607067,LF,4,0,0,0,0,0,0,0,0,1,4,.188,.235,.188,.423,607067,colinrea,Rea,Right,Colin Rea,MIL,4.29,4.91,167.2,102.0,84.0,97.0,0.827,7.25,2.31,9.07,1.56,0.95,0.24,0.456,0.137,0.329,0.443,,,,70.0,109.0,95.0,82.0,103.0,96.0,109.0,106.0,108.0,76.0,94.0,88.0,0.311,0.193,0.194,0.172,,0.49,-1.34,-0.28,1.41,,92.9,87.6,,92.3,82.0,,,,0.298,0.482,0.115,0.159,0.234,0.227,0.207,0.314,0.248,0.287,0.656,0.168,100.0,109.0,104.0,0.042,-3.64,78.7,0.394,0.636,0.18,,,,,,,78.0,98.0,96.0,0.088,,-2.02,,86.5,,0.286,0.492,0.277,,,
2024/04/30,6:40 PM.,MIL,TB,away,Roof Closed.,67,642547,LF,0,0,0,0,0,0,0,0,0,0,0,.250,.308,.250,.558,642547,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.68,3.88,173.2,98.0,103.0,100.0,0.719,10.36,3.52,7.41,1.35,0.82,0.262,0.376,0.197,0.318,0.373,84.0,92.0,88.0,112.0,99.0,101.0,,,,98.0,99.0,105.0,,,,,0.539,,0.217,0.175,0.05,,,-0.09,0.84,94.3,,87.7,,81.4,0.218,0.291,0.369,,,,,,,0.239,0.424,0.252,,,,104.0,106.0,110.0,0.07,0.36,78.1,0.182,0.341,0.372,0.203,0.384,0.41,,,,,,,,,,,,,,,,,,
2024/04/29,6:40 PM.,MIL,TB,away,Roof Closed.,67,669060,2B,3,0,2,0,0,0,0,0,0,1,0,.250,.308,.250,.558,669060,brysewilson,"Wilson, B",Right,Bryse Wilson,MIL,4.04,5.35,104.2,105.0,93.0,98.0,0.818,7.05,2.67,8.77,1.72,0.88,0.252,0.369,0.157,0.375,0.453,54.0,96.0,85.0,85.0,113.0,105.0,92.0,106.0,96.0,,,,98.0,101.0,95.0,0.32,0.15,0.349,,0.042,-3.09,1.16,1.31,,-0.91,93.6,88.8,88.0,93.1,,0.182,0.273,0.174,0.236,0.368,0.134,,,,0.288,0.493,0.229,0.23,0.361,0.263,106.0,107.0,106.0,0.139,-3.29,80.4,0.309,0.709,0.229,,,,,,,,,,,,,,,,,,,,,
2024/04/27,6:10 PM.,CWS,TB,away,Partly Cloudy.,77,686563,LF,3,0,0,0,0,0,0,0,0,1,4,.111,.200,.111,.311,686563,jonathancannon,Cannon,Right,Jonathan Cannon,CHW,4.49,4.37,124.1,101.0,92.0,99.0,0.806,6.59,2.9,9.05,1.3,0.96,0.223,0.389,0.171,0.29,0.394,95.0,105.0,106.0,73.0,104.0,97.0,86.0,100.0,93.0,117.0,100.0,107.0,79.0,101.0,93.0,0.28,0.123,0.192,0.218,0.187,-1.13,0.39,0.44,-1.39,-0.22,94.3,90.2,85.7,93.3,81.9,0.248,0.394,0.269,0.287,0.449,0.132,0.255,0.489,0.282,0.25,0.411,0.252,0.263,0.45,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/26,6:41 PM.,CWS,TB,away,Cloudy.,53,623167,1B,0,0,0,0,0,0,0,0,0,0,0,.167,.286,.167,.453,623167,chrisflexen,Flexen,Right,Chris Flexen,CHW,4.95,4.71,160.0,97.0,56.0,92.0,0.789,6.92,3.54,10.13,1.35,0.79,0.249,0.41,0.154,0.308,0.373,126.0,99.0,104.0,2.0,93.0,82.0,74.0,108.0,87.0,148.0,102.0,103.0,47.0,101.0,90.0,0.002,0.37,0.261,0.087,0.157,-0.64,-0.75,2.01,-2.65,-1.32,91.3,87.4,81.3,91.4,80.0,0.257,0.436,0.379,,,,,,,0.261,0.473,0.132,0.319,0.536,0.218,83.0,98.0,101.0,0.122,0.43,72.0,0.246,0.393,0.308,0.361,0.475,0.271,,,,,,,,,,,,,,,,,,
2024/04/17,6:51 PM.,LAA,TB,home,Dome.,72,672282,PH,1,0,1,0,0,0,0,0,0,0,0,.167,.286,.167,.453,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.7,4.14,87.1,99.0,95.0,99.0,0.735,11.23,3.92,10.1,1.85,0.88,0.252,0.479,0.132,0.364,0.439,92.0,96.0,97.0,86.0,96.0,92.0,,,,117.0,106.0,114.0,,,,,0.468,,0.244,0.142,-0.56,,,-0.44,-1.18,93.8,,84.7,,86.2,0.351,0.544,0.319,,,,,,,0.278,0.508,0.253,,,,89.0,100.0,103.0,0.146,-3.5,75.0,0.37,0.804,0.216,0.22,0.39,0.368,,,,,,,,,,,,,,,,,,
2024/04/16,6:50 PM.,LAA,TB,home,Dome.,72,667755,1B,1,0,0,0,0,0,0,0,0,1,1,.000,.167,.000,.167,667755,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.42,4.14,113.0,95.0,100.0,99.0,0.779,7.73,3.58,7.25,0.64,2.69,0.212,0.399,0.171,0.294,0.404,,,,96.0,92.0,86.0,95.0,95.0,96.0,117.0,92.0,99.0,,,,0.464,0.146,,0.055,,-2.05,,2.22,0.02,,98.8,,,97.7,91.5,,,,0.214,0.26,0.167,,,,0.356,0.622,0.103,,,,,,,,,,0.226,0.376,0.402,0.143,0.214,0.463,98.0,96.0,108.0,120.0,100.0,112.0,0.081,0.254,0.8,-0.42,92.7,86.4,0.15,0.3,0.329,,,
2024/04/14,2:05 PM.,SF,TB,home,Dome.,72,605483,SS,3,1,0,0,0,0,0,0,1,1,0,.000,.200,.000,.200,605483,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.57,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,110.0,108.0,116.0,116.0,96.0,100.0,,,,106.0,87.0,91.0,,,,,0.464,,0.101,0.176,1.16,,,0.11,0.95,95.9,,85.5,,88.7,0.236,0.319,0.476,,,,,,,0.2,0.303,0.244,,,,148.0,99.0,109.0,0.26,2.25,81.1,0.111,0.183,0.498,0.167,0.267,0.446,,,,,,,,,,,,,,,,,,
2024/04/13,4:10 PM.,SF,TB,home,Dome.,72,657277,LF,1,0,0,0,0,0,0,0,0,1,1,.000,.000,.000,.000,657277,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.31,204.2,104.0,111.0,106.0,0.814,7.56,2.2,8.88,0.48,2.5,0.23,0.36,0.17,0.292,0.403,137.0,105.0,112.0,57.0,106.0,88.0,95.0,104.0,102.0,126.0,104.0,114.0,52.0,95.0,88.0,0.399,0.053,0.026,0.212,0.309,0.2,4.3,1.32,0.16,-0.13,92.6,91.0,87.4,92.6,83.8,0.275,0.411,0.216,0.268,0.338,0.144,0.239,0.331,0.268,0.179,0.231,0.329,0.077,0.077,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
