date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff
2024/05/26,1:40 PM.,NYM,SF,away,Sunny.,81,640455,RF,2,0,0,0,0,0,0,0,0,2,2,.214,.267,.643,.910,640455,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,83.0,98.0,95.0,88.0,103.0,99.0,95.0,100.0,97.0,88.0,88.0,93.0,,,,84.0,88.0,85.0,0.447,0.113,0.071,0.251,,0.118,1.13,0.97,1.36,0.37,,-1.19,92.3,88.4,85.3,92.3,79.5,,0.167,0.295,0.311,0.25,0.438,0.254,0.201,0.333,0.21,0.174,0.435,0.32,0.222,0.25,0.179,,,,,,,,,,,,,,,,,,,0.193,0.311,0.388
2024/05/25,1:41 PM.,NYM,SF,away,Sunny.,79,622663,LF,1,1,0,0,0,0,0,1,0,1,3,.250,.308,.750,1.058,622663,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.91,3.88,182.0,101.0,107.0,101.0,0.812,7.96,2.97,8.21,1.14,1.28,0.273,0.372,0.203,0.288,0.434,87.0,95.0,95.0,101.0,104.0,102.0,90.0,98.0,94.0,143.0,100.0,111.0,,,,92.0,91.0,89.0,0.248,0.355,0.081,0.242,,0.075,0.15,1.05,1.24,0.26,,-3.63,96.2,92.6,86.1,95.6,85.6,,0.243,0.392,0.218,0.358,0.66,0.186,0.278,0.414,0.122,0.263,0.342,0.284,0.2,0.3,0.26,,,,,,,,,,,,,,,,,,,0.139,0.238,0.386
2024/05/23,12:37 PM.,PIT,SF,away,Partly Cloudy.,75,694973,RF,1,0,0,0,0,0,0,0,0,0,0,.273,.333,.818,1.151,694973,paulskenes,Skenes,Right,Paul Skenes,PIT,1.96,2.53,133.0,103.0,102.0,103.0,0.736,11.5,2.17,6.36,0.68,1.66,0.216,0.464,0.193,0.235,0.427,82.0,108.0,107.0,98.0,107.0,103.0,80.0,95.0,86.0,131.0,101.0,113.0,,,,,,,0.284,0.392,,0.162,,0.054,0.64,,3.52,0.8,,2.34,98.8,,87.3,94.0,85.4,,0.23,0.351,0.242,0.088,0.118,0.548,0.184,0.234,0.293,0.286,0.571,0.328,,,,0.25,0.375,0.337,105.0,100.0,104.0,0.108,-0.18,83.0,,,,,,,,,,0.104,0.188,0.226
2024/05/21,6:42 PM.,PIT,SF,away,Partly Cloudy.,86,527048,RF,2,0,0,0,0,0,0,0,0,1,1,.300,.364,.900,1.264,527048,martinperez,"Pérez, M",Left,Martín Pérez,- - -,4.53,5.38,135.0,102.0,73.0,95.0,0.81,7.13,3.27,10.07,1.47,1.24,0.182,0.462,0.145,0.31,0.408,71.0,109.0,99.0,56.0,92.0,86.0,78.0,101.0,93.0,70.0,111.0,119.0,,,,70.0,101.0,93.0,0.358,0.053,0.221,0.0,,0.227,-8.23,-0.61,0.57,-51.06,,-1.27,91.3,87.9,83.4,90.7,82.8,,0.458,0.917,0.043,0.28,0.448,0.341,0.275,0.383,0.097,,,,0.28,0.57,0.212,0.246,0.354,0.29,74.0,102.0,98.0,0.141,0.62,77.9,,,,,,,,,,,,
2024/05/11,4:05 PM.,AZ,BAL,home,Partly Cloudy.,70,669194,PR,0,0,0,0,0,0,0,0,0,0,0,.375,.444,1.125,1.569,669194,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.24,4.17,150.2,106.0,100.0,104.0,0.838,7.53,2.03,9.26,1.02,1.14,0.274,0.39,0.14,0.338,0.463,108.0,99.0,107.0,105.0,107.0,106.0,,,,111.0,112.0,110.0,,,,78.0,107.0,96.0,,0.557,0.184,0.103,,0.099,0.64,-0.85,,-0.66,,-2.35,95.2,91.2,83.0,,83.8,,0.249,0.418,0.195,0.302,0.587,0.203,,,,0.226,0.34,0.156,0.317,0.508,0.154,0.138,0.207,0.148,91.0,94.0,94.0,0.057,1.81,77.8,,,,,,,,,,0.4,0.733,0.167
2024/05/10,7:07 PM.,AZ,BAL,home,Overcast.,55,694297,RF,0,0,0,0,0,0,0,0,0,0,0,.375,.444,1.125,1.569,694297,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,4.71,3.78,181.2,106.0,107.0,107.0,0.768,9.17,2.08,9.07,1.19,1.07,0.25,0.427,0.131,0.306,0.449,92.0,102.0,96.0,95.0,106.0,103.0,89.0,106.0,104.0,143.0,109.0,119.0,,,,,,,0.222,0.334,,0.273,,0.112,0.37,,-0.09,-0.12,,0.84,93.8,,87.5,93.7,84.8,,0.265,0.466,0.224,0.25,0.289,0.312,0.286,0.365,0.119,,,,,,,0.429,0.571,0.295,106.0,102.0,104.0,0.053,-1.37,80.8,,,,0.006,0.45,89.6,0.2,0.8,0.0,0.215,0.455,0.362
2024/05/08,6:45 PM.,WSH,BAL,away,Partly Cloudy.,84,680730,RF,0,0,0,0,0,0,0,0,0,0,0,.375,.444,1.125,1.569,680730,mitchellparker,Parker,Left,Mitchell Parker,WSN,4.29,4.37,151.0,99.0,87.0,97.0,0.801,7.93,2.56,9.18,1.07,0.94,0.248,0.444,0.132,0.321,0.441,,,,78.0,101.0,96.0,,,,106.0,107.0,110.0,,,,,,,,0.486,,0.098,,,0.07,,,-0.73,,,92.5,,,,84.5,,0.276,0.425,0.12,,,,,,,0.238,0.429,0.364,,,,0.252,0.36,0.263,97.0,96.0,96.0,0.225,0.47,80.5,89.0,94.0,94.0,0.191,-0.6,85.6,0.233,0.4,0.372,,,
2024/05/05,4:11 PM.,CIN,BAL,away,Partly Cloudy.,80,666157,CF,3,2,1,0,0,1,1,0,1,0,0,.375,.444,1.125,1.569,666157,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,4.76,3.72,115.1,99.0,106.0,96.0,0.742,9.52,2.89,7.88,1.01,1.25,0.247,0.421,0.142,0.285,0.428,96.0,99.0,92.0,119.0,103.0,97.0,111.0,97.0,93.0,,,,,,,,,,0.133,0.43,,,,0.164,0.11,,0.99,,,-0.21,94.1,,88.1,94.1,,,0.241,0.407,0.23,0.232,0.39,0.259,0.234,0.453,0.183,,,,,,,0.217,0.302,0.429,90.0,94.0,100.0,0.273,-0.75,81.7,,,,,,,,,,,,
2024/05/04,7:05 PM.,CIN,BAL,away,Cloudy.,74,671096,LF,2,0,0,0,0,0,0,0,0,1,1,.400,.400,1.000,1.400,671096,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.72,4.02,138.0,98.0,92.0,97.0,0.805,7.43,3.39,8.28,1.63,0.68,0.256,0.364,0.16,0.287,0.428,96.0,94.0,97.0,78.0,96.0,89.0,,,,125.0,106.0,112.0,,,,,,,,0.535,,0.186,,0.163,-0.26,,,0.49,,0.23,92.8,,84.8,,82.9,,0.254,0.451,0.194,0.214,0.429,0.273,,,,,,,,,,0.327,0.653,0.179,101.0,98.0,99.0,0.116,-1.56,80.8,,,,,,,,,,0.189,0.307,0.287
2024/05/03,8:51 PM.,CIN,BAL,away,Overcast.,67,668881,LF,0,0,0,0,0,0,0,0,0,0,0,.667,.667,1.667,2.334,668881,huntergreene,"Greene, H",Right,Hunter Greene,CIN,2.75,3.03,150.1,99.0,124.0,104.0,0.741,10.12,3.41,5.75,0.72,0.7,0.284,0.388,0.199,0.265,0.429,,,,123.0,102.0,104.0,,,,125.0,96.0,103.0,,,,,,,,0.552,,0.346,,,1.56,,,0.62,,,97.6,,,,86.8,,0.184,0.273,0.248,,,,,,,0.161,0.3,0.39,,,,0.4,1.0,0.2,118.0,96.0,101.0,0.018,-2.87,80.9,120.0,89.0,103.0,0.083,-0.79,87.0,0.243,0.405,0.284,,,
2024/05/02,1:06 PM.,NYY,BAL,home,Sunny.,89,607074,CF,2,1,1,0,0,1,1,0,0,0,3,.667,.667,1.667,2.334,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,3.96,4.14,175.0,97.0,122.0,103.0,0.716,10.03,2.93,8.07,1.59,0.69,0.257,0.399,0.143,0.329,0.396,129.0,92.0,106.0,114.0,98.0,101.0,,,,144.0,104.0,113.0,,,,100.0,83.0,82.0,,0.494,0.035,0.26,,0.129,0.05,-3.11,,-0.4,,1.44,95.4,91.8,85.5,,86.8,,0.262,0.514,0.214,0.188,0.247,0.495,,,,0.199,0.361,0.393,0.353,0.647,0.255,0.281,0.531,0.276,103.0,86.0,93.0,0.083,-1.32,81.0,,,,,,,,,,,,
2024/04/28,1:37 PM.,OAK,BAL,home,Sunny.,78,621112,RF,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,621112,paulblackburn,Blackburn,Right,Paul Blackburn,- - -,4.66,4.59,75.1,105.0,91.0,100.0,0.79,7.05,2.51,9.08,1.43,1.34,0.193,0.442,0.172,0.24,0.396,83.0,110.0,106.0,74.0,96.0,90.0,69.0,107.0,93.0,116.0,106.0,108.0,,,,105.0,106.0,99.0,0.136,0.195,0.22,0.167,,0.181,-2.3,-0.19,-4.04,1.35,,1.56,91.9,89.1,85.7,91.2,81.3,,0.286,0.694,0.125,0.164,0.236,0.347,0.478,0.674,0.095,0.163,0.245,0.284,0.299,0.493,0.244,0.125,0.208,0.25,91.0,107.0,106.0,0.101,2.06,79.4,,,,,,,,,,,,
2024/04/26,7:05 PM.,OAK,BAL,home,Clear.,60,548389,RF,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,548389,rossstripling,Stripling,Right,Ross Stripling,OAK,6.01,4.74,85.1,105.0,86.0,98.0,0.849,5.17,2.32,11.5,0.74,1.11,0.304,0.359,0.175,0.301,0.443,90.0,111.0,105.0,62.0,100.0,87.0,90.0,102.0,90.0,121.0,108.0,112.0,89.0,105.0,106.0,80.0,107.0,92.0,0.142,0.303,0.159,0.134,0.086,0.176,-0.05,0.67,-0.67,-1.89,-1.1,-1.87,91.7,87.5,82.7,90.2,84.7,76.3,0.244,0.422,0.175,0.333,0.52,0.241,0.39,0.441,0.078,0.328,0.5,0.157,0.245,0.367,0.156,0.364,0.455,0.179,,,,,,,,,,,,,,,,,,
