date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,wFA/C,wSL/C,wCU/C,vFA,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FC%,FS%,wFC/C,wFS/C,wSI/C,vFC,vFS,vSI,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,vKN (sc),Stf+ KC,Loc+ KC,Pit+ KC,KC%,KN%,wKC/C,wKN/C,vKC,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff
2024/09/29,3:08 PM.,MIA,TOR,home,Partly Cloudy.,69,677960,RF,4,0,2,0,0,0,0,0,0,1,1,.189,.333,.216,.549,677960,ryanweathers,Weathers,Left,Ryan Weathers,MIA,3.63,4.2,86.2,96.0,94.0,97.0,0.761,8.31,2.49,8.1,1.14,1.3,0.264,0.413,0.193,0.295,0.41,,,,96.0,97.0,96.0,120.0,87.0,98.0,0.397,0.222,,-0.81,0.49,,95.9,82.9,,0.319,0.451,0.141,,,,0.25,0.5,0.5,82.0,98.0,95.0,,,,,,,0.121,,,,,0.13,,,94.5,0.118,0.176,0.51,0.259,0.5,0.063,,,,,,,,,,,,,,,,84.0,102.0,103.0,0.26,1.39,86.4,0.193,0.367,0.379,,,
2024/09/27,7:08 PM.,MIA,TOR,home,Cloudy.,68,670124,RF,0,0,0,0,0,0,0,0,0,0,0,.152,.317,.182,.499,670124,adamoller,Oller,Right,Adam Oller,MIA,5.31,4.59,42.1,95.0,99.0,95.0,0.803,7.65,4.68,9.14,1.49,0.86,0.271,0.357,0.132,0.318,0.404,110.0,97.0,99.0,95.0,92.0,92.0,120.0,121.0,121.0,0.514,0.008,0.407,-2.09,10.03,1.72,93.7,86.2,84.0,0.314,0.616,0.154,0.208,0.292,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,89.0,83.0,0.07,-3.63,86.9,0.556,0.556,0.318,0.136,0.159,0.329
2024/09/24,7:08 PM.,BOS,TOR,home,Roof Closed.,68,678394,PR,0,0,0,0,0,0,0,0,0,0,0,.152,.317,.182,.499,678394,brayanbello,Bello,Right,Brayan Bello,BOS,4.49,4.56,162.1,99.0,101.0,102.0,0.753,8.48,3.55,8.7,1.05,1.86,0.219,0.384,0.152,0.312,0.405,,,,74.0,108.0,101.0,114.0,98.0,110.0,0.048,0.28,,0.25,-0.58,,95.6,86.8,,0.12,0.16,0.218,,,,0.268,0.401,0.343,103.0,100.0,101.0,,,,,,,0.403,,,,,-0.24,,,95.7,,,,0.309,0.44,0.111,,,,,,,,,,,,,,,,88.0,99.0,97.0,0.269,0.15,87.6,0.177,0.354,0.369,,,
2024/09/20,6:51 PM.,TB,TOR,away,Dome.,72,641302,PR,0,0,0,0,0,0,0,1,0,0,0,.152,.317,.182,.499,641302,tyleralexander,"Alexander, T",Left,Tyler Alexander,TBR,5.1,4.68,107.2,106.0,94.0,104.0,0.815,7.52,2.01,9.2,1.92,0.62,0.28,0.372,0.155,0.351,0.441,,,,85.0,110.0,103.0,114.0,107.0,109.0,0.223,0.191,,-0.2,1.43,,89.6,77.8,,0.232,0.495,0.244,,,,,,,61.0,113.0,105.0,98.0,101.0,99.0,,,,0.131,0.318,,-0.5,,-1.02,85.0,,89.7,0.227,0.364,0.188,0.288,0.492,0.109,,,,0.265,0.549,0.216,,,,,,,,,,102.0,103.0,103.0,0.137,-2.94,81.3,0.339,0.5,0.181,,,
2024/08/26,7:09 PM.,BOS,TOR,away,Cloudy.,75,677161,RF,3,1,1,0,0,0,0,0,1,1,2,.152,.317,.182,.499,677161,zackkelly,"Kelly, Z",Right,Zack Kelly,BOS,3.97,4.25,56.2,100.0,110.0,104.0,0.743,9.69,4.29,6.99,1.59,1.37,0.212,0.417,0.159,0.265,0.422,,,,107.0,96.0,93.0,131.0,102.0,115.0,0.301,0.272,,-1.3,2.07,,96.5,82.2,,0.25,0.344,0.23,,,,,,,,,,78.0,101.0,102.0,,,,,0.218,,-0.23,,,91.1,,,0.138,0.224,0.344,,,,,,,0.277,0.574,0.219,,,,,,,,,,122.0,103.0,109.0,0.209,-0.3,83.6,0.163,0.465,0.326,,,
2024/08/25,1:40 PM.,LAA,TOR,home,Partly Cloudy.,73,542881,LF,1,0,0,0,0,0,0,0,0,1,1,.133,.297,.167,.464,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,3.81,4.37,179.1,99.0,96.0,99.0,0.741,7.13,3.66,7.93,1.2,0.88,0.193,0.51,0.157,0.267,0.396,,,,89.0,99.0,96.0,80.0,141.0,142.0,0.396,0.013,0.001,-0.73,-0.06,-3.14,89.4,81.3,71.6,0.272,0.494,0.183,,,,0.0,0.0,0.357,66.0,95.0,83.0,99.0,100.0,96.0,,,,0.033,0.185,,-0.41,,-3.87,84.3,,88.1,,,,0.261,0.696,0.152,,,,0.264,0.455,0.247,,,,,,,,,,105.0,100.0,105.0,0.371,1.32,78.9,0.185,0.259,0.396,,,
2024/08/23,7:10 PM.,LAA,TOR,home,Clear.,76,686799,RF,2,0,0,0,0,0,0,0,1,1,1,.138,.306,.172,.478,686799,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,111.0,95.0,106.0,87.0,95.0,90.0,,,,0.062,,0.184,-1.87,,-1.06,96.3,,85.0,0.167,0.5,0.364,0.235,0.412,0.25,,,,99.0,103.0,102.0,,,,,,,0.724,,,,,0.89,,,95.8,,,,0.286,0.411,0.121,,,,,,,,,,,,,,,,74.0,103.0,98.0,0.03,-3.35,88.3,0.333,0.444,0.067,,,
2024/08/20,7:08 PM.,CIN,TOR,home,Roof Closed.,68,686730,RF,1,0,0,0,0,0,0,0,0,0,0,.148,.303,.185,.488,686730,carsonspiers,Spiers,Right,Carson Spiers,CIN,5.46,4.84,90.2,103.0,89.0,100.0,0.805,7.94,2.68,11.12,1.99,0.79,0.265,0.413,0.195,0.339,0.452,,,,76.0,101.0,95.0,121.0,106.0,113.0,0.299,0.245,,-1.66,-1.23,,92.4,81.5,,0.256,0.462,0.205,,,,0.0,0.0,0.4,80.0,107.0,99.0,82.0,103.0,98.0,,,,0.175,0.16,,-0.84,,0.68,87.8,,92.1,0.291,0.544,0.319,0.3,0.5,0.122,,,,0.321,0.547,0.195,,,,,,,,,,69.0,102.0,90.0,0.121,-5.43,86.7,0.396,0.774,0.198,,,
2024/08/18,1:20 PM.,CHC,TOR,away,Cloudy.,74,684007,DH,0,0,0,0,0,0,0,0,0,0,0,.154,.313,.192,.505,684007,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.91,3.39,173.1,105.0,90.0,103.0,0.739,9.03,1.45,7.74,1.4,0.82,0.217,0.45,0.166,0.309,0.438,70.0,96.0,97.0,96.0,104.0,106.0,103.0,105.0,104.0,0.52,0.077,0.032,0.36,0.14,-0.59,91.7,81.6,72.7,0.229,0.47,0.176,0.444,0.556,0.0,,,,76.0,102.0,91.0,50.0,107.0,96.0,81.0,106.0,100.0,0.021,0.005,0.306,-6.3,1.39,0.77,89.8,82.9,88.7,0.267,0.311,0.347,0.25,0.333,0.37,0.204,0.283,0.431,0.333,1.333,0.143,,,,,0.0,,-76.55,,53.9,82.0,105.0,104.0,0.039,0.48,81.6,0.194,0.226,0.333,,,
2024/08/17,1:20 PM.,CHC,TOR,away,Cloudy.,78,657006,RF,4,1,1,0,0,0,0,0,0,2,5,.154,.313,.192,.505,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.07,2.74,134.2,103.0,99.0,102.0,0.792,9.02,2.47,7.42,0.8,1.2,0.288,0.38,0.174,0.264,0.513,92.0,120.0,108.0,89.0,102.0,100.0,130.0,105.0,109.0,0.595,0.297,0.022,0.38,1.81,2.76,91.6,83.3,79.9,0.253,0.396,0.223,0.0,0.0,0.2,0.16,0.243,0.282,64.0,104.0,95.0,,,,,,,0.053,,,,,0.43,,,91.6,,,,0.292,0.458,0.182,,,,,,,,,,,,,,,,70.0,92.0,94.0,0.033,0.32,86.2,0.222,0.222,0.172,,,
2024/08/12,6:38 PM.,LAA,TOR,away,Clear.,82,669721,RF,1,0,0,0,0,0,0,0,3,0,0,.136,.321,.182,.503,669721,davisdaniel,Daniel,Right,Davis Daniel,LAA,6.23,4.34,30.1,105.0,81.0,101.0,0.808,8.31,1.78,11.57,1.48,0.84,0.293,0.424,0.162,0.313,0.435,94.0,89.0,85.0,61.0,107.0,98.0,125.0,101.0,108.0,0.48,0.238,0.077,-1.06,-0.4,2.13,91.5,81.8,74.3,0.328,0.586,0.147,0.125,0.25,0.333,0.226,0.419,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,112.0,104.0,0.205,-2.86,84.6,0.4,0.533,0.226,,,
2024/08/04,1:39 PM.,NYY,TOR,away,Cloudy.,79,543037,RF,0,0,0,0,0,0,0,0,0,0,0,.143,.250,.190,.440,543037,gerritcole,Cole,Right,Gerrit Cole,NYY,3.41,3.64,95.0,101.0,111.0,105.0,0.777,9.38,2.75,7.39,1.04,0.88,0.289,0.371,0.18,0.332,0.435,,,,116.0,100.0,104.0,128.0,106.0,112.0,0.462,0.146,,0.7,1.25,,95.9,88.2,,0.189,0.365,0.234,0.209,0.239,0.301,0.222,0.27,0.264,,,,99.0,102.0,102.0,,,,0.002,0.163,,-0.7,,17.25,91.4,,93.7,,,,0.0,0.0,0.143,,,,0.32,0.56,0.22,,102.0,99.0,106.0,0.187,,2.35,,82.5,73.0,94.0,90.0,0.04,-3.6,88.2,0.333,0.667,0.28,,,
2024/08/03,1:10 PM.,NYY,TOR,away,Partly Cloudy.,90,607074,RF,2,0,0,0,0,0,0,0,0,1,0,.143,.250,.190,.440,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,3.96,4.14,175.0,97.0,122.0,103.0,0.716,10.03,2.93,8.07,1.59,0.69,0.257,0.399,0.143,0.329,0.396,103.0,86.0,93.0,114.0,98.0,101.0,144.0,104.0,113.0,0.494,0.26,0.083,0.05,-0.4,-1.32,95.4,86.8,81.0,0.262,0.514,0.214,0.281,0.531,0.276,0.199,0.361,0.393,,,,100.0,83.0,82.0,,,,,0.035,,-3.11,,,91.8,,,,,,,,,,,,0.353,0.647,0.255,,,,,,,,,,129.0,92.0,106.0,0.129,1.44,85.5,0.188,0.247,0.495,,,
