date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2024/09/30,4:50 PM.,ATL,NYM,away,Cloudy.,76,1.0,0,0,0,0,1,0,8,4.34
2024/09/30,1:11 PM.,ATL,NYM,away,Overcast.,73,1.0,0,0,0,0,1,0,9,4.42
2024/09/27,7:13 PM.,MIL,NYM,away,Cloudy.,68,1.1,0,0,0,1,3,0,26,4.50
2024/09/24,7:22 PM.,ATL,NYM,away,Partly Cloudy.,87,1.0,0,0,0,1,0,0,16,4.61
2024/09/20,7:10 PM.,PHI,NYM,home,Clear.,73,0.1,2,3,3,1,1,1,14,4.70
2024/09/17,7:12 PM.,WSH,NYM,home,Cloudy.,74,1.0,1,0,0,1,1,0,22,4.21
2024/09/10,7:09 PM.,TOR,NYM,away,Partly Cloudy.,71,1.0,1,0,0,1,1,0,16,4.29
2024/09/07,5:16 PM.,CIN,NYM,home,Cloudy.,65,0.1,0,0,0,0,1,0,5,4.38
2024/08/30,7:10 PM.,CWS,NYM,away,Partly Cloudy.,80,0.2,0,0,0,0,2,0,9,4.41
2024/08/27,6:40 PM.,AZ,NYM,away,Roof Closed.,78,1.0,0,0,0,0,1,0,11,4.47
2024/08/23,6:40 PM.,SD,NYM,away,Clear.,72,2.0,4,1,1,1,1,0,43,4.56
2024/08/20,7:11 PM.,BAL,NYM,home,Clear.,70,1.0,0,0,0,0,0,0,8,4.57
2024/08/14,7:11 PM.,OAK,NYM,home,Clear.,82,1.0,2,0,0,0,0,0,17,4.67
2024/08/11,4:11 PM.,SEA,NYM,away,Partly Cloudy.,69,0.2,2,2,2,0,2,1,12,4.78
2024/08/09,7:12 PM.,SEA,NYM,away,Clear.,73,0.1,1,1,1,2,0,0,19,4.43
2024/08/08,1:10 PM.,COL,NYM,away,Cloudy.,67,1.0,1,0,0,1,1,0,24,4.25
2024/08/04,1:08 PM.,LAA,NYM,away,Sunny.,87,1.0,0,0,0,0,2,0,11,4.35
