date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2024/09/27,7:15 PM.,SF,STL,away,Clear.,77,1.0,0,0,0,0,1,0,7,2.80
2024/09/25,6:39 PM.,COL,STL,away,Clear.,85,1.0,2,0,0,0,1,0,12,2.84
2024/09/24,6:41 PM.,COL,STL,away,Clear.,74,1.0,0,0,0,0,1,0,9,2.88
2024/09/22,1:16 PM.,CLE,STL,home,Overcast.,78,1.0,1,0,0,0,0,0,13,2.93
2024/09/21,6:15 PM.,CLE,STL,home,Overcast.,85,1.0,2,0,0,0,1,0,17,2.97
2024/09/19,6:16 PM.,PIT,STL,home,Clear.,84,1.0,1,1,1,0,1,1,11,3.02
2024/09/16,6:45 PM.,PIT,STL,home,Partly Cloudy.,80,1.0,0,0,0,0,1,0,11,2.92
2024/09/15,1:40 PM.,TOR,STL,away,Sunny.,74,0.2,2,1,1,1,1,0,13,2.97
2024/09/12,12:15 PM.,CIN,STL,home,Cloudy.,82,1.2,0,0,0,1,2,0,20,2.86
2024/09/11,6:45 PM.,CIN,STL,home,Partly Cloudy.,86,1.0,0,0,0,0,2,0,19,2.93
2024/09/07,6:17 PM.,SEA,STL,home,Clear.,73,1.0,1,0,0,1,1,0,18,2.98
2024/09/04,6:40 PM.,MIL,STL,away,Clear.,76,1.2,0,0,0,1,2,0,21,3.03
2024/09/03,6:41 PM.,MIL,STL,away,Clear.,73,1.0,0,0,0,0,1,0,9,3.12
2024/09/01,1:39 PM.,NYY,STL,away,Cloudy.,78,1.0,0,0,0,0,1,0,10,3.18
2024/08/31,1:08 PM.,NYY,STL,away,Cloudy.,74,0.1,1,0,0,0,0,0,2,3.23
2024/08/28,6:46 PM.,SD,STL,home,Cloudy.,87,0.2,0,0,0,0,0,0,5,3.25
2024/08/27,6:45 PM.,SD,STL,home,Clear.,98,1.1,0,0,0,0,1,0,10,3.29
2024/08/25,1:11 PM.,MIN,STL,away,Partly Cloudy.,82,1.0,2,0,0,0,0,0,8,3.38
2024/08/22,1:15 PM.,MIL,STL,home,Sunny.,77,1.0,0,0,0,0,1,0,15,3.44
2024/08/21,6:45 PM.,MIL,STL,home,Clear.,73,0.2,1,1,1,1,0,0,29,3.51
2024/08/16,7:15 PM.,LAD,STL,home,Clear.,86,0.0,3,2,2,0,0,1,7,3.38
2024/08/09,7:10 PM.,KC,STL,away,Partly Cloudy.,73,1.0,1,0,0,1,1,0,17,3.02
2024/08/07,6:45 PM.,TB,STL,home,Overcast.,75,0.2,1,0,0,0,0,0,11,3.08
2024/08/06,6:46 PM.,TB,STL,home,Cloudy.,81,1.0,0,0,0,0,1,0,9,3.12
2024/07/28,1:17 PM.,WSH,STL,home,Partly Cloudy.,86,1.0,0,0,0,0,1,0,11,3.19
2024/07/26,7:16 PM.,WSH,STL,home,Partly Cloudy.,84,0.2,0,0,0,1,1,0,10,3.26
2024/07/23,6:42 PM.,PIT,STL,away,Partly Cloudy.,84,1.0,0,0,0,0,1,0,8,3.30
2024/07/21,1:36 PM.,ATL,STL,away,Partly Cloudy.,82,1.0,1,0,0,0,0,0,10,3.38
2024/07/20,1:20 PM.,ATL,STL,away,Cloudy.,77,1.0,2,0,0,0,1,0,19,3.45
2024/07/14,1:16 PM.,CHC,STL,home,Sunny.,93,1.0,3,2,2,0,0,2,11,3.53
2024/07/13,7:16 PM.,CHC,STL,home,Clear.,89,1.1,0,0,0,0,2,0,16,3.19
2024/07/10,6:48 PM.,KC,STL,home,Partly Cloudy.,84,1.0,1,1,1,0,2,1,14,3.29
2024/07/08,4:05 PM.,WSH,STL,away,Partly Cloudy.,96,1.1,0,0,0,0,1,0,17,3.15
2024/07/04,12:37 PM.,PIT,STL,away,Cloudy.,82,1.0,1,0,0,1,3,0,32,3.26
2024/07/03,6:41 PM.,PIT,STL,away,Partly Cloudy.,91,1.1,1,2,1,1,2,0,17,3.35
2024/06/30,1:14 PM.,CIN,STL,home,Sunny.,81,0.2,0,0,0,1,0,0,11,3.22
2024/06/28,7:17 PM.,CIN,STL,home,Overcast.,86,0.1,0,0,0,0,1,0,3,3.28
2024/06/26,6:15 PM.,ATL,STL,home,Partly Cloudy.,81,0.2,2,1,1,0,0,0,14,3.31
2024/06/23,1:18 PM.,SF,STL,home,Sunny.,90,0.2,1,0,0,1,0,0,11,3.12
2024/06/20,6:36 PM.,SF,STL,home,Clear.,90,1.0,2,0,0,0,0,0,18,3.18
2024/06/17,6:40 PM.,MIA,STL,away,Roof Closed.,72,2.0,1,2,0,0,0,0,25,3.27
2024/06/16,12:05 PM.,CHC,STL,away,Sunny.,86,1.0,0,0,0,1,1,0,20,3.48
