date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2024/09/20,6:45 PM.,SD,CWS,away,Partly Cloudy.,68,1.0,1,0,0,0,0,0,16,5.06
2024/09/18,1:08 PM.,LAA,CWS,away,Partly Cloudy.,75,1.1,2,2,0,2,1,0,31,5.16
2024/09/16,6:39 PM.,LAA,CWS,away,Partly Cloudy.,68,0.2,2,0,0,0,1,0,23,5.29
2024/09/14,6:11 PM.,OAK,CWS,home,Partly Cloudy.,81,0.2,2,3,3,2,1,0,30,5.36
2024/09/11,1:11 PM.,CLE,CWS,home,Partly Cloudy.,81,2.0,3,1,1,0,2,0,29,4.89
2024/09/07,7:15 PM.,BOS,CWS,away,Cloudy.,71,1.0,0,0,0,0,3,0,16,4.91
2024/09/02,3:07 PM.,BAL,CWS,away,Sunny.,81,0.1,3,4,4,2,1,0,27,5.01
2024/08/31,6:10 PM.,NYM,CWS,home,Clear.,82,1.0,0,0,0,0,1,0,16,4.27
2024/08/27,7:10 PM.,TEX,CWS,home,Cloudy.,77,1.0,0,0,0,0,2,0,13,4.37
2024/08/24,6:10 PM.,DET,CWS,home,Cloudy.,86,2.0,1,0,0,0,1,0,20,4.47
2024/08/21,12:45 PM.,SF,CWS,away,Sunny.,66,2.0,1,0,0,0,4,0,33,4.68
2024/08/19,6:45 PM.,SF,CWS,away,Clear.,68,1.0,1,0,0,0,2,0,17,4.91
2024/08/16,7:10 PM.,HOU,CWS,away,Roof Closed.,73,1.0,1,1,1,0,2,1,17,5.03
2024/08/14,7:10 PM.,NYY,CWS,home,Partly Cloudy.,79,0.2,4,5,5,1,2,1,29,4.93
2024/08/13,7:10 PM.,NYY,CWS,home,Clear.,80,0.2,2,0,0,0,0,0,5,3.82
2024/08/10,6:15 PM.,CHC,CWS,home,Partly Cloudy.,76,0.1,3,2,2,1,0,0,19,3.89
2024/08/09,7:10 PM.,CHC,CWS,home,Overcast.,69,1.0,1,0,0,0,0,0,12,3.44
2024/08/06,6:40 PM.,OAK,CWS,away,Clear.,76,1.0,0,0,0,0,0,0,11,3.53
2024/08/05,6:40 PM.,OAK,CWS,away,Partly Cloudy.,66,1.0,2,1,1,0,2,1,17,3.63
2024/08/02,7:11 PM.,MIN,CWS,away,Clear.,87,2.0,0,0,0,0,2,0,27,3.48
2024/07/31,1:10 PM.,KC,CWS,home,Cloudy.,86,1.0,2,0,0,0,1,0,13,3.69
2024/07/28,1:10 PM.,SEA,CWS,home,Cloudy.,81,5.0,2,1,1,2,4,0,75,3.82
2024/07/23,7:07 PM.,TEX,CWS,away,Roof Closed.,74,1.0,0,0,0,1,0,0,19,4.21
2024/07/19,7:10 PM.,KC,CWS,away,Clear.,82,3.1,3,0,0,0,2,0,52,4.38
2024/07/14,1:10 PM.,PIT,CWS,home,Sunny.,83,4.0,6,4,4,2,4,1,70,5.06
2024/07/10,4:06 PM.,MIN,CWS,home,Partly Cloudy.,79,2.0,0,0,0,1,1,0,35,4.15
2024/07/04,1:10 PM.,CLE,CWS,away,Cloudy.,80,4.1,5,3,2,4,1,0,94,4.70
2024/06/27,3:10 PM.,ATL,CWS,home,Sunny.,70,3.0,1,0,0,2,3,0,49,4.91
2024/06/23,1:40 PM.,DET,CWS,away,Partly Cloudy.,84,4.1,6,2,2,1,7,1,99,6.75
2024/06/19,7:10 PM.,HOU,CWS,home,Partly Cloudy.,90,1.0,0,0,0,1,1,0,16,9.82
2024/06/16,1:10 PM.,AZ,CWS,away,Roof Closed.,78,2.2,2,4,4,3,3,0,50,13.50
