date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2024/09/27,7:10 PM.,BOS,TB,away,Partly Cloudy.,72,1.0,2,1,1,0,0,0,22,3.86
2024/09/24,1:59 PM.,DET,TB,away,Overcast.,68,1.0,0,0,0,0,0,0,5,3.72
2024/09/22,1:40 PM.,TOR,TB,home,Dome.,72,0.2,2,1,1,0,1,0,14,3.82
2024/09/20,6:51 PM.,TOR,TB,home,Dome.,72,0.1,0,0,0,0,1,0,7,3.63
2024/08/27,6:40 PM.,SEA,TB,away,Partly Cloudy.,65,1.0,0,0,0,0,2,0,12,3.67
2024/08/23,7:10 PM.,LAD,TB,away,Clear.,73,0.0,1,2,2,1,0,1,6,3.78
2024/08/22,12:37 PM.,OAK,TB,away,Partly Cloudy.,68,1.0,0,0,0,0,0,0,7,3.24
2024/08/18,1:40 PM.,AZ,TB,home,Dome.,72,0.1,0,0,0,0,0,0,5,3.34
2024/08/16,6:51 PM.,AZ,TB,home,Dome.,72,1.0,1,0,0,1,1,0,16,3.38
2024/08/10,7:16 PM.,BAL,TB,home,Dome.,72,0.2,4,3,3,1,1,1,27,3.48
2024/08/08,6:15 PM.,STL,TB,away,Cloudy.,81,1.0,0,0,0,0,2,0,14,2.67
2024/08/06,6:46 PM.,STL,TB,away,Cloudy.,81,1.0,1,0,0,0,1,0,8,2.76
2024/08/03,6:15 PM.,HOU,TB,away,Roof Closed.,73,0.1,1,0,0,0,0,0,7,2.86
2024/07/27,4:10 PM.,CIN,TB,home,Dome.,72,1.0,0,0,0,1,0,0,15,2.89
2024/07/25,3:09 PM.,TOR,TB,away,Partly Cloudy.,76,1.0,0,0,0,1,1,0,17,3.00
2024/07/21,1:39 PM.,NYY,TB,away,Cloudy.,84,1.0,0,0,0,0,1,0,14,3.12
2024/07/14,1:40 PM.,CLE,TB,home,Dome.,72,1.0,0,0,0,0,0,0,8,3.24
2024/07/12,6:50 PM.,CLE,TB,home,Dome.,72,1.0,0,0,0,0,2,0,11,3.38
2024/07/11,6:50 PM.,NYY,TB,home,Dome.,72,0.1,1,0,0,1,1,0,15,3.52
2024/07/09,6:50 PM.,NYY,TB,home,Dome.,72,0.2,1,1,1,1,1,1,12,3.57
2024/07/07,1:37 PM.,TEX,TB,away,Roof Closed.,74,1.0,1,1,1,0,2,1,16,3.27
2024/07/02,7:10 PM.,KC,TB,away,Cloudy.,92,1.0,1,0,0,0,0,0,13,3.00
2024/06/30,1:40 PM.,WSH,TB,home,Dome.,72,0.1,0,0,0,0,0,0,6,3.15
2024/06/26,12:10 PM.,SEA,TB,home,Dome.,72,1.0,0,0,0,0,1,0,10,3.20
2024/06/24,6:50 PM.,SEA,TB,home,Dome.,0,0.2,0,0,0,0,2,0,10,3.38
2024/06/21,6:42 PM.,PIT,TB,away,Clear.,96,1.2,0,0,0,0,1,0,11,3.50
2024/06/19,6:42 PM.,MIN,TB,away,Partly Cloudy.,72,1.0,1,0,0,1,2,0,17,3.86
2024/06/18,6:41 PM.,MIN,TB,away,Partly Cloudy.,85,1.0,0,0,0,0,2,0,10,4.11
2024/06/16,1:36 PM.,ATL,TB,away,Partly Cloudy.,93,1.0,0,0,0,0,0,0,9,4.40
2024/06/13,6:50 PM.,CHC,TB,home,Dome.,72,1.0,0,0,0,0,0,0,9,4.73
2024/06/12,6:50 PM.,CHC,TB,home,Dome.,72,1.0,1,0,0,0,0,0,12,5.11
2024/06/10,6:50 PM.,BAL,TB,home,Dome.,72,1.0,0,0,0,0,2,0,8,5.56
2024/06/08,4:10 PM.,BAL,TB,home,Dome.,72,1.0,0,0,0,2,0,0,28,6.10
2024/04/23,6:50 PM.,DET,TB,home,Dome.,72,1.0,3,3,3,0,0,2,13,6.75
2024/04/20,1:08 PM.,NYY,TB,away,Partly Cloudy.,60,1.0,1,0,0,0,0,0,8,4.32
2024/04/18,1:10 PM.,LAA,TB,home,Dome.,72,1.0,2,0,0,0,1,0,13,4.91
2024/04/16,6:50 PM.,LAA,TB,home,Dome.,72,1.0,0,0,0,0,0,0,11,5.68
2024/04/12,6:50 PM.,SF,TB,home,Dome.,72,1.0,1,0,0,1,2,0,23,6.75
2024/04/09,6:38 PM.,LAA,TB,away,Clear.,77,1.0,0,0,0,1,0,0,11,8.31
2024/04/06,6:11 PM.,COL,TB,away,Cloudy.,46,1.0,0,0,0,0,1,0,10,10.80
2024/04/05,2:10 PM.,COL,TB,away,Partly Cloudy.,75,1.0,3,3,3,0,0,1,24,15.43
2024/04/02,6:50 PM.,TEX,TB,home,Dome.,72,0.2,0,0,0,0,1,0,8,6.75
2024/03/30,4:09 PM.,TOR,TB,home,Dome.,72,0.2,2,1,1,1,1,0,21,13.50
