date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2024/10/29,8:08 PM.,NYY,LAD,away,Cloudy.,61,1.0,2,4,4,1,1,1,20,7.50
2024/10/28,8:17 PM.,NYY,LAD,away,Clear.,52,0.2,1,0,0,0,2,0,22,1.80
2024/10/20,5:08 PM.,NYM,LAD,home,Clear.,78,1.0,2,1,1,0,1,0,14,2.08
2024/10/13,5:15 PM.,NYM,LAD,home,Clear.,73,1.0,1,0,0,1,1,0,20,0.00
2024/10/09,6:08 PM.,SD,LAD,away,Clear.,67,1.0,1,0,0,0,1,0,9,0.00
2024/10/08,6:08 PM.,SD,LAD,away,Clear.,68,0.2,0,0,0,0,0,0,4,0.00
2024/10/06,5:03 PM.,SD,LAD,home,Clear.,79,0.2,0,0,0,0,0,0,5,0.00
2024/09/27,6:11 PM.,COL,LAD,away,Clear.,83,1.0,0,0,0,1,2,0,17,3.00
2024/09/24,7:10 PM.,SD,LAD,home,Clear.,69,1.0,1,0,0,0,1,0,10,3.05
2024/09/21,6:10 PM.,COL,LAD,home,Clear.,69,1.0,2,2,2,0,2,1,22,3.10
2024/09/20,7:10 PM.,COL,LAD,home,Clear.,68,1.0,2,1,1,0,2,1,16,2.85
2024/09/17,6:40 PM.,MIA,LAD,away,Roof Closed.,72,1.0,2,2,2,0,0,1,19,2.75
2024/09/16,7:20 PM.,ATL,LAD,away,Clear.,79,1.0,0,0,0,1,1,0,17,2.48
2024/09/13,7:20 PM.,ATL,LAD,away,Overcast.,72,1.0,0,0,0,1,1,0,18,2.53
2024/09/11,7:10 PM.,CHC,LAD,home,Clear.,70,0.2,1,1,1,2,1,0,22,2.57
2024/09/06,7:10 PM.,CLE,LAD,home,Clear.,87,1.0,1,0,0,0,0,0,10,2.44
2024/09/03,6:39 PM.,LAA,LAD,away,Clear.,82,1.0,0,0,0,0,2,0,12,2.48
2024/08/30,6:41 PM.,AZ,LAD,away,Roof Closed.,78,1.0,0,0,0,0,1,0,15,2.53
2024/08/29,7:09 PM.,BAL,LAD,home,Clear.,71,0.2,1,0,0,2,0,0,18,2.58
2024/08/20,7:10 PM.,SEA,LAD,home,Clear.,82,1.0,1,0,0,0,0,0,15,2.61
2024/08/18,1:16 PM.,STL,LAD,away,Partly Cloudy.,82,1.0,1,1,1,0,0,1,17,2.66
2024/08/15,1:11 PM.,MIL,LAD,away,Roof Closed.,77,0.2,3,3,3,1,0,0,20,2.54
2024/08/12,7:10 PM.,MIL,LAD,away,Clear.,78,1.0,0,0,0,0,0,0,10,2.02
2024/08/10,6:11 PM.,PIT,LAD,home,Clear.,81,1.0,1,1,1,0,1,1,14,2.06
2024/08/09,7:10 PM.,PIT,LAD,home,Clear.,72,1.0,1,1,1,1,1,0,19,1.91
2024/08/05,7:10 PM.,PHI,LAD,home,Clear.,82,1.0,1,0,0,0,0,0,11,1.76
2024/08/04,1:07 PM.,OAK,LAD,away,Sunny.,68,1.0,0,0,0,0,1,0,9,1.80
2024/08/02,6:40 PM.,OAK,LAD,away,Cloudy.,72,1.0,0,0,0,0,0,0,8,1.84
2024/07/27,6:10 PM.,HOU,LAD,away,Roof Closed.,73,0.2,3,2,2,1,0,0,22,1.88
2024/07/25,1:10 PM.,SF,LAD,home,Sunny.,89,1.0,0,0,0,1,2,0,18,1.49
2024/07/22,7:11 PM.,SF,LAD,home,Clear.,77,1.0,0,0,0,1,2,0,19,1.52
2024/07/21,4:11 PM.,BOS,LAD,home,Partly Cloudy.,86,0.2,0,0,0,0,0,0,6,1.56
2024/07/19,7:10 PM.,BOS,LAD,home,Clear.,78,1.0,1,0,0,0,1,0,13,1.59
2024/07/12,6:40 PM.,DET,LAD,away,Partly Cloudy.,83,1.0,0,0,0,2,2,0,25,1.63
2024/07/10,7:08 PM.,PHI,LAD,away,Partly Cloudy.,88,1.0,0,0,0,0,0,0,14,1.67
2024/07/06,4:18 PM.,MIL,LAD,home,Sunny.,85,1.0,0,0,0,1,1,0,13,1.72
2024/07/05,7:10 PM.,MIL,LAD,home,Clear.,82,1.0,0,0,0,0,1,0,14,1.77
2024/07/02,7:10 PM.,AZ,LAD,home,Clear.,75,1.0,1,0,0,0,2,0,19,1.82
2024/06/29,4:15 PM.,SF,LAD,away,Sunny.,68,1.0,2,1,0,1,1,0,18,1.87
2024/06/28,7:15 PM.,SF,LAD,away,Clear.,64,1.0,1,2,1,0,0,1,18,1.93
2024/06/25,7:11 PM.,CWS,LAD,away,Partly Cloudy.,81,1.0,0,0,0,0,1,0,14,1.71
