date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2024/10/19,8:09 PM.,NYY,CLE,home,Clear.,58,1.0,1,3,0,1,2,1,28,4.91
2024/10/18,8:08 PM.,NYY,CLE,home,Clear.,56,1.0,0,0,0,0,3,0,14,5.68
2024/10/17,5:08 PM.,NYY,CLE,home,Clear.,57,0.2,0,1,1,1,1,0,10,6.75
2024/10/15,7:39 PM.,NYY,CLE,away,Partly Cloudy.,52,0.2,2,2,2,0,0,1,22,5.79
2024/10/12,1:09 PM.,DET,CLE,home,Sunny.,65,0.2,3,1,1,1,2,0,31,2.25
2024/10/10,6:08 PM.,DET,CLE,away,Clear.,61,1.2,1,0,0,1,3,0,32,0.00
2024/10/07,4:09 PM.,DET,CLE,home,Partly Cloudy.,61,0.2,1,0,0,1,1,0,11,0.00
2024/10/05,1:09 PM.,DET,CLE,home,Sunny.,68,1.0,0,0,0,0,0,0,7,0.00
2024/09/28,6:11 PM.,HOU,CLE,home,Overcast.,73,1.0,0,0,0,0,1,0,13,1.57
2024/09/25,6:41 PM.,CIN,CLE,home,Overcast.,71,1.0,3,1,1,0,0,0,9,1.59
2024/09/24,6:40 PM.,CIN,CLE,home,Cloudy.,73,1.0,0,0,0,0,0,0,12,1.49
2024/09/22,1:16 PM.,STL,CLE,away,Overcast.,78,1.0,1,0,0,0,0,0,9,1.51
2024/09/19,1:10 PM.,MIN,CLE,home,Sunny.,76,1.0,0,0,0,0,1,0,10,1.53
2024/09/18,6:41 PM.,MIN,CLE,home,Partly Cloudy.,75,1.0,2,2,1,0,1,0,17,1.55
2024/09/15,1:40 PM.,TB,CLE,home,Sunny.,82,1.0,0,0,0,0,2,0,15,1.44
2024/09/14,6:10 PM.,TB,CLE,home,Clear.,80,1.0,1,1,0,0,0,0,12,1.46
2024/09/11,1:11 PM.,CWS,CLE,away,Partly Cloudy.,81,1.0,0,0,0,0,3,0,13,1.49
2024/09/10,6:40 PM.,CWS,CLE,away,Clear.,80,1.0,0,0,0,0,1,0,11,1.51
2024/09/09,6:39 PM.,CWS,CLE,away,Clear.,79,0.2,0,0,0,0,1,0,8,1.53
2024/09/06,7:10 PM.,LAD,CLE,away,Clear.,87,1.0,2,0,0,1,0,0,14,1.55
2024/09/01,1:40 PM.,PIT,CLE,home,Sunny.,78,1.0,0,0,0,0,1,0,11,1.57
2024/08/30,7:10 PM.,PIT,CLE,home,Partly Cloudy.,84,1.0,0,0,0,1,0,0,18,1.60
2024/08/28,1:11 PM.,KC,CLE,home,Cloudy.,83,1.0,0,0,0,0,0,0,10,1.62
2024/08/26,1:10 PM.,KC,CLE,home,Sunny.,84,0.1,2,1,1,0,0,1,12,1.65
2024/08/25,1:40 PM.,TEX,CLE,home,Cloudy.,80,1.0,1,1,1,0,0,1,23,1.51
2024/08/20,7:08 PM.,NYY,CLE,away,Partly Cloudy.,69,1.0,0,0,0,1,0,0,23,1.38
2024/08/18,1:11 PM.,MIL,CLE,away,Roof Closed.,76,1.0,0,0,0,0,2,0,20,1.40
2024/08/13,6:41 PM.,CHC,CLE,home,Clear.,77,1.0,0,0,0,0,1,0,22,1.43
2024/08/11,1:10 PM.,MIN,CLE,away,Sunny.,70,1.0,1,1,1,0,2,0,17,1.46
2024/08/10,6:50 PM.,MIN,CLE,away,Partly Cloudy.,72,1.0,0,0,0,0,1,0,12,1.32
2024/08/07,4:30 PM.,AZ,CLE,home,Cloudy.,75,1.0,1,0,0,0,0,0,9,1.34
2024/08/05,6:40 PM.,AZ,CLE,home,Partly Cloudy.,81,0.2,1,0,0,0,1,0,16,1.37
2024/08/02,7:10 PM.,BAL,CLE,home,Partly Cloudy.,80,1.0,0,0,0,0,1,0,10,1.38
2024/07/29,6:40 PM.,DET,CLE,away,Partly Cloudy.,83,1.0,1,2,2,1,0,1,22,1.41
2024/07/28,1:36 PM.,PHI,CLE,away,Partly Cloudy.,87,1.0,0,0,0,2,0,0,18,1.08
2024/07/26,6:42 PM.,PHI,CLE,away,Partly Cloudy.,83,1.0,0,0,0,0,0,0,17,1.10
2024/07/24,6:42 PM.,DET,CLE,home,Cloudy.,77,1.0,0,0,0,0,3,0,12,1.13
2024/07/23,6:41 PM.,DET,CLE,home,Partly Cloudy.,78,0.2,0,0,0,1,0,0,13,1.15
2024/07/19,7:11 PM.,SD,CLE,home,Clear.,74,1.0,1,0,0,0,0,0,12,1.17
2024/07/14,1:40 PM.,TB,CLE,away,Dome.,72,1.0,1,0,0,0,0,0,9,1.19
2024/07/13,4:10 PM.,TB,CLE,away,Dome.,72,1.0,2,0,0,0,0,0,17,1.22
2024/07/09,6:40 PM.,DET,CLE,away,Cloudy.,83,1.0,0,0,0,0,0,0,12,1.25
2024/07/07,1:40 PM.,SF,CLE,home,Sunny.,80,1.0,0,0,0,0,0,0,14,1.28
2024/07/06,4:11 PM.,SF,CLE,home,Partly Cloudy.,79,1.0,0,0,0,0,2,0,13,1.31
2024/07/04,1:10 PM.,CWS,CLE,home,Cloudy.,80,1.0,1,0,0,0,2,0,18,1.34
2024/07/02,6:40 PM.,CWS,CLE,home,Partly Cloudy.,83,0.2,1,0,0,0,1,0,15,1.37
2024/06/29,3:14 PM.,KC,CLE,away,Cloudy.,89,1.0,0,0,0,0,3,0,16,1.40
2024/06/27,7:11 PM.,KC,CLE,away,Cloudy.,84,1.0,0,0,0,0,0,0,8,1.43
2024/06/24,6:36 PM.,BAL,CLE,away,Partly Cloudy.,84,1.0,0,0,0,1,1,0,28,1.47
2024/06/22,4:11 PM.,TOR,CLE,home,Partly Cloudy.,89,1.0,0,0,0,0,2,0,8,1.51
2024/06/19,6:42 PM.,SEA,CLE,home,Partly Cloudy.,85,1.0,0,0,0,0,2,0,11,1.56
2024/06/18,6:40 PM.,SEA,CLE,home,Cloudy.,83,1.0,1,0,0,0,1,0,13,1.60
2024/06/16,1:38 PM.,TOR,CLE,away,Sunny.,64,0.1,0,0,0,1,1,0,13,1.65
2024/06/14,7:08 PM.,TOR,CLE,away,Cloudy.,74,1.0,0,0,0,0,1,0,16,1.67
2024/06/09,1:40 PM.,MIA,CLE,away,Roof Closed.,72,1.0,0,0,0,0,2,0,11,1.72
2024/06/07,7:10 PM.,MIA,CLE,away,Roof Closed.,72,1.0,0,0,0,0,0,0,7,1.78
2024/06/06,1:10 PM.,KC,CLE,home,Sunny.,74,1.0,2,1,1,0,0,0,15,1.84
2024/06/01,4:10 PM.,WSH,CLE,home,Partly Cloudy.,80,1.0,0,0,0,1,0,0,15,1.59
2024/05/31,7:11 PM.,WSH,CLE,home,Clear.,69,1.0,0,0,0,0,0,0,14,1.65
2024/05/28,6:41 PM.,COL,CLE,away,Cloudy.,74,1.0,0,0,0,0,1,0,10,1.71
2024/05/25,6:39 PM.,LAA,CLE,away,Partly Cloudy.,66,1.0,0,0,0,0,1,0,11,1.78
2024/05/22,1:10 PM.,NYM,CLE,home,Overcast.,76,1.1,1,0,0,0,3,0,18,1.85
2024/05/21,6:11 PM.,NYM,CLE,home,Partly Cloudy.,83,1.0,0,0,0,0,1,0,13,1.96
2024/05/19,1:42 PM.,MIN,CLE,home,Sunny.,77,1.0,0,0,0,0,0,0,11,2.05
2024/05/17,7:11 PM.,MIN,CLE,home,Cloudy.,66,0.1,0,0,0,0,1,0,4,2.14
2024/05/13,7:07 PM.,TEX,CLE,away,Roof Closed.,74,1.0,0,0,0,0,1,0,9,2.18
2024/05/12,1:10 PM.,CWS,CLE,away,Sunny.,78,1.0,0,0,0,1,0,0,17,2.29
2024/05/08,1:11 PM.,DET,CLE,home,Sunny.,72,2.0,1,0,0,0,0,0,26,2.41
2024/05/06,6:10 PM.,DET,CLE,home,Cloudy.,65,1.0,2,0,0,0,1,0,12,2.70
2024/05/03,7:11 PM.,LAA,CLE,home,Overcast.,67,0.2,0,0,0,0,0,0,3,2.87
2024/04/30,7:10 PM.,HOU,CLE,away,Roof Closed.,73,0.2,1,2,1,0,1,1,8,3.00
2024/04/28,1:36 PM.,ATL,CLE,away,Partly Cloudy.,76,1.0,3,2,2,0,0,0,22,2.51
