date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2024/10/02,6:39 PM.,NYM,MIL,home,Roof Closed.,73,1.0,1,0,0,2,1,0,17,16.20
2024/10/01,4:33 PM.,NYM,MIL,home,Roof Closed.,74,0.2,2,3,3,1,0,0,14,40.50
2024/09/28,6:16 PM.,NYM,MIL,home,Clear.,71,1.0,0,0,0,0,3,0,14,3.05
2024/09/26,12:35 PM.,PIT,MIL,away,Overcast.,70,0.1,0,0,0,0,0,0,4,3.10
2024/09/24,6:41 PM.,PIT,MIL,away,Overcast.,73,1.0,1,0,0,0,0,0,15,3.12
2024/09/22,1:12 PM.,AZ,MIL,home,Roof Closed.,76,1.0,1,0,0,0,2,0,10,3.18
2024/09/20,7:10 PM.,AZ,MIL,home,Clear.,77,1.0,0,0,0,1,1,0,15,3.23
2024/09/17,6:42 PM.,PHI,MIL,home,Clear.,76,1.0,0,0,0,0,3,0,13,3.29
2024/09/15,1:11 PM.,AZ,MIL,away,Roof Closed.,77,0.1,0,0,0,0,0,0,5,3.35
2024/09/13,6:40 PM.,AZ,MIL,away,Roof Closed.,78,1.0,0,0,0,0,2,0,15,3.38
2024/09/04,6:40 PM.,STL,MIL,home,Clear.,76,0.2,0,1,0,1,0,0,4,3.44
2024/09/03,6:41 PM.,STL,MIL,home,Clear.,73,1.0,0,0,0,1,0,0,13,3.48
2024/08/28,7:10 PM.,SF,MIL,home,Roof Closed.,78,0.1,0,0,0,0,1,0,6,3.62
2024/08/27,7:10 PM.,SF,MIL,home,Partly Cloudy.,85,0.2,2,2,2,0,1,1,16,3.65
2024/08/24,1:07 PM.,OAK,MIL,away,Partly Cloudy.,73,1.0,0,0,0,0,1,0,12,3.33
2024/08/23,6:40 PM.,OAK,MIL,away,Partly Cloudy.,69,1.0,1,0,0,0,1,0,10,3.40
2024/08/21,6:45 PM.,STL,MIL,away,Clear.,73,1.0,1,0,0,1,1,0,24,3.47
2024/08/17,6:15 PM.,CLE,MIL,home,Roof Closed.,79,1.0,0,0,0,0,1,0,15,3.55
2024/08/16,7:11 PM.,CLE,MIL,home,Roof Closed.,79,1.0,0,0,0,0,1,0,14,3.63
2024/08/14,7:11 PM.,LAD,MIL,home,Partly Cloudy.,74,1.1,0,0,0,0,0,0,14,3.71
2024/08/10,6:11 PM.,CIN,MIL,home,Partly Cloudy.,73,0.2,0,0,0,0,1,0,12,3.83
2024/08/09,7:11 PM.,CIN,MIL,home,Cloudy.,65,1.0,0,0,0,0,0,0,8,3.89
2024/08/07,7:23 PM.,ATL,MIL,away,Clear.,92,1.0,0,0,0,1,1,0,17,3.98
2024/08/04,1:35 PM.,WSH,MIL,away,Cloudy.,83,0.2,0,0,0,1,0,0,6,4.08
2024/08/02,6:45 PM.,WSH,MIL,away,Cloudy.,95,1.0,0,0,0,0,1,0,8,4.15
2024/07/28,1:36 PM.,MIA,MIL,home,Roof Closed.,80,1.0,1,1,1,1,2,0,22,4.26
2024/07/24,1:20 PM.,CHC,MIL,away,Partly Cloudy.,74,1.0,0,0,0,0,2,0,15,4.14
2024/07/22,7:05 PM.,CHC,MIL,away,Partly Cloudy.,74,0.1,0,0,0,0,0,0,4,4.25
2024/07/20,6:24 PM.,MIN,MIL,away,Cloudy.,83,1.0,1,0,0,0,1,0,12,4.29
2024/07/14,1:10 PM.,WSH,MIL,home,Partly Cloudy.,82,1.0,0,0,0,0,3,0,18,4.41
2024/07/12,7:10 PM.,WSH,MIL,home,Clear.,82,1.0,0,0,0,0,0,0,10,4.54
2024/07/09,7:10 PM.,PIT,MIL,home,Cloudy.,73,1.0,2,3,3,0,1,2,19,4.68
2024/07/05,7:10 PM.,LAD,MIL,away,Clear.,82,1.0,0,0,0,0,1,0,7,3.98
2024/07/04,6:10 PM.,COL,MIL,away,Partly Cloudy.,82,1.0,0,0,0,0,1,0,10,4.11
2024/07/01,6:40 PM.,COL,MIL,away,Partly Cloudy.,84,0.1,1,1,0,2,0,0,8,4.25
2024/06/29,3:11 PM.,CHC,MIL,home,Partly Cloudy.,85,0.1,1,2,2,3,0,1,23,4.30
2024/06/26,1:10 PM.,TEX,MIL,home,Partly Cloudy.,83,1.0,0,0,0,0,1,0,10,3.72
2024/06/24,7:10 PM.,TEX,MIL,home,Clear.,77,1.0,1,0,0,0,0,0,8,3.86
2024/06/23,1:11 PM.,SD,MIL,away,Sunny.,79,1.0,2,1,1,0,0,0,22,4.00
2024/06/20,6:40 PM.,SD,MIL,away,Clear.,70,0.2,1,1,1,0,2,1,19,3.81
2024/06/18,6:39 PM.,LAA,MIL,away,Clear.,74,0.1,2,1,1,1,0,0,16,3.55
2024/06/16,1:10 PM.,CIN,MIL,home,Partly Cloudy.,79,1.0,2,0,0,0,1,0,11,3.24
2024/06/10,7:10 PM.,TOR,MIL,home,Roof Closed.,71,1.0,0,0,0,0,1,0,10,3.38
2024/06/08,4:11 PM.,DET,MIL,away,Cloudy.,77,1.0,0,0,0,0,2,0,14,3.52
2024/06/05,4:06 PM.,PHI,MIL,away,Partly Cloudy.,84,1.0,0,0,0,0,1,0,16,3.68
2024/06/04,6:42 PM.,PHI,MIL,away,Clear.,82,0.0,1,1,0,1,0,0,1,3.86
2024/06/01,3:10 PM.,CWS,MIL,home,Roof Closed.,71,1.0,0,0,0,0,0,0,20,3.86
2024/05/30,12:10 PM.,CHC,MIL,home,Sunny.,64,1.0,1,1,1,0,0,0,13,4.05
2024/05/28,6:40 PM.,CHC,MIL,home,Roof Closed.,69,1.0,1,0,0,0,0,0,14,3.79
2024/05/26,1:37 PM.,BOS,MIL,away,Sunny.,81,0.2,0,0,0,0,1,0,7,4.00
2024/05/24,7:13 PM.,BOS,MIL,away,Clear.,82,1.0,1,0,0,0,0,0,10,4.15
2024/05/21,6:41 PM.,MIA,MIL,away,Roof Closed.,72,1.0,0,0,0,0,2,0,15,4.41
2024/05/20,6:41 PM.,MIA,MIL,away,Roof Closed.,72,1.1,0,0,0,0,1,0,17,4.70
2024/05/15,12:10 PM.,PIT,MIL,home,Sunny.,61,1.0,0,0,0,0,2,0,14,5.14
2024/05/13,6:40 PM.,PIT,MIL,home,Roof Closed.,71,1.0,2,1,1,1,2,1,25,5.54
2024/05/08,1:10 PM.,KC,MIL,away,Partly Cloudy.,67,0.1,5,3,3,1,0,1,21,5.25
2024/05/03,1:20 PM.,CHC,MIL,away,Partly Cloudy.,61,1.0,1,0,0,0,0,0,10,3.09
2024/04/25,12:36 PM.,PIT,MIL,away,Cloudy.,42,1.0,1,0,0,1,0,0,20,3.38
2024/04/24,6:42 PM.,PIT,MIL,away,Cloudy.,51,1.0,0,0,0,0,2,0,11,3.72
2024/04/21,1:16 PM.,STL,MIL,away,Sunny.,56,1.0,0,0,0,0,1,0,9,4.15
2024/04/19,7:16 PM.,STL,MIL,away,Cloudy.,58,0.1,0,0,0,1,0,0,15,4.70
2024/04/17,12:10 PM.,SD,MIL,home,Roof Closed.,66,1.0,0,0,0,0,0,0,16,4.91
2024/04/16,6:40 PM.,SD,MIL,home,Roof Closed.,56,1.0,0,0,0,0,2,0,14,5.68
2024/04/13,4:06 PM.,BAL,MIL,away,Partly Cloudy.,66,1.0,1,0,0,0,0,0,13,6.75
2024/04/08,6:41 PM.,CIN,MIL,away,Cloudy.,74,1.0,0,0,0,0,1,0,14,8.31
2024/04/03,12:10 PM.,MIN,MIL,home,Roof Closed.,64,0.1,4,4,4,0,0,0,16,10.80
2024/04/02,3:13 PM.,MIN,MIL,home,Roof Closed.,64,1.0,0,0,0,0,0,0,17,0.00
2024/03/31,1:42 PM.,NYM,MIL,away,Sunny.,57,1.0,0,0,0,0,1,0,11,0.00
2024/03/29,1:44 PM.,NYM,MIL,away,Sunny.,53,1.0,0,0,0,0,2,0,11,0.00
