date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2024/09/25,6:40 PM.,CWS,LAA,away,Clear.,70,5.0,5,3,3,2,5,2,76,6.02
2024/09/19,7:10 PM.,HOU,LAA,away,Roof Closed.,73,5.0,3,1,0,2,5,0,96,6.08
2024/09/13,6:37 PM.,HOU,LAA,home,Clear.,73,4.0,5,0,0,0,5,0,55,6.80
2024/09/09,6:41 PM.,MIN,LAA,away,Clear.,80,3.0,0,0,0,1,4,0,48,7.51
2024/06/16,1:06 PM.,SF,LAA,away,Sunny.,68,1.0,5,5,5,1,0,0,34,8.15
2024/06/11,6:40 PM.,AZ,LAA,away,Roof Closed.,78,2.2,6,4,4,1,3,1,65,7.08
2024/06/02,1:12 PM.,SEA,LAA,away,Roof Closed.,60,0.1,0,0,0,0,1,0,7,6.54
2024/05/30,6:41 PM.,NYY,LAA,home,Clear.,68,2.2,2,1,1,1,3,0,38,6.61
2024/05/24,6:38 PM.,CLE,LAA,home,Partly Cloudy.,66,3.1,4,2,2,2,2,1,56,6.91
2024/05/20,7:12 PM.,HOU,LAA,away,Roof Closed.,73,2.0,0,0,0,1,1,0,18,7.11
2024/05/13,6:38 PM.,STL,LAA,home,Clear.,65,2.0,1,2,0,2,2,0,54,7.71
2024/05/09,6:38 PM.,KC,LAA,home,Clear.,67,3.1,4,2,2,0,6,0,58,8.44
2024/05/03,7:11 PM.,CLE,LAA,away,Overcast.,67,2.0,1,0,0,1,3,0,41,9.00
2024/04/27,6:38 PM.,MIN,LAA,home,Clear.,67,1.1,5,3,3,0,1,0,41,10.13
2024/04/24,1:07 PM.,BAL,LAA,home,Cloudy.,67,0.2,4,4,4,1,0,0,20,9.20
2024/04/22,6:38 PM.,BAL,LAA,home,Cloudy.,59,1.0,0,0,0,1,1,0,21,7.07
2024/04/20,6:40 PM.,CIN,LAA,away,Partly Cloudy.,54,1.2,1,0,0,2,3,0,32,7.62
2024/04/14,1:36 PM.,BOS,LAA,away,Sunny.,59,2.0,2,2,2,3,3,1,48,8.74
2024/04/07,1:08 PM.,BOS,LAA,home,Partly Cloudy.,66,3.1,5,5,5,2,3,1,64,8.68
2024/04/05,7:06 PM.,BOS,LAA,home,Partly Cloudy.,54,1.0,1,1,1,1,1,0,28,6.00
2024/04/01,6:42 PM.,MIA,LAA,away,Partly Cloudy.,77,1.1,1,0,0,2,2,0,26,5.40
2024/03/28,3:14 PM.,BAL,LAA,away,Cloudy.,54,3.2,2,3,3,1,2,1,61,7.36
