date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2024/09/17,7:09 PM.,TEX,TOR,away,Roof Closed.,74,0.2,2,3,3,3,3,1,41,13.97
2024/09/14,3:09 PM.,STL,TOR,home,Sunny.,68,1.0,1,1,1,0,0,0,13,12.00
2024/09/09,7:07 PM.,NYM,TOR,home,Roof Closed.,68,1.1,0,0,0,0,2,0,15,12.38
2024/09/07,7:21 PM.,ATL,TOR,away,Partly Cloudy.,78,0.1,5,4,4,0,0,0,20,14.85
2024/04/16,6:40 PM.,CHC,AZ,home,Clear.,83,0.0,2,3,3,1,0,0,15,9.95
2024/04/12,6:40 PM.,STL,AZ,home,Clear.,86,1.0,2,0,0,1,2,0,29,5.68
2024/04/08,6:41 PM.,COL,AZ,away,Clear.,57,2.0,2,1,1,0,4,1,37,6.75
2024/04/06,7:21 PM.,ATL,AZ,away,Partly Cloudy.,63,0.1,3,2,1,0,0,0,13,8.10
2024/04/01,6:40 PM.,NYY,AZ,home,Roof Closed.,72,1.0,0,0,0,1,0,0,11,6.00
2024/03/30,5:10 PM.,COL,AZ,home,Roof Closed.,76,1.0,1,2,2,1,1,0,25,9.00
2024/03/28,7:11 PM.,COL,AZ,home,Overcast.,73,1.0,1,0,0,0,0,0,10,0.00
