date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2024/10/30,8:09 PM.,LAD,NYY,home,Partly Cloudy.,67,1.1,1,0,0,1,1,0,22,1.76
2024/10/29,8:08 PM.,LAD,NYY,home,Cloudy.,61,1.1,0,0,0,0,3,0,21,1.93
2024/10/28,8:17 PM.,LAD,NYY,home,Clear.,52,0.2,0,0,0,0,0,0,6,2.13
2024/10/25,5:11 PM.,LAD,NYY,away,Clear.,76,1.2,0,0,0,0,0,0,19,2.25
2024/10/19,8:09 PM.,CLE,NYY,away,Clear.,58,2.0,1,0,0,0,1,0,27,2.61
2024/10/17,5:08 PM.,CLE,NYY,away,Clear.,57,1.1,3,2,2,0,2,1,20,3.24
2024/10/15,7:39 PM.,CLE,NYY,home,Partly Cloudy.,52,1.0,1,1,1,0,0,1,18,1.29
2024/10/14,7:39 PM.,CLE,NYY,home,Cloudy.,50,1.2,0,0,0,1,4,0,24,0.00
2024/10/10,7:08 PM.,KC,NYY,away,Clear.,78,1.0,0,0,0,0,2,0,9,0.00
2024/10/09,6:08 PM.,KC,NYY,away,Clear.,81,1.2,2,0,0,0,0,0,20,0.00
2024/10/07,7:38 PM.,KC,NYY,home,Partly Cloudy.,67,0.1,0,0,0,0,0,0,4,0.00
2024/10/05,6:38 PM.,KC,NYY,home,Clear.,71,1.1,0,0,0,0,3,0,24,0.00
2024/09/29,4:36 PM.,PIT,NYY,home,Rain.,61,1.0,1,0,0,0,2,0,15,2.89
2024/09/22,1:08 PM.,OAK,NYY,away,Sunny.,69,1.2,0,0,0,0,3,0,18,2.93
2024/09/20,6:40 PM.,OAK,NYY,away,Clear.,62,1.0,1,1,0,0,3,0,16,2.99
2024/09/18,6:42 PM.,SEA,NYY,away,Clear.,65,1.2,0,0,0,1,4,0,29,3.02
2024/09/13,7:09 PM.,BOS,NYY,home,Clear.,74,2.0,1,0,0,0,5,0,35,3.09
2024/09/11,7:07 PM.,KC,NYY,home,Clear.,73,1.2,0,0,0,0,3,0,25,3.17
2024/09/09,7:09 PM.,KC,NYY,home,Clear.,74,1.0,1,0,0,1,2,0,23,3.24
2024/09/06,1:20 PM.,CHC,NYY,away,Partly Cloudy.,68,1.0,0,0,0,1,2,0,25,3.28
2024/09/02,7:08 PM.,TEX,NYY,away,Roof Closed.,74,1.0,2,2,2,0,1,1,19,3.33
2024/08/31,1:08 PM.,STL,NYY,home,Cloudy.,74,1.0,0,0,0,0,0,0,7,3.13
2024/08/28,6:46 PM.,WSH,NYY,away,Partly Cloudy.,98,1.0,2,0,0,1,0,0,16,3.17
2024/08/25,1:38 PM.,COL,NYY,home,Partly Cloudy.,83,1.0,0,0,0,1,2,0,21,3.21
2024/08/23,7:09 PM.,COL,NYY,home,Clear.,78,1.0,0,0,0,1,1,0,19,3.26
2024/08/22,1:08 PM.,CLE,NYY,home,Partly Cloudy.,74,0.2,0,0,0,1,2,0,16,3.31
2024/08/20,7:08 PM.,CLE,NYY,home,Partly Cloudy.,69,1.0,1,0,0,0,1,0,14,3.34
2024/08/18,7:11 PM.,DET,NYY,away,Cloudy.,73,1.0,0,0,0,0,1,0,12,3.39
2024/08/16,6:41 PM.,DET,NYY,away,Partly Cloudy.,80,1.0,1,0,0,0,1,0,22,3.44
2024/08/10,4:42 PM.,TEX,NYY,home,Sunny.,85,0.1,4,5,5,1,0,1,18,3.50
2024/08/07,4:09 PM.,LAA,NYY,home,Rain.,65,1.0,0,0,0,0,2,0,21,2.81
2024/08/04,1:39 PM.,TOR,NYY,home,Cloudy.,79,1.1,0,0,0,1,0,0,30,2.86
2024/08/03,1:10 PM.,TOR,NYY,home,Partly Cloudy.,90,1.0,0,0,0,1,3,0,19,2.92
2024/07/31,12:38 PM.,PHI,NYY,away,Partly Cloudy.,87,1.0,2,1,1,0,0,0,22,2.97
2024/07/30,6:42 PM.,PHI,NYY,away,Partly Cloudy.,83,1.0,0,0,0,0,0,0,7,2.87
2024/07/26,7:12 PM.,BOS,NYY,away,Clear.,84,1.1,2,3,3,1,3,1,32,2.91
2024/07/23,7:09 PM.,NYM,NYY,home,Cloudy.,76,1.0,2,0,0,1,2,0,23,2.51
2024/07/21,1:39 PM.,TB,NYY,home,Cloudy.,84,1.2,1,1,1,1,2,1,30,2.56
2024/07/12,7:06 PM.,BAL,NYY,away,Cloudy.,81,1.0,0,0,0,0,0,0,6,2.52
2024/07/10,6:50 PM.,TB,NYY,away,Dome.,72,1.2,0,0,0,2,1,0,27,2.56
2024/07/07,7:10 PM.,BOS,NYY,home,Partly Cloudy.,88,1.1,1,1,1,1,3,1,26,2.65
2024/07/05,7:08 PM.,BOS,NYY,home,Partly Cloudy.,83,2.0,1,0,0,0,3,0,25,2.54
2024/07/02,7:10 PM.,CIN,NYY,home,Partly Cloudy.,79,2.0,0,0,0,0,2,0,30,2.64
2024/06/28,7:08 PM.,TOR,NYY,away,Roof Closed.,68,1.0,2,1,1,0,2,1,26,2.76
2024/06/22,7:15 PM.,ATL,NYY,home,Cloudy.,80,1.0,1,0,0,0,2,0,16,2.62
2024/06/18,7:08 PM.,BAL,NYY,home,Partly Cloudy.,83,1.0,1,0,0,0,0,0,11,2.68
