date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2024/10/17,5:08 PM.,NYY,CLE,home,Clear.,57,5.0,2,1,1,3,4,0,75,0.77
2024/10/12,1:09 PM.,DET,CLE,home,Sunny.,65,2.0,1,0,0,1,5,0,33,0.00
2024/10/07,4:09 PM.,DET,CLE,home,Partly Cloudy.,61,4.2,4,0,0,2,5,0,72,0.00
2024/09/21,6:15 PM.,STL,CLE,away,Overcast.,85,4.0,4,2,2,3,6,1,88,2.72
2024/09/16,6:40 PM.,MIN,CLE,home,Clear.,77,2.2,5,3,2,3,5,0,64,2.52
2024/09/11,1:11 PM.,CWS,CLE,away,Partly Cloudy.,81,4.1,6,4,1,2,9,0,95,2.18
2024/09/06,7:10 PM.,LAD,CLE,away,Clear.,87,6.0,3,1,1,0,6,1,87,2.20
2024/08/31,6:10 PM.,PIT,CLE,home,Cloudy.,76,6.0,4,1,1,0,8,0,90,2.38
2024/08/25,1:40 PM.,TEX,CLE,home,Cloudy.,80,6.0,3,1,1,1,4,0,80,2.70
2024/08/20,7:08 PM.,NYY,CLE,away,Partly Cloudy.,69,5.1,4,3,3,4,2,2,85,3.38
2024/08/13,6:41 PM.,CHC,CLE,home,Clear.,77,5.1,3,1,1,0,6,0,80,1.69
