date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2024/09/29,1:11 PM.,LAD,COL,home,Partly Cloudy.,85,6.0,2,0,0,2,3,0,81,4.49
2024/09/24,6:41 PM.,STL,COL,home,Clear.,74,6.0,6,2,2,1,6,1,85,4.66
2024/09/17,6:40 PM.,AZ,COL,home,Clear.,74,6.2,5,1,1,2,2,0,93,4.73
2024/09/12,1:10 PM.,DET,COL,away,Sunny.,82,5.2,3,2,2,2,6,0,92,4.89
2024/09/06,5:12 PM.,MIL,COL,away,Roof Closed.,72,6.0,2,1,1,3,6,0,95,4.96
2024/08/31,6:11 PM.,BAL,COL,home,Clear.,89,4.2,6,5,5,1,6,2,80,5.11
2024/08/26,6:40 PM.,MIA,COL,home,Partly Cloudy.,82,5.0,7,2,2,2,2,0,71,4.95
2024/08/07,6:41 PM.,NYM,COL,home,Partly Cloudy.,73,1.0,2,1,1,0,1,0,24,5.00
2024/08/01,6:38 PM.,LAA,COL,away,Clear.,79,6.0,7,3,3,1,3,2,93,4.97
2024/07/27,4:06 PM.,SF,COL,away,Overcast.,62,6.0,4,1,1,4,6,1,95,4.99
2024/07/21,1:11 PM.,SF,COL,home,Cloudy.,78,7.0,6,3,2,1,6,2,98,5.19
2024/07/13,4:10 PM.,NYM,COL,away,Sunny.,85,3.2,2,4,3,5,7,0,87,5.36
2024/07/08,7:11 PM.,CIN,COL,away,Partly Cloudy.,87,7.0,4,2,1,3,6,0,92,5.29
2024/07/02,6:41 PM.,MIL,COL,home,Partly Cloudy.,87,5.0,6,1,1,2,3,0,83,5.60
2024/06/26,1:10 PM.,HOU,COL,away,Roof Closed.,73,6.0,6,4,2,1,2,0,83,5.82
2024/06/19,6:41 PM.,LAD,COL,home,Partly Cloudy.,73,5.0,7,6,6,2,6,0,95,6.02
2024/06/14,6:41 PM.,PIT,COL,home,Partly Cloudy.,82,6.2,7,4,4,1,8,3,95,5.71
2024/06/08,3:16 PM.,STL,COL,away,Partly Cloudy.,81,5.1,2,4,0,1,7,0,89,5.74
2024/06/03,6:41 PM.,CIN,COL,home,Cloudy.,83,4.1,10,8,8,0,3,1,73,6.22
2024/05/28,6:41 PM.,CLE,COL,home,Cloudy.,74,4.1,8,7,5,2,1,2,78,5.46
2024/05/23,12:37 PM.,OAK,COL,away,Sunny.,65,6.0,4,0,0,2,6,0,94,5.07
2024/05/17,7:15 PM.,SF,COL,away,Partly Cloudy.,58,4.0,7,5,5,2,2,1,85,5.69
2024/05/11,6:10 PM.,TEX,COL,home,Cloudy.,64,6.0,5,2,2,2,4,0,84,5.20
2024/05/05,1:35 PM.,PIT,COL,away,Cloudy.,73,5.2,8,5,5,0,3,1,85,5.54
2024/04/30,6:40 PM.,MIA,COL,away,Roof Closed.,72,8.0,5,3,3,0,3,0,89,5.13
2024/04/23,6:40 PM.,SD,COL,home,Rain.,57,4.0,10,4,4,2,4,0,93,5.68
2024/04/17,6:05 PM.,PHI,COL,away,Cloudy.,60,5.1,9,6,6,2,8,2,94,5.06
2024/04/12,7:08 PM.,TOR,COL,away,Roof Closed.,68,5.0,8,2,2,2,4,1,94,3.38
2024/04/06,6:11 PM.,TB,COL,home,Cloudy.,46,6.0,2,1,1,2,10,0,92,3.27
2024/03/31,1:10 PM.,AZ,COL,away,Roof Closed.,74,5.0,5,5,3,2,4,1,86,5.40
