date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2024/09/29,12:05 PM.,SF,STL,away,Partly Cloudy.,62,1.0,2,0,0,0,0,0,18,5.08
2024/09/26,1:09 PM.,COL,STL,away,Sunny.,86,2.0,2,0,0,0,1,0,27,5.19
2024/09/20,7:16 PM.,CLE,STL,home,Partly Cloudy.,93,3.0,2,1,1,1,1,1,45,5.44
2024/09/15,1:40 PM.,TOR,STL,away,Sunny.,74,2.0,1,0,0,1,3,0,29,5.63
2024/09/08,1:16 PM.,SEA,STL,home,Sunny.,72,4.0,2,2,2,1,4,1,56,5.94
2024/09/03,6:41 PM.,MIL,STL,away,Clear.,73,4.2,3,3,3,1,7,2,78,6.12
2024/04/30,6:40 PM.,DET,STL,away,Clear.,73,3.1,7,4,4,2,1,1,73,6.18
2024/04/23,6:44 PM.,AZ,STL,home,Overcast.,56,4.1,6,7,7,3,4,1,92,5.55
2024/04/17,12:37 PM.,OAK,STL,away,Partly Cloudy.,68,5.0,7,5,5,3,4,1,94,3.60
2024/04/12,6:40 PM.,AZ,STL,away,Clear.,86,4.2,8,4,1,0,2,0,76,1.80
2024/04/06,1:15 PM.,MIA,STL,home,Partly Cloudy.,57,5.0,4,0,0,1,3,0,85,1.74
2024/03/31,4:10 PM.,LAD,STL,away,Cloudy.,59,5.1,5,2,2,2,3,0,81,3.38
