date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2024/10/12,1:09 PM.,CLE,DET,away,Sunny.,65,6.0,6,5,5,1,6,1,84,2.37
2024/10/07,4:09 PM.,CLE,DET,away,Partly Cloudy.,61,7.0,3,0,0,0,8,0,92,0.00
2024/10/01,1:34 PM.,HOU,DET,away,Roof Closed.,73,6.0,4,0,0,1,6,0,88,0.00
2024/09/24,1:59 PM.,TB,DET,home,Overcast.,68,7.0,2,0,0,1,7,0,103,2.39
2024/09/18,6:40 PM.,KC,DET,away,Clear.,86,5.0,3,1,1,1,7,0,95,2.48
2024/09/12,1:10 PM.,COL,DET,home,Sunny.,82,6.0,4,1,1,0,6,1,84,2.50
2024/09/06,6:41 PM.,OAK,DET,away,Clear.,73,5.2,9,2,2,0,7,0,96,2.53
2024/08/31,6:10 PM.,BOS,DET,home,Partly Cloudy.,85,8.0,4,1,1,0,8,1,98,2.51
2024/08/24,6:10 PM.,CWS,DET,away,Cloudy.,86,5.0,8,3,3,0,8,0,88,2.58
2024/08/18,7:11 PM.,NYY,DET,home,Cloudy.,73,6.0,3,1,1,4,5,0,100,2.49
2024/08/13,6:40 PM.,SEA,DET,home,Clear.,81,6.0,3,1,1,1,9,0,88,2.53
2024/08/07,6:42 PM.,SEA,DET,away,Clear.,73,7.0,3,2,2,2,9,1,102,2.57
2024/08/02,6:40 PM.,KC,DET,home,Partly Cloudy.,80,6.1,7,5,5,2,8,1,95,2.57
2024/07/27,6:10 PM.,MIN,DET,home,Clear.,82,7.0,5,2,2,2,8,1,96,2.35
2024/07/22,6:40 PM.,CLE,DET,away,Cloudy.,76,7.0,10,1,1,1,6,0,97,2.34
2024/07/16,7:19 PM.,NL,AL,home,Roof Closed.,74,1.0,0,0,0,0,0,0,10,0.00
2024/07/12,6:40 PM.,LAD,DET,home,Partly Cloudy.,83,6.0,2,2,2,1,8,1,101,2.41
2024/07/07,1:41 PM.,CIN,DET,away,Partly Cloudy.,86,7.0,3,1,1,0,13,0,93,2.37
2024/07/02,6:41 PM.,MIN,DET,away,Overcast.,72,6.0,4,3,3,1,7,1,94,2.45
2024/06/25,6:40 PM.,PHI,DET,home,Partly Cloudy.,84,7.0,3,0,0,1,7,0,91,2.32
2024/06/19,12:21 PM.,ATL,DET,away,Partly Cloudy.,80,4.0,7,5,4,2,7,2,83,2.50
2024/06/14,7:10 PM.,HOU,DET,away,Roof Closed.,73,6.1,6,4,4,1,2,1,84,2.20
2024/06/09,1:40 PM.,MIL,DET,home,Sunny.,75,6.2,5,1,1,2,10,0,95,1.92
2024/06/03,7:09 PM.,TEX,DET,away,Roof Closed.,74,6.0,7,1,1,2,6,1,96,1.97
2024/05/29,12:40 PM.,PIT,DET,home,Cloudy.,68,7.0,3,0,0,1,8,0,93,2.01
2024/05/22,1:11 PM.,KC,DET,away,Sunny.,69,5.0,6,4,4,2,6,1,96,2.25
2024/05/17,6:40 PM.,AZ,DET,away,Roof Closed.,74,6.0,1,0,0,0,6,0,74,1.80
2024/05/11,6:10 PM.,HOU,DET,home,Overcast.,57,6.1,7,2,2,2,7,0,97,2.02
2024/05/05,1:38 PM.,NYY,DET,away,Rain.,51,6.0,6,2,2,0,12,1,96,1.90
2024/04/28,1:40 PM.,KC,DET,home,Overcast.,70,7.0,4,1,1,1,6,0,91,1.72
2024/04/22,6:50 PM.,TB,DET,away,Dome.,72,6.0,3,0,0,0,9,0,86,1.82
2024/04/17,1:10 PM.,TEX,DET,home,Cloudy.,69,6.1,5,4,2,1,6,0,86,2.28
2024/04/12,7:45 PM.,MIN,DET,home,Cloudy.,50,5.0,2,0,0,2,5,0,93,2.08
2024/04/05,1:10 PM.,OAK,DET,home,Partly Cloudy.,43,6.1,4,4,4,2,9,2,92,2.92
2024/03/28,3:12 PM.,CWS,DET,away,Partly Cloudy.,50,6.0,3,0,0,0,6,0,83,0.00
