date,time,opponent,team,location,weather,temp,ip,h,r,er,bb,k,hr,p,era
2024/07/13,7:10 PM.,TOR,AZ,home,Roof Closed.,78,1.0,0,0,0,2,1,0,19,5.21
2024/07/09,6:40 PM.,ATL,AZ,home,Dome.,78,2.0,3,1,1,0,2,0,34,5.35
2024/07/06,6:41 PM.,SD,AZ,away,Clear.,73,0.1,1,1,0,2,1,0,22,5.40
2024/07/04,6:10 PM.,LAD,AZ,away,Clear.,76,1.0,0,0,0,0,3,0,15,5.45
2024/07/03,7:10 PM.,LAD,AZ,away,Clear.,74,1.0,0,0,0,1,0,0,18,5.61
2024/06/26,6:40 PM.,MIN,AZ,home,Roof Closed.,74,2.1,1,0,0,1,2,0,37,5.79
2024/06/22,4:05 PM.,PHI,AZ,away,Partly Cloudy.,97,1.0,1,0,0,0,0,0,11,6.23
2024/06/15,7:10 PM.,CWS,AZ,home,Roof Closed.,77,2.1,2,2,2,1,3,1,46,6.44
2024/06/12,6:40 PM.,LAA,AZ,home,Roof Closed.,78,2.2,1,1,1,2,1,0,40,6.33
2024/06/08,5:40 PM.,SD,AZ,away,Partly Cloudy.,66,1.2,2,1,1,0,1,1,32,6.66
2024/06/07,6:40 PM.,SD,AZ,away,Cloudy.,65,0.1,0,0,0,0,0,0,4,6.75
2024/05/27,1:05 PM.,BOS,BAL,home,Overcast.,82,0.0,1,3,3,4,0,0,26,6.85
2024/05/19,1:09 PM.,HOU,MIL,away,Roof Closed.,73,1.2,3,1,1,1,3,1,37,5.64
2024/05/13,6:40 PM.,PIT,MIL,home,Roof Closed.,71,0.1,4,2,2,0,0,0,19,5.66
2024/05/12,1:10 PM.,STL,MIL,home,Partly Cloudy.,77,1.0,1,0,0,2,0,0,26,4.87
2024/05/09,6:40 PM.,STL,MIL,home,Roof Closed.,67,2.0,2,0,0,0,3,0,29,5.12
2024/05/07,6:40 PM.,KC,MIL,away,Clear.,77,0.2,2,1,1,0,1,0,15,5.71
2024/05/05,1:20 PM.,CHC,MIL,away,Sunny.,54,1.0,1,1,1,0,0,1,16,5.40
2024/05/04,1:20 PM.,CHC,MIL,away,Cloudy.,71,1.0,2,1,1,0,2,1,18,5.17
2024/05/01,12:10 PM.,TB,MIL,home,Sunny.,68,1.0,0,0,0,0,0,0,9,4.91
2024/04/30,6:40 PM.,TB,MIL,home,Roof Closed.,67,1.0,1,0,0,0,2,0,19,5.27
2024/04/27,6:10 PM.,NYY,MIL,home,Roof Closed.,73,1.0,4,4,4,2,1,2,48,5.68
2024/04/22,6:42 PM.,PIT,MIL,away,Clear.,59,2.1,1,0,0,2,3,0,33,3.09
2024/04/20,1:16 PM.,STL,MIL,away,Partly Cloudy.,58,1.0,1,1,1,1,1,0,21,3.86
2024/04/15,6:41 PM.,SD,MIL,home,Roof Closed.,71,2.1,0,0,0,2,2,0,45,3.24
2024/04/12,7:07 PM.,BAL,MIL,away,Cloudy.,62,2.0,1,0,0,1,2,0,28,4.50
2024/04/07,1:11 PM.,SEA,MIL,home,Roof Closed.,64,3.0,1,2,2,1,5,1,50,6.75
2024/04/03,12:10 PM.,MIN,MIL,home,Roof Closed.,64,1.0,1,1,1,1,0,0,20,9.00
